 	un	troupeau	de	sangliers	est	entré	dans	ce	bosquet	</S>
n	0.566605	0.375397	0.0403575	0.00518736	0.00729065	0.000277597	0.00179905	0.00273401	0.000323508	2.78967e-05
g	0.641864	0.320266	0.0233664	0.0043563	0.00182248	2.67337e-05	0.000318927	0.000789564	0.0070237	0.000165741
a	0.151763	0.729008	0.0336672	0.0208421	0.00345215	0.00133262	0.00158138	0.00151986	0.0558156	0.00101727
á	0.362383	0.437402	0.0419829	0.0419956	0.00608131	0.00183218	0.00210717	0.00139529	0.00758478	0.097236
y	0.122779	0.160934	0.493235	0.134757	0.0381486	0.00386801	0.00342569	0.00404234	0.00142069	0.0373887
á	0.0435438	0.188738	0.260194	0.405527	0.0533092	0.00501589	0.00307982	0.00442057	0.00298547	0.0331873
t	0.0694766	0.124033	0.0828323	0.689657	0.00888108	0.00354933	0.00267254	0.00230551	0.00293565	0.0136566
s	0.0632803	0.142529	0.0906912	0.552009	0.02696	0.087072	0.0203787	0.00412448	0.00234745	0.0106085
o	0.0203951	0.0455822	0.0299306	0.852145	0.0104773	0.0216067	0.0128784	0.0022255	0.000529606	0.00422992
m	0.0337219	0.0532108	0.11614	0.57776	0.0906528	0.0748041	0.027865	0.00597373	0.00069574	0.0191761
b	0.161933	0.0743154	0.144349	0.199628	0.128376	0.0255143	0.131843	0.0909653	0.0046572	0.0384196
o	0.283352	0.0884367	0.136462	0.239554	0.0793367	0.0234786	0.0756655	0.0373469	0.00805573	0.0283124
é	0.0264331	0.0149975	0.168329	0.092372	0.356744	0.246333	0.0787703	0.00553814	0.00153153	0.00895141
k	0.0106849	0.00215571	0.124839	0.0277339	0.38817	0.265648	0.111794	0.0222603	0.00965929	0.0370552
ó	0.00501609	0.00346789	0.0516903	0.0824299	0.0731731	0.496997	0.163231	0.0291483	0.00265887	0.0921876
i	0.00144883	0.00227829	0.0288076	0.0617449	0.0423543	0.508831	0.14214	0.0235437	0.00512298	0.183729
s	0.0049255	0.00339939	0.0120267	0.00589156	0.0783548	0.0641488	0.27024	0.436447	0.0597116	0.0648545
é	0.00242655	0.00121797	0.00353757	0.0387299	0.012106	0.0692266	0.145342	0.164562	0.248168	0.314683
s	0.00128159	0.00130044	0.0010058	0.00472371	0.00403708	0.00929459	0.0444873	0.0755149	0.817086	0.0412687
a	0.000598998	0.00042418	0.000355071	0.00445397	0.00213654	0.00290931	0.020933	0.0531455	0.889056	0.025987
n	0.00104606	0.000472465	0.000502361	0.00290753	0.00232794	0.00413392	0.0328749	0.143938	0.696815	0.114981
g	0.000220397	0.000309212	0.000400907	0.00199737	0.000961465	0.000886255	0.00919754	0.0273615	0.932221	0.0264447
a	5.69785e-05	0.00011845	0.000184661	0.000543336	0.000690342	0.00053706	0.00355602	0.00922026	0.960323	0.0247697
y	0.000581892	0.000544201	0.00434805	0.00130912	0.0122186	0.0134374	0.0668604	0.150501	0.338934	0.411265
é	0.0219639	0.0117713	0.0486737	0.00727033	0.0587344	0.0202	0.0314068	0.142693	0.506625	0.150662
</S>	0.00304468	0.000611633	0.00494734	0.00278649	0.0098223	0.0156786	0.0435243	0.142415	0.182601	0.594568
