 	on	a	assassiné	le	chef	du	village	d'	un	coup	de	sagaie	</S>
á	0.881454	0.105513	0.00029487	0.00543733	8.52136e-05	0.00294985	1.63297e-05	0.00088706	0.000834611	0.000352555	0.00204367	0.000127869	2.97535e-06
m	0.034236	0.431486	0.440698	0.0769319	0.0102886	0.000960133	6.68403e-05	0.000634826	0.00111116	0.000702901	0.000576265	0.00200048	0.000307314
i	0.00509116	0.210175	0.61066	0.054875	0.0176119	0.00585165	0.000855117	0.00260172	0.00350443	0.00809085	0.00229771	0.00763782	0.0707476
b	0.0028091	0.170626	0.76586	0.0115651	0.0214369	0.00255198	0.000682947	0.0017562	0.0011896	0.00135509	0.000545019	0.0012322	0.01839
o	0.000437659	0.00961125	0.977492	0.00422893	0.00173293	0.000681314	0.00102381	0.000305886	0.000150625	0.000180343	7.61237e-05	4.75053e-05	0.00403175
m	0.000157602	0.00635841	0.944922	0.00589302	0.0396022	0.000345462	0.000108634	0.00032306	0.000274505	0.00032585	9.29596e-05	0.000176619	0.00142016
á	0.229514	0.272823	0.113933	0.174099	0.0384888	0.0912592	0.0049062	0.0197957	0.00634195	0.0021419	0.00558584	0.00137405	0.0397377
o	0.027987	0.0663877	0.142794	0.546321	0.139552	0.0286145	0.0275025	0.00502298	0.00428146	0.00260076	0.00329866	0.00317548	0.00246234
k	0.00151302	0.00594136	0.408842	0.177402	0.387438	0.0074685	0.00452085	0.00124149	0.00101657	0.000927409	0.000333422	0.000770403	0.00258509
o	3.8515e-05	0.000590923	0.142867	0.0515328	0.788573	0.000990946	0.000616399	0.000741236	0.00103385	0.00140475	0.000598521	0.00816005	0.00285151
n	2.16793e-05	0.00024132	0.411465	0.0099251	0.569681	0.00117927	0.00178466	0.000744126	0.000845445	0.00100668	0.000353909	0.0013848	0.00136695
d	0.000157206	0.00104316	0.131066	0.008754	0.827674	0.00149923	0.00632475	0.00213149	0.00218332	0.00260908	0.000528067	0.00151929	0.0145107
z	0.000670552	0.00121133	0.00827481	0.0147046	0.960178	0.00306276	0.00386293	0.00092294	0.00114714	0.000325313	0.000241269	0.000386702	0.00501173
i	0.00211373	0.00139323	0.00926972	0.0120286	0.947143	0.00683019	0.00716371	0.00173569	0.00183138	0.000406789	0.000338476	0.00258188	0.00716314
y	0.00337277	0.00966533	0.014574	0.186422	0.0856156	0.43773	0.0378136	0.0934816	0.0193951	0.022162	0.00800353	0.00105333	0.0807108
a	0.00219623	0.0135463	0.00112788	0.263255	0.0281679	0.168518	0.181542	0.105056	0.0671951	0.0207796	0.0670306	0.0131862	0.0684003
p	0.00253882	0.0055246	0.000121788	0.176731	0.0111911	0.162023	0.498864	0.0258254	0.0491623	0.00721525	0.0404783	0.0119798	0.00834423
o	0.00122381	0.000385462	0.000290182	0.0137863	0.0277586	0.0128259	0.879018	0.0147237	0.0104688	0.00336185	0.000879463	0.0314743	0.00380365
o	0.00136976	0.00287718	0.00533169	0.0434106	0.0463202	0.0387478	0.771557	0.028979	0.0153528	0.011237	0.00105701	0.0288807	0.0048796
m	0.000470028	0.0039749	0.00104072	0.0269027	0.00379952	0.154506	0.0125164	0.420054	0.116367	0.18382	0.0489478	0.00894714	0.0186528
ó	0.002201	0.0173421	0.00131057	0.0692372	0.00865155	0.0516366	0.00814195	0.1046	0.117991	0.0386561	0.173301	0.0210599	0.38587
i	0.000431546	0.00255727	0.000831655	0.0319205	0.00705248	0.0139301	0.0144834	0.0479668	0.118263	0.11225	0.1331	0.507213	0.0100005
k	0.000153094	0.00430388	0.0161371	0.014701	0.02223	0.00365874	0.00500667	0.0309754	0.101242	0.267598	0.0652729	0.414376	0.0543441
ω	1.30218e-05	0.000172684	0.00490651	0.00272455	0.0417033	0.0009206	0.0211158	0.0334047	0.0898789	0.0886369	0.00680753	0.698467	0.0112488
n	7.14899e-06	1.13233e-05	0.000309107	0.00315675	0.010709	0.0140959	0.0649247	0.0565016	0.105154	0.104256	0.0304007	0.604922	0.00555233
g	7.42046e-05	9.304e-05	0.00105195	0.00257226	0.0193218	0.0193231	0.0704426	0.106056	0.161492	0.11349	0.0392528	0.262673	0.204158
ώ	0.00150008	0.000134349	1.98461e-05	0.00519367	0.0109932	0.0369574	0.0083599	0.031452	0.134449	0.0814354	0.126846	0.429033	0.133626
</S>	6.3592e-05	5.10272e-05	4.91812e-05	0.00431321	0.00121922	0.0221258	0.00341598	0.0635609	0.121942	0.0863533	0.417268	0.0298213	0.249816
