 	on	dit	que	ce	sorcier	s'	est	repenti	</S>
w	0.822142	0.0997378	0.0235209	0.0191139	0.00765256	0.0104116	0.0166301	0.000716872	7.43311e-05
á	0.630041	0.156613	0.0560485	0.133731	0.00202161	0.011189	0.0103127	1.88044e-05	2.46195e-05
r	0.199714	0.27849	0.194515	0.114628	0.0175968	0.0573221	0.0797568	0.0077341	0.0502436
e	0.338753	0.312203	0.0879606	0.0801868	0.0178559	0.0568747	0.0157069	0.000662182	0.0897971
n	0.107974	0.241834	0.353006	0.159514	0.00909093	0.0423282	0.0476207	0.00106068	0.0375716
d	0.167935	0.30263	0.141325	0.0738476	0.00826413	0.070044	0.0164279	0.00202282	0.217504
z	0.0965552	0.268186	0.173712	0.0745313	0.0533105	0.0369022	0.0109797	0.00643991	0.279383
i	0.0837866	0.281317	0.208291	0.213287	0.0674106	0.0349999	0.00808406	0.00300788	0.0998157
m	0.0761463	0.0927133	0.237658	0.255733	0.0881779	0.101652	0.0345208	0.0172964	0.0961021
b	0.112387	0.074635	0.254127	0.361163	0.107863	0.0483468	0.0108841	0.00159421	0.0289998
á	0.149969	0.0563992	0.163715	0.197443	0.234244	0.085008	0.0229725	0.00537468	0.0848746
w	0.118301	0.0616666	0.305651	0.345981	0.0214952	0.0782005	0.0474181	0.00148616	0.0197999
ó	0.0906896	0.131416	0.309018	0.120357	0.0176438	0.103573	0.071253	0.00506957	0.15098
a	0.0154164	0.0321083	0.170808	0.163914	0.245771	0.0881924	0.0678333	0.010113	0.205844
m	0.00483374	0.0228286	0.14299	0.184097	0.21316	0.161416	0.133208	0.0231588	0.114308
i	0.0143683	0.00983879	0.0917581	0.26639	0.139675	0.182519	0.114305	0.0212364	0.159909
k	0.00115266	0.0110846	0.0538145	0.110642	0.602293	0.0571917	0.0530719	0.0313156	0.0794345
a	8.78529e-05	0.00316448	0.0135235	0.0189854	0.707965	0.0143894	0.0127591	0.139106	0.0900186
l	7.80661e-05	0.000555683	0.0081516	0.0192455	0.629015	0.0309369	0.054586	0.218097	0.0393345
i	0.00169743	0.00475412	0.0443925	0.0965136	0.338508	0.106388	0.112633	0.121617	0.173497
s	0.00209635	0.00267624	0.0355732	0.114444	0.00810117	0.323494	0.408073	0.0522235	0.0533182
á	0.00716347	0.0145798	0.0326792	0.0764691	0.0531401	0.225359	0.0724413	0.1136	0.404568
o	0.0116157	0.00911662	0.0207011	0.0692288	0.00539061	0.235768	0.364306	0.206643	0.0772299
t	0.000917142	0.00432111	0.00527909	0.00843887	0.0431801	0.0161337	0.0267148	0.785739	0.109276
é	3.82965e-05	0.000493123	0.000975604	0.00314102	0.00661455	0.00271166	0.0073929	0.940423	0.0382093
m	6.04751e-05	0.000516518	0.00167215	0.00373588	0.00322081	0.0153513	0.0323329	0.669016	0.274094
a	0.000208191	0.000542166	0.00609755	0.0289961	0.00646823	0.0630785	0.0625731	0.329913	0.502124
</S>	0.0168336	0.00855527	0.0251776	0.0421295	0.00385724	0.0986236	0.240653	0.0161746	0.547995
