 	le	temps	est	brumeux	ce	matin	</S>
o	0.330421	0.335105	0.201749	0.0542205	0.0504348	0.00895567	0.0191133
y	0.0740692	0.402562	0.123208	0.0541299	0.0550788	0.201129	0.0898227
ó	0.299846	0.339882	0.0315092	0.0449647	0.0265536	0.214609	0.0426361
l	0.0188085	0.139113	0.0380507	0.0485885	0.0334872	0.532339	0.189613
o	0.116266	0.473651	0.212077	0.0464761	0.0363871	0.0599931	0.05515
m	0.225417	0.203355	0.291287	0.0717987	0.145174	0.0283186	0.0346491
ú	0.658385	0.0256147	0.0710446	0.0273317	0.155709	0.000717898	0.0611967
b	0.176634	0.0561665	0.155902	0.188077	0.329647	0.0020106	0.0915627
v	0.348855	0.204093	0.122656	0.0914466	0.165653	0.0100753	0.0572212
ú	0.113848	0.261023	0.126907	0.297375	0.150464	0.0173202	0.0330629
s	0.044093	0.0232505	0.119778	0.233766	0.420022	0.0980959	0.0609958
á	0.377665	0.0756682	0.0422863	0.141669	0.138581	0.105125	0.119005
ó	0.0544905	0.0210417	0.130828	0.0971023	0.246684	0.122864	0.326989
d	0.0189965	0.0122041	0.048474	0.165211	0.478099	0.132957	0.144058
í	0.00596238	0.00238915	0.0123854	0.127102	0.128918	0.104237	0.619006
l	0.0221363	0.00457914	0.0673451	0.126755	0.409495	0.0756492	0.29404
a	0.00348059	0.0023416	0.0124928	0.0394352	0.0579058	0.0683013	0.816043
l	0.0155967	0.0100046	0.0189576	0.0404469	0.188179	0.280339	0.446476
e	0.0115009	0.00655022	0.00894079	0.158401	0.357943	0.361282	0.0953815
b	0.00112943	0.00151266	0.00410023	0.0232559	0.104315	0.58583	0.279857
o	0.0121888	0.0224206	0.0383071	0.130846	0.33	0.115167	0.351069
n	0.00113645	0.00251405	0.00681559	0.0101792	0.032799	0.43552	0.511036
g	0.0222497	0.0708818	0.0212873	0.016074	0.0505529	0.276062	0.542893
i	0.0106403	0.0235825	0.0048821	0.0247092	0.0410167	0.206895	0.688274
</S>	0.00679975	0.0172331	0.0315863	0.0260543	0.153652	0.0333901	0.731285
