 	on	a	fabriqué	beaucoup	d'	alcool	de	maïs	pour	le	fête	</S>
á	0.817015	0.139994	0.0122461	0.00999926	0.0043804	0.00238208	0.00363122	0.000454502	0.00450677	0.00456232	0.000659827	0.000168179
m	0.0574389	0.404799	0.21138	0.0800923	0.096065	0.0472257	0.0305922	0.0469729	0.0107354	0.00656371	0.00555244	0.00258236
i	0.00343155	0.0547388	0.522258	0.057376	0.0954839	0.121428	0.0303286	0.0407046	0.00898208	0.00609018	0.0049161	0.0542619
b	0.0118667	0.203538	0.478116	0.100811	0.0564388	0.0152331	0.0204251	0.0273977	0.0123873	0.00955117	0.00443148	0.0598031
ω	0.00472224	0.0688348	0.619544	0.109541	0.066792	0.0194899	0.0193393	0.00988173	0.0138082	0.00872691	0.00480988	0.0545106
n	0.00224865	0.0375081	0.534394	0.0848758	0.169163	0.0387743	0.0431845	0.0240397	0.0167715	0.015414	0.0117231	0.0219029
g	0.0475017	0.174691	0.302811	0.196639	0.103645	0.0307614	0.0400083	0.028396	0.0291893	0.00991323	0.0100156	0.0264295
ώ	0.151463	0.0684872	0.406467	0.150314	0.061195	0.0130168	0.0136742	0.00691965	0.00998545	0.00719398	0.0443718	0.0669115
e	0.00967232	0.02024	0.0734099	0.348316	0.297189	0.0604589	0.125978	0.00863963	0.0248533	0.015449	0.00987568	0.00591815
b	0.00256197	0.00750861	0.0236787	0.114737	0.33976	0.232636	0.178063	0.0278201	0.0295188	0.0146873	0.0133301	0.0156986
e	0.0265842	0.025246	0.107994	0.108625	0.298874	0.187531	0.143238	0.0230842	0.0368314	0.0136725	0.0145548	0.0137658
l	0.00384401	0.0112547	0.139429	0.102697	0.167692	0.14042	0.179903	0.0314259	0.0600473	0.0210765	0.0206611	0.12155
é	0.00436776	0.0148718	0.0389279	0.245682	0.249357	0.09441	0.147216	0.0226139	0.0451249	0.0103498	0.0132873	0.113791
y	0.00194956	0.0101353	0.0176484	0.0966888	0.0849989	0.107386	0.299605	0.218397	0.0803199	0.0444097	0.00962692	0.0288341
a	0.0125279	0.0218465	0.019208	0.0934319	0.151989	0.233179	0.214366	0.122228	0.043953	0.0354565	0.0279099	0.0239041
a	0.0193968	0.00962459	0.0118039	0.0781662	0.110164	0.274255	0.168627	0.162201	0.0464139	0.0502232	0.0470959	0.0220281
l	0.00145505	0.00512421	0.00622488	0.00945644	0.0181114	0.0558977	0.0731821	0.442054	0.181443	0.113891	0.0564259	0.0367351
ω	0.000663041	0.00513692	0.0126794	0.00802328	0.0128664	0.0281098	0.0451369	0.598756	0.0806977	0.0687313	0.0575527	0.0816461
i	5.88164e-05	0.000305642	0.00321294	0.00319473	0.0110399	0.0234989	0.0411954	0.412784	0.131645	0.15426	0.117004	0.1018
m	0.000438212	0.00104105	0.00170405	0.0061981	0.00899384	0.014403	0.0716635	0.124713	0.308484	0.254874	0.0883363	0.11915
ó	0.00339709	0.00514	0.0104894	0.00796039	0.0133091	0.0558278	0.060456	0.041307	0.181252	0.309955	0.12914	0.181767
f	0.00176721	0.00393005	0.00549442	0.0141477	0.0188604	0.0323357	0.0531231	0.0400955	0.118928	0.241449	0.399901	0.0699682
έ	0.00118452	0.00545797	0.00532125	0.0271258	0.0356739	0.0207005	0.0521867	0.0218508	0.232099	0.316485	0.179272	0.102644
t	0.000677694	0.000231279	0.00151416	0.00203983	0.00329002	0.00322642	0.0170058	0.0153057	0.136425	0.165847	0.394279	0.260158
i	0.00286125	0.000907374	0.0026794	0.0117334	0.00932064	0.00287328	0.0295664	0.00697245	0.323583	0.219192	0.122672	0.267639
</S>	0.000204819	0.000436099	0.0013777	0.00310962	0.00346452	0.00280493	0.0200555	0.0152676	0.11628	0.120215	0.134776	0.582009
