 	j'	ai	succédé	à	cet	homme	comme	chef	du	village	</S>
n	0.761904	0.101106	0.0590776	0.0502976	0.00929865	0.00593332	0.00966659	0.000612248	0.00175244	0.000242751	0.000108484
g	0.928781	0.0678547	0.00241915	0.000689203	7.63777e-05	1.24263e-05	0.000150268	1.60701e-06	1.11592e-05	5.1883e-07	3.68064e-06
á	0.773818	0.220297	0.00475188	0.000741158	0.00029022	1.83342e-05	7.02166e-05	7.4457e-06	3.82791e-06	1.59501e-07	1.35161e-06
l	0.199635	0.397593	0.0840487	0.0598701	0.0812954	0.035942	0.0386085	0.00306265	0.0191918	0.000566061	0.0801868
a	0.426056	0.29612	0.0605996	0.0494407	0.0287395	0.0105502	0.0275153	0.00300304	0.0186237	0.000106904	0.0792449
n	0.145986	0.269361	0.19293	0.114292	0.0701825	0.00691273	0.0225221	0.00634417	0.0348937	0.000441718	0.136134
a	0.299461	0.667748	0.0202067	0.00507892	0.00299142	0.00071893	0.00214842	5.57307e-05	0.000609738	5.36449e-07	0.000980545
m	0.0485884	0.528959	0.220607	0.100538	0.0475067	0.0102645	0.018313	0.00272229	0.00966844	6.82928e-05	0.0127637
í	0.0221878	0.075514	0.46627	0.214224	0.154761	0.0383985	0.017819	8.89e-05	0.00286201	0.000114953	0.00775909
n	0.0312101	0.0667471	0.322601	0.283971	0.105165	0.0973317	0.0364882	0.00482462	0.00894423	0.000970102	0.0417458
á	0.123412	0.649426	0.138685	0.0409481	0.0141899	0.00429977	0.00738347	0.000358894	0.00341165	5.14261e-06	0.0178792
i	0.00490847	0.0546953	0.178838	0.488949	0.145009	0.0292409	0.0364285	0.00282104	0.0230219	0.000267291	0.0358202
b	0.00688222	0.0442951	0.444736	0.285295	0.102581	0.0417969	0.0145042	0.0182338	0.0033034	0.0185945	0.0197781
a	0.0019305	0.026498	0.627384	0.110851	0.0892809	0.11476	0.0163899	0.0101935	0.000589873	0.000706437	0.0014155
a	0.00273515	0.0146943	0.299228	0.279865	0.128188	0.164326	0.0552265	0.0145534	0.00813183	0.00072641	0.0323258
d	0.0018482	0.0157848	0.0406694	0.258082	0.177137	0.260711	0.197482	0.00223556	0.0352618	0.000506996	0.0102805
í	0.0132609	0.0274809	0.364468	0.295359	0.102057	0.0278579	0.0436146	0.0100974	0.00585793	0.00253998	0.107406
m	0.00178312	0.00386849	0.0281201	0.108487	0.122407	0.349992	0.325919	0.0156496	0.0182898	0.00481858	0.0206652
ó	0.000461953	0.00483032	0.0898402	0.1905	0.248492	0.19882	0.110116	0.0069363	0.0313487	0.00762437	0.11103
k	0.00180168	0.0034074	0.036584	0.164178	0.162841	0.218856	0.164324	0.174239	0.0268794	0.025627	0.0212624
o	2.55293e-05	4.79393e-05	0.000719279	0.0059708	0.00722557	0.031695	0.0194189	0.898228	0.00206595	0.0257293	0.00887344
n	4.00811e-06	5.61284e-05	0.00280387	0.00595974	0.00858797	0.0409205	0.0255548	0.876654	0.00536363	0.0296997	0.00439597
d	0.000109517	0.00045803	0.00268913	0.0144015	0.0164818	0.0150108	0.0200778	0.860897	0.00714972	0.0103397	0.052385
z	0.000392917	0.00196321	0.0133143	0.0711274	0.103906	0.0286434	0.0576002	0.516685	0.0187161	0.0276937	0.159959
i	0.000258928	0.000349289	0.00408005	0.0339369	0.0905145	0.0277848	0.0253818	0.550405	0.00839221	0.0390915	0.219805
b	0.00235215	0.00326696	0.0049301	0.030348	0.0516924	0.135266	0.367515	0.0652085	0.222919	0.00389045	0.112611
á	0.00248656	0.00321767	0.0135687	0.0457344	0.0197618	0.093055	0.383719	0.0467037	0.117982	0.0119927	0.261779
p	0.0134925	0.00541833	0.0374383	0.0380238	0.0238307	0.114244	0.246974	0.0294229	0.258754	0.0647687	0.167633
o	0.000622476	0.000430815	0.00339245	0.00531298	0.00203577	0.00889224	0.0145966	0.0581972	0.015215	0.848828	0.0424765
o	4.1605e-05	3.06681e-05	0.000409078	0.00100214	0.0022359	0.00545254	0.00490892	0.0580314	0.00667878	0.911603	0.00960577
</S>	0.000514324	0.00110441	0.000827553	0.00426172	0.00501561	0.0172583	0.0488452	0.0188682	0.459281	0.0418877	0.402136
