 	il	se	cure	ses	dents	</S>
w	0.804571	0.161166	0.00885542	0.0229252	0.00196376	0.000518614
a	0.825074	0.0671554	0.00575735	0.0886339	0.0130832	0.000296344
b	0.52249	0.381404	0.025707	0.0379493	0.00196908	0.0304815
o	0.213738	0.689395	0.0534287	0.00943354	0.0237265	0.0102779
l	0.211291	0.536359	0.133896	0.0230318	0.0104388	0.0849834
á	0.307088	0.336659	0.118086	0.0791836	0.0448684	0.114116
a	0.324718	0.162078	0.16558	0.176463	0.14008	0.0310808
s	0.0279552	0.338688	0.585587	0.0149776	0.00925389	0.0235385
ω	0.00670138	0.17354	0.796862	0.00569512	0.00444906	0.0127517
l	0.001088	0.0321615	0.933044	0.0183424	0.00225769	0.0131066
ώ	0.0487583	0.0696766	0.492596	0.200782	0.014067	0.17412
ώ	0.00714687	0.00880922	0.0772244	0.740095	0.126939	0.0397855
m	0.00394803	0.00597641	0.0281986	0.510454	0.432787	0.0186355
i	0.0018534	0.00772954	0.00873183	0.0327715	0.751922	0.196991
n	0.00061509	0.00311377	0.00591506	0.0428087	0.896721	0.0508269
a	0.00126642	0.00202816	0.00263412	0.0374919	0.909647	0.0469323
</S>	0.00281894	0.00717325	0.0239606	0.155499	0.179739	0.63081
