 	attention	tu	vas	tomber	</S>
ω	0.922203	0.0738486	0.00226005	0.00158449	0.000103809
b	0.0750775	0.868332	0.0479261	0.00512369	0.0035409
á	0.0427988	0.90064	0.0183215	0.0361851	0.00205484
r	0.134307	0.542985	0.0473069	0.0696766	0.205725
a	0.407576	0.458126	0.0245365	0.00828896	0.101472
a	0.473297	0.276801	0.209022	0.0116665	0.029213
p	0.0964215	0.337678	0.431913	0.0315287	0.102458
é	0.0892912	0.0781356	0.621058	0.0355336	0.175982
n	0.0227914	0.0547894	0.425468	0.0504188	0.446533
a	0.0526786	0.175851	0.398797	0.202638	0.170035
o	0.0711042	0.0616236	0.368007	0.1211	0.378166
b	0.00274575	0.00926544	0.170124	0.463969	0.353895
v	0.000526131	0.00388835	0.0738403	0.871094	0.050651
e	0.000764668	0.00264092	0.0345511	0.940977	0.0210668
</S>	0.00119139	0.00198526	0.0332775	0.394382	0.569164
