 	tes	cheveux	ont	beaucoup	poussé	</S>
n	0.509721	0.339464	0.136376	0.0101423	0.0013217	0.00297481
ω	0.741649	0.255706	0.00198561	0.000527652	3.54581e-05	9.63185e-05
s	0.106233	0.862833	0.0196751	0.00577427	0.00399913	0.0014854
u	0.0230764	0.899289	0.0510035	0.00752018	0.00128567	0.017825
é	0.0940102	0.743634	0.0482277	0.014552	0.00430183	0.0952738
t	0.203114	0.101582	0.377937	0.241714	0.0298577	0.0457952
i	0.0171508	0.0586173	0.54299	0.190039	0.0745594	0.116644
é	0.0384684	0.0877376	0.479655	0.172996	0.0512205	0.169922
m	0.0658815	0.0282715	0.31544	0.512115	0.0514476	0.0268445
i	0.0201341	0.0625539	0.289857	0.319816	0.129448	0.178191
f	0.0207928	0.00793107	0.131971	0.302939	0.428316	0.10805
u	0.00411447	0.00864567	0.171344	0.0983272	0.600375	0.117193
a	0.00109908	0.0016246	0.00862709	0.0281677	0.708707	0.251775
</S>	0.00413111	0.000932108	0.0219495	0.243921	0.247909	0.481158
