 	la	récolte	annuelle	de	sésames	augmentent	</S>
m	0.615185	0.269719	0.0881898	0.0118412	0.00950747	0.00250019	0.00305765
ó	0.108922	0.61931	0.156604	0.0314582	0.0256872	0.0022806	0.0557374
o	0.330061	0.335872	0.227611	0.0501313	0.0247486	0.0211781	0.0103973
b	0.168416	0.398595	0.324313	0.0554282	0.0135016	0.00425683	0.0354889
v	0.0456164	0.352303	0.414932	0.0914044	0.0192061	0.0292701	0.0472684
ú	0.141226	0.406475	0.38382	0.0417992	0.011363	0.00275202	0.0125653
m	0.481022	0.414139	0.0822262	0.0116173	0.00570697	0.00119445	0.00409363
ú	0.622969	0.230972	0.108951	0.0241691	0.0097536	0.00183943	0.00134689
l	0.228908	0.131808	0.296725	0.23384	0.0471513	0.00359993	0.0579664
é	0.22384	0.0292294	0.182172	0.138768	0.0642194	0.0257984	0.335974
e	0.224103	0.029182	0.201659	0.257094	0.182303	0.0297833	0.0758761
d	0.0159365	0.0265468	0.136136	0.556866	0.222154	0.00785835	0.0345024
i	0.0140204	0.0278567	0.0343307	0.581917	0.237501	0.00833364	0.0960405
á	0.0467122	0.0134574	0.099236	0.501735	0.253693	0.00441634	0.0807495
o	0.0134412	0.00482058	0.0403705	0.266374	0.553628	0.0685885	0.0527775
p	0.0138832	0.011621	0.021816	0.194435	0.685035	0.0326935	0.0405163
f	0.00164859	0.00889474	0.0691734	0.176493	0.498501	0.0765095	0.168779
u	0.00193433	0.00217547	0.0405389	0.165954	0.436162	0.0326995	0.320536
n	0.0288552	0.00311862	0.0528056	0.153122	0.507814	0.12422	0.130065
y	0.0106685	0.00105246	0.0269895	0.141244	0.778868	0.01224	0.0289377
ε	0.00294873	0.000795567	0.0143673	0.137935	0.768751	0.0291295	0.0460724
o	0.00641197	0.00122447	0.0145513	0.0541079	0.247014	0.341461	0.335229
y	0.0109503	0.0192907	0.013857	0.04163	0.117704	0.373932	0.422635
í	0.00532897	0.00771806	0.00902214	0.0623065	0.141912	0.113208	0.660504
í	0.00312905	0.000817072	0.00137743	0.00705592	0.0190815	0.103738	0.864801
s	0.0104135	0.00177955	0.0102994	0.031133	0.0385168	0.205792	0.702065
á	0.00948331	0.00508037	0.00471047	0.0390769	0.0390683	0.072991	0.82959
a	0.00748655	0.00252376	0.00405915	0.0138889	0.0230947	0.726398	0.222549
n	0.0171864	0.00971832	0.0154422	0.043188	0.0558775	0.312876	0.545712
g	0.0284551	0.00147117	0.0148359	0.0756517	0.154005	0.139538	0.586043
o	0.00165737	0.000335476	0.0050848	0.0196173	0.0719021	0.33451	0.566893
n	0.000350646	0.000268589	0.00273418	0.0147117	0.105022	0.175366	0.701548
d	0.0148842	0.00511818	0.0749798	0.111962	0.27478	0.0449496	0.473326
a	0.00244506	0.0013855	0.0159798	0.0334015	0.179097	0.0703608	0.697331
</S>	0.000859173	0.000276281	0.0123724	0.0199251	0.0915674	0.309329	0.565671
