 	il	appuie	son	doigt	dans	la	pâte	de	manioc	</S>
w	0.919688	0.0463655	0.00991642	0.00666763	0.00232248	0.00858483	0.00129408	0.00437286	0.000632348	0.000155827
a	0.847879	0.0762161	0.023813	0.0261022	0.00821702	0.0132374	6.72826e-05	0.00351146	0.000903822	5.31427e-05
l	0.392028	0.348684	0.145805	0.0426072	0.0291484	0.0271819	0.000944589	0.0074731	0.00149216	0.00463495
á	0.118755	0.147452	0.185606	0.0936779	0.0978628	0.101416	0.0112941	0.0411672	0.00420736	0.19856
a	0.177821	0.239197	0.189815	0.0495266	0.0652098	0.0687593	0.0146295	0.0343693	0.017871	0.142802
b	0.0140495	0.843064	0.0409468	0.0438224	0.0137393	0.004506	0.0180499	0.00100077	0.00962293	0.0111986
h	0.0322333	0.532147	0.104509	0.311077	0.011345	0.0022916	0.000665	0.000507289	0.000967788	0.00425684
í	0.0109546	0.359391	0.0622183	0.530982	0.0213862	0.00427576	0.00203598	0.00042932	0.001889	0.00643747
á	0.00156769	0.0863047	0.0481751	0.257623	0.237804	0.0641207	0.0124049	0.00730561	0.0161998	0.268494
ω	0.0122399	0.00972212	0.335783	0.325273	0.170775	0.0986802	0.0247897	0.0112321	0.00337387	0.00813031
s	0.000972924	0.00718648	0.0277327	0.355341	0.326727	0.0955536	0.170462	0.00186137	0.0106702	0.00349212
a	0.000186195	0.0055695	0.0409981	0.700977	0.195649	0.0313032	0.0113272	0.0014699	0.00530137	0.00721808
b	0.00252105	0.00897198	0.0366279	0.350802	0.362439	0.119408	0.028408	0.00464698	0.00822722	0.0779471
h	0.00102031	0.0058008	0.13258	0.134836	0.172825	0.156484	0.306026	0.0266428	0.00724304	0.0565417
í	0.0090753	0.00125267	0.0844578	0.103806	0.0747247	0.177211	0.244708	0.0555039	0.0121549	0.237107
í	0.00609707	0.00259123	0.0768454	0.059778	0.241067	0.331024	0.0982484	0.0750441	0.00525355	0.10405
n	0.00212311	0.00506777	0.030995	0.0574342	0.278294	0.193075	0.0452717	0.323312	0.0324099	0.0320169
á	0.0029341	0.000627197	0.160122	0.0536596	0.143871	0.209294	0.00719514	0.315155	0.00689514	0.100247
o	0.00251283	0.001652	0.0401109	0.0167816	0.0966021	0.221262	0.0926278	0.301464	0.119256	0.107731
b	0.000109439	0.00131943	0.00215639	0.0237266	0.0397216	0.0355636	0.0905607	0.0421446	0.748278	0.01642
ó	0.000507255	0.00383792	0.00224079	0.0435631	0.0537132	0.0731172	0.0614991	0.0209173	0.702758	0.0378464
o	8.86789e-05	0.000548533	0.0032462	0.019137	0.0348488	0.0464788	0.118988	0.0160882	0.539039	0.221537
</S>	0.000472825	0.000283291	0.0188281	0.0197111	0.0413483	0.0837753	0.0117221	0.447851	0.166112	0.209896
