 	le	chien	a	volé	un	morceau	de	viande	dans	la	cuisine	</S>
m	0.773295	0.221044	0.000993598	6.22321e-05	0.00100846	0.00090242	0.000694002	0.000322029	0.000559695	0.000418485	0.000617507	8.26788e-05
v	0.00960146	0.988429	0.000994363	1.58768e-05	0.000123442	0.000101102	0.000109544	0.000189472	0.000255084	7.21206e-05	4.46243e-06	0.00010436
á	0.00601177	0.993711	1.54219e-05	7.14148e-06	3.29135e-05	4.39348e-05	1.78424e-05	7.0213e-05	4.89841e-05	9.55397e-06	2.67764e-05	3.91732e-06
n	0.134313	0.863334	7.8374e-05	2.96319e-05	0.000130892	0.000310549	0.000132412	0.000231686	0.000160186	4.38478e-05	3.75677e-05	0.00119831
d	0.0831298	0.545998	0.0098395	0.0106722	0.0166268	0.0313529	0.0111596	0.00614666	0.0151703	0.00645246	0.00713583	0.256316
é	0.273215	0.515571	0.0571427	0.0101025	0.0160404	0.017815	0.0176614	0.0111189	0.0133791	0.00434766	0.00234109	0.0612657
á	0.0256744	0.0195472	0.85764	0.0201142	0.0122782	0.00532301	0.00909707	0.00628589	0.00794446	0.00467604	0.00112671	0.0302929
m	0.0283508	0.0402956	0.368098	0.41934	0.0595303	0.0157237	0.0108288	0.0109523	0.0173898	0.0128659	0.00490091	0.011724
i	0.0290806	0.054569	0.27802	0.465498	0.10467	0.0138385	0.014016	0.0102354	0.00737728	0.00609101	0.00117264	0.0154327
y	0.00135279	0.0110246	0.0419778	0.921595	0.0149545	0.00186796	0.000876736	0.00085879	0.000928443	0.000736175	0.000493325	0.00333394
í	0.00491016	0.00360928	0.0126275	0.941959	0.0240946	0.00458871	0.000652777	0.00293509	0.0011451	0.000644441	0.000419612	0.00241376
b	0.00315838	0.00215399	0.00922359	0.925014	0.0241299	0.00929564	0.00227402	0.00434459	0.0062016	0.00394267	0.0061114	0.00414973
h	0.0168123	0.0124271	0.0361367	0.522698	0.225655	0.130101	0.0288959	0.00650346	0.0081662	0.00382944	0.00332752	0.00544705
á	0.0195835	0.0339085	0.0118424	0.411457	0.185722	0.115206	0.0542124	0.0165711	0.0213809	0.0142409	0.0201184	0.0957569
o	0.0267024	0.0106119	0.0957278	0.140686	0.427141	0.173211	0.048852	0.0317794	0.0203739	0.0117058	0.00401472	0.00919345
s	0.00702904	0.0042835	0.00740061	0.467479	0.277397	0.0974189	0.0504248	0.0271762	0.011293	0.00770409	0.0336309	0.00876243
u	0.00363467	0.00207183	0.00202448	0.664195	0.188008	0.0644748	0.0111541	0.0332206	0.00849901	0.00538005	0.00954576	0.00779113
n	0.0141317	0.00205159	0.011858	0.0771915	0.580743	0.163806	0.0330858	0.0482507	0.0289231	0.012174	0.0110971	0.0166878
u	0.00192043	0.00168704	0.00321324	0.0198649	0.332185	0.388925	0.0790309	0.0552575	0.0686354	0.0249033	0.0130296	0.0113478
m	0.00412096	0.000301272	0.0167958	0.011696	0.196384	0.277339	0.195484	0.129845	0.104088	0.0470109	0.00465894	0.0122761
á	0.0134786	0.000988549	0.00544474	0.000538448	0.0382762	0.127463	0.262836	0.203856	0.153569	0.0739323	0.00570414	0.113913
n	0.00343291	0.000561302	0.00257594	0.00219471	0.0188897	0.101244	0.127373	0.241091	0.162458	0.168751	0.15662	0.014808
y	0.00419493	0.0021788	0.000363236	0.000149515	0.0170276	0.237185	0.0810608	0.456113	0.122175	0.0596552	0.00363398	0.0162629
a	0.00244879	0.00230616	0.000693383	0.000223693	0.0157437	0.307962	0.0555476	0.382831	0.132834	0.0773905	0.016246	0.00577319
m	2.86182e-05	0.000138888	4.76024e-05	0.00199531	0.028619	0.127204	0.129225	0.251595	0.17704	0.152145	0.115329	0.0166328
a	0.0110694	0.000403409	0.00126187	0.000154073	0.0219096	0.0699107	0.208689	0.182704	0.208882	0.109998	0.0169189	0.168099
o	0.0014385	5.50069e-05	0.00189532	0.000491503	0.00947927	0.0203299	0.0661607	0.0839219	0.286766	0.257068	0.0753876	0.197007
s	0.000232146	0.00013347	0.00210497	0.00293254	0.0213177	0.0095589	0.0393352	0.115695	0.173212	0.248667	0.313796	0.073015
w	0.000355503	0.000329665	0.00119028	0.0179309	0.0270587	0.0191463	0.0176404	0.3392	0.229025	0.154636	0.128712	0.0647747
á	0.00179153	0.000329341	0.000810489	0.00194207	0.0190742	0.0715998	0.0382256	0.169073	0.129575	0.0978865	0.317024	0.152668
l	0.000118966	1.50461e-05	0.000105451	0.000854868	0.00318136	0.0203623	0.0258644	0.0901759	0.183173	0.140388	0.213764	0.321996
á	0.000249493	0.000655889	0.0012626	0.00214369	0.0123197	0.0458538	0.0326449	0.0808474	0.198105	0.190375	0.217461	0.218082
s	0.000600447	9.4101e-05	0.00145249	0.00123058	0.00913517	0.0108448	0.0342416	0.0698789	0.168361	0.172954	0.146621	0.384586
á	0.00111823	5.34342e-05	0.00106457	0.00741008	0.0203501	0.0226801	0.0381991	0.300999	0.213394	0.171572	0.0464684	0.176691
k	0.00348151	7.41007e-05	0.00268783	0.000147578	0.00329381	0.00705044	0.00830194	0.0439489	0.0440631	0.0451091	0.798711	0.0431311
ú	5.46514e-05	2.97022e-05	4.27716e-05	8.01059e-05	0.00103517	0.00173026	0.00276347	0.00498128	0.0116833	0.0165294	0.933916	0.0271537
k	0.00033371	2.56871e-05	5.7842e-06	0.000285328	0.00042627	0.00114487	0.00100367	0.00243996	0.00454274	0.00450362	0.974109	0.0111797
u	0.0273461	0.00113469	0.00148652	0.00178307	0.0240909	0.0221398	0.0181883	0.122861	0.230659	0.1152	0.40033	0.0347806
</S>	0.00154995	9.06859e-05	0.000802846	0.00087808	0.00655203	0.008752	0.0227251	0.0263185	0.0945502	0.0993629	0.117063	0.621354
