 	ces	gens	reviennent	de	la	chasse	mais	ils	sont	revenus	bredoui	</S>
b	0.362238	0.627705	0.000905008	0.00220762	0.00157016	0.00339003	0.000370825	0.00133019	0.000212873	5.32273e-05	4.51526e-06	1.32718e-05
a	0.0497339	0.927121	0.00443287	0.00128151	0.000666673	0.00124707	0.0013936	0.0120511	0.00160622	0.000295336	1.03746e-05	0.000160746
r	0.0321409	0.932061	0.00644695	0.00325428	0.001493	0.000722284	0.00164001	0.0207519	0.00117189	6.09639e-05	2.48697e-05	0.000231671
e	0.641623	0.334772	0.00239264	0.00255502	0.00213555	0.00146609	0.0103831	0.0018036	0.00126979	4.01519e-05	9.66504e-06	0.00154919
b	0.424195	0.422781	0.0555556	0.036377	0.015258	0.00550908	0.00301067	0.0103087	0.0123203	0.00213907	0.000652707	0.0118924
á	0.189524	0.21122	0.201835	0.122014	0.0384118	0.0335487	0.0298226	0.0447427	0.0692233	0.00888751	0.00119969	0.0495709
á	0.264663	0.0969848	0.318585	0.0883105	0.0284205	0.0174038	0.0145792	0.0853976	0.0262685	0.00907197	0.00295592	0.0473596
m	0.0497912	0.0157277	0.339284	0.275651	0.123383	0.0510996	0.0229972	0.0090141	0.0374169	0.0179827	0.00644389	0.0512095
i	0.0381792	0.0071725	0.217068	0.43105	0.238418	0.0391228	0.00998631	0.00274729	0.00591956	0.00263127	0.00018123	0.00752409
w	0.0091048	0.00325708	0.5602	0.183294	0.110275	0.0805704	0.00977088	0.000537681	0.00449585	0.0139171	0.00215466	0.0224222
ú	0.00334525	0.00452612	0.412235	0.25182	0.1736	0.0765423	0.0175457	0.003726	0.0116964	0.0113871	0.00218939	0.0313874
r	0.0174591	0.00103006	0.0950906	0.333474	0.239287	0.0544069	0.0391161	0.00438752	0.0116072	0.0323246	0.0128954	0.158921
á	0.109716	0.00948407	0.0546779	0.326404	0.320071	0.057374	0.0747284	0.00396314	0.0137503	0.00481091	0.0020006	0.0230205
o	0.029559	0.00360195	0.0160031	0.232511	0.328907	0.15562	0.176612	0.036866	0.0103486	0.00240579	0.002726	0.00483947
k	0.0066423	0.00329411	0.0199836	0.041402	0.225332	0.605512	0.0806051	0.00306963	0.002971	0.00446505	0.00319204	0.0035308
i	0.00018067	0.0017686	0.0180293	0.0160053	0.064623	0.865594	0.0175829	0.00186291	0.00147291	0.00413444	0.00329058	0.00545565
a	0.000159115	0.000758245	0.0264373	0.0760736	0.132915	0.681103	0.026472	0.00778342	0.0059784	0.0140023	0.004458	0.0238595
n	0.00596888	0.000918947	0.00289029	0.0525631	0.154127	0.250053	0.285256	0.163054	0.0670557	0.00788843	0.000956898	0.00926645
d	0.0105923	0.000626461	0.001136	0.00796155	0.0434826	0.056115	0.843251	0.0114084	0.0137795	0.000742269	8.60024e-05	0.0108185
z	0.00139835	0.000119373	0.000158241	0.00202246	0.0199092	0.0190409	0.939301	0.00449883	0.00555979	0.0011011	0.000153678	0.0067371
á	0.000604941	0.00017014	0.000890137	0.0157016	0.143883	0.0648546	0.730217	0.00252357	0.00627148	0.0042515	0.000686178	0.0299465
á	0.00211023	0.000737013	0.00626187	0.0507018	0.091151	0.205386	0.171955	0.113903	0.105393	0.0348194	0.0149655	0.202616
á	0.00340345	0.00105849	0.00281777	0.0134472	0.026968	0.0390782	0.115576	0.502525	0.249938	0.0269166	0.0056621	0.0126092
p	0.00301444	0.00173906	0.00812831	0.0194537	0.0285348	0.0373538	0.0248946	0.073207	0.355889	0.356258	0.0572665	0.0342606
f	5.31962e-05	9.75888e-05	0.00181978	0.00351715	0.00689993	0.0285084	0.0190925	0.0417009	0.0938732	0.487399	0.208153	0.108886
ú	0.00068042	0.000215473	0.00112987	0.00536633	0.00817015	0.0175387	0.0214174	0.0478731	0.185467	0.426457	0.161776	0.123908
u	0.00111648	0.000111495	0.000138741	0.00206821	0.00679157	0.012466	0.0110353	0.0466124	0.066382	0.348165	0.378349	0.126764
o	0.00175889	7.83305e-05	0.000762979	0.00518337	0.00669287	0.00683432	0.0255608	0.0426829	0.215263	0.370876	0.111319	0.212988
p	0.0011839	0.000447019	0.00129667	0.0071013	0.0121672	0.0122242	0.00681633	0.0037672	0.0312734	0.396297	0.393359	0.134066
é	3.93009e-05	0.000210048	0.0014906	0.00474702	0.00632811	0.0139678	0.00246564	0.00337267	0.0180596	0.307569	0.525641	0.116109
e	6.4983e-05	4.30955e-05	0.000388301	0.00159301	0.00247997	0.00527175	0.00278636	0.0172999	0.0305269	0.221168	0.594902	0.123475
</S>	0.00152322	0.000189494	0.00173987	0.00892313	0.0107175	0.0101219	0.0283888	0.0638095	0.204278	0.200052	0.112752	0.357505
