 	les	jeunes	d'	ongonza	pratiquent	la	pêche	au	filet	dans	le	ruisseau	vouma	pen-	dant	la	grande	saison	sèche	</S>
a	0.383174	0.340518	0.114963	0.0388565	0.0894902	0.0207358	0.00117345	0.00358716	0.000400349	0.00392813	0.00093089	0.0012939	5.74856e-05	5.86161e-06	7.40941e-05	0.000191397	0.000185725	0.000338621	6.89175e-05	2.58733e-05
p	0.0503023	0.815557	0.0622617	0.028819	0.0159126	0.00424571	0.00241833	0.00110195	0.00391437	0.00135986	0.00102557	0.00165789	0.000124964	0.000392619	0.00312689	0.00069872	0.000302461	0.000798841	0.00499847	0.000981273
f	0.0114714	0.628143	0.0377591	0.0102756	0.188139	0.00930266	0.00963437	0.00168692	0.045613	0.00157671	0.00242607	0.00526512	0.000162235	0.00143306	0.025902	0.00266402	0.00103318	0.00123135	0.0132295	0.00305185
é	0.0546167	0.687789	0.0806558	0.00922631	0.0924256	0.0107651	0.0127253	0.00259306	0.015945	0.00394101	0.00282108	0.00668743	6.59671e-05	0.000658263	0.0128782	0.00119186	0.000618659	0.000932281	0.00286481	0.000598194
é	0.0713056	0.633524	0.131476	0.0207849	0.0582049	0.00880429	0.00322797	0.00501088	0.00321674	0.00551533	0.00310926	0.00322081	0.000196047	0.000500619	0.0111855	0.00243562	0.00220745	0.00391433	0.00708486	0.0250753
b	0.28166	0.0679503	0.489327	0.0471704	0.0514522	0.00861403	0.00355939	0.012838	0.000666489	0.0119018	0.00221185	0.00123689	0.00129194	0.00340605	0.00323221	0.00111539	0.00119802	0.00127402	0.000318909	0.00957512
ó	0.0700735	0.0449236	0.29929	0.179143	0.0330056	0.0641127	0.0379748	0.0176213	0.00168567	0.0163543	0.0179627	0.00785629	0.00317351	0.00325496	0.0127041	0.0231839	0.0437573	0.0494663	0.0123216	0.0621356
n	0.154565	0.0216754	0.291329	0.255363	0.136329	0.044536	0.0152366	0.0185065	0.000577688	0.00761907	0.0045144	0.00713624	0.00995192	0.00883981	0.00276487	0.00368774	0.00304986	0.0047778	0.0014144	0.00812638
g	0.116692	0.0186053	0.220489	0.565702	0.0202844	0.0135984	0.00114471	0.00693377	8.68516e-05	0.00200149	0.00413528	0.00269307	0.0132736	0.000862886	0.00014529	0.00160675	0.00153533	0.00235753	0.000177102	0.00767581
ó	0.00858057	0.00431962	0.0652192	0.913474	0.00323779	0.00149565	0.000397579	0.000267532	1.30272e-05	3.56043e-05	0.000234423	0.000671736	0.00146659	0.000160658	2.69661e-05	9.24226e-05	5.03263e-05	8.49186e-05	1.95855e-05	0.000151674
n	0.0272372	0.0108014	0.224967	0.627939	0.0202859	0.0223598	0.0103611	0.00584306	0.000332331	0.000427965	0.00261837	0.0215149	0.0189021	0.000575748	0.000147862	0.00114203	0.000749269	0.00189134	0.000346469	0.001557
d	0.0193021	0.0140384	0.165357	0.351668	0.359018	0.0412337	0.00398013	0.00798113	0.000553811	0.00129422	0.00349445	0.00478448	0.00799015	0.00212714	0.000568733	0.00193807	0.00114954	0.00130045	0.000417492	0.0118038
z	0.0071933	0.00442845	0.0752828	0.592957	0.23063	0.053923	0.00334942	0.00380305	0.00043507	0.00032032	0.00174962	0.00557773	0.0117202	0.00085803	0.000239576	0.000833221	0.000483279	0.000677517	0.000401684	0.00513649
