 	le	bateau	descend	vers	oyo	</S>
a	0.683172	0.306466	0.0032528	0.00690963	0.000126894	7.2122e-05
s	0.0753568	0.919738	0.00263496	0.00103005	0.000822475	0.000417735
ú	0.0470452	0.950514	0.000273986	0.000420293	0.00080919	0.000937754
a	0.251241	0.729424	0.000870029	0.00141575	0.0077067	0.00934284
á	0.274819	0.051153	0.201362	0.109891	0.00540699	0.357367
b	0.1486	0.10105	0.558211	0.125183	0.0234359	0.0435196
h	0.0480596	0.0153374	0.810219	0.109128	0.000456998	0.0167994
i	0.140334	0.0349488	0.52628	0.244884	0.000609744	0.0529441
m	0.0887632	0.0732812	0.442673	0.239356	0.0105625	0.145364
á	0.0673887	0.0362034	0.0488912	0.648748	0.0090516	0.189717
a	0.0359938	0.0183925	0.279937	0.453279	0.0427028	0.169695
k	0.0122215	0.00669827	0.620992	0.221643	0.0808291	0.0576163
y	0.00073673	8.38742e-05	0.948256	0.0159163	0.0123861	0.0226209
ε	0.00362984	0.00145248	0.836537	0.0780861	0.0152192	0.0650754
l	0.00880772	0.00399049	0.549089	0.202597	0.0119858	0.22353
έ	0.00393282	0.00195892	0.479768	0.324398	0.0118667	0.178075
m	0.00767171	0.0021372	0.052572	0.785128	0.0808624	0.0716288
á	0.0165446	0.00712678	0.0023013	0.214454	0.0898375	0.669736
l	0.013707	0.00548182	0.0385917	0.355326	0.433306	0.153588
á	0.0144746	0.00591339	0.0274624	0.170294	0.529808	0.252048
o	0.000987479	0.000431502	0.0034617	0.0294376	0.846966	0.118716
y	0.00246238	0.00182392	0.0117527	0.0156575	0.831607	0.136696
ó	0.000386334	0.00039651	0.000277721	0.00371249	0.969643	0.0255835
o	0.00037169	8.94045e-05	0.000902401	0.00528464	0.879497	0.113855
</S>	0.00492866	0.00222717	0.00606348	0.0531309	0.235321	0.698329
