 	tu	fais	trop	de	bruit	va	jouer	autre	part	</S>
n	0.665387	0.0860893	0.0269386	0.0279917	0.158512	0.0204086	0.00489462	0.00799571	0.00157434	0.000208544
ω	0.975474	0.0173723	0.00075861	0.00262419	0.0011431	0.000173837	0.000170936	0.0015072	0.000741738	3.43842e-05
o	0.454886	0.463852	0.011333	0.00935056	0.00924827	0.00450066	0.00358334	0.0094942	0.0125699	0.0211826
p	0.00945252	0.458638	0.285112	0.0448246	0.0414007	0.0317453	0.0189415	0.0138532	0.00888387	0.0871484
é	0.00325858	0.184174	0.469897	0.0309814	0.0612518	0.0782793	0.0326867	0.00326579	0.00289805	0.133307
n	0.00430087	0.233428	0.656292	0.0476332	0.0321717	0.00803616	0.00991906	0.000944674	0.000533519	0.00674057
d	0.0352581	0.241351	0.479406	0.0985315	0.0569491	0.0333798	0.0151763	0.00458747	0.00457533	0.030785
í	0.0403131	0.304405	0.215802	0.166523	0.126931	0.0419773	0.0163841	0.0109421	0.00719737	0.0695246
l	0.0126804	0.0340805	0.0881298	0.416279	0.29609	0.0940922	0.0233029	0.0217803	0.00385098	0.00971425
o	0.0145606	0.0840314	0.16802	0.14067	0.162376	0.182259	0.0677088	0.0228844	0.00861258	0.148877
b	0.0182184	0.062288	0.0562499	0.281225	0.224867	0.228758	0.0232992	0.0181986	0.0108798	0.0760165
h	0.00315002	0.039663	0.10522	0.16773	0.333257	0.272778	0.0561076	0.00634983	0.00258746	0.0131571
ó	0.00106125	0.00612326	0.030302	0.0623249	0.334246	0.279258	0.198215	0.0114366	0.00450041	0.0725335
d	0.000228691	0.00265902	0.0111217	0.0646161	0.379057	0.333294	0.172896	0.0153112	0.0020637	0.0187527
z	0.000470301	0.00348889	0.00770805	0.0852137	0.126214	0.221297	0.256292	0.028133	0.00285622	0.268326
w	0.00308306	0.00989235	0.0197481	0.070247	0.142997	0.3772	0.130954	0.0759737	0.0182418	0.151663
a	0.00374326	0.00750196	0.0241882	0.0504609	0.118573	0.17913	0.174386	0.0641232	0.0269384	0.350955
á	0.000594987	0.00116117	0.00282514	0.0786881	0.0601317	0.170962	0.339839	0.126235	0.0205472	0.199016
ω	0.00196328	0.0113427	0.00874554	0.0304559	0.0114704	0.0330471	0.230697	0.382228	0.100936	0.189115
s	0.000384852	0.0200679	0.0169774	0.0331882	0.0352075	0.0570299	0.349378	0.317033	0.087244	0.083489
a	0.00181724	0.0134118	0.00392345	0.0223562	0.0175471	0.0154845	0.160481	0.575862	0.0460536	0.143063
n	0.00064547	0.00132474	0.000781356	0.0275031	0.0195429	0.0322007	0.0967443	0.506211	0.0534842	0.261562
á	0.000252548	0.00165331	0.00198784	0.0386426	0.0248781	0.0374466	0.334107	0.298331	0.12784	0.134862
á	0.000430059	0.00149766	0.00292892	0.0111109	0.00478906	0.0107334	0.077616	0.346658	0.239353	0.304883
e	0.00292898	0.0117977	0.00946649	0.0203629	0.0108747	0.00991595	0.072519	0.565546	0.166697	0.129892
b	0.00134853	0.0211276	0.0242026	0.0513595	0.0252352	0.0330608	0.137316	0.369133	0.135302	0.201914
é	0.000816563	0.00871087	0.0262846	0.0735146	0.038894	0.0382901	0.236036	0.305086	0.191572	0.0807955
e	0.000107243	0.00117756	0.00494057	0.00831897	0.00606882	0.018838	0.184804	0.111017	0.0435116	0.621215
e	0.000147293	0.00351729	0.00708257	0.0137963	0.00505673	0.0094376	0.0948902	0.347091	0.122957	0.396024
s	0.000745946	0.0110608	0.0132499	0.0528061	0.014065	0.0149775	0.100875	0.331938	0.0918163	0.368465
ú	0.00068211	0.00447144	0.000986554	0.0104851	0.00306355	0.00158418	0.0134858	0.723308	0.0648098	0.177123
s	0.00053636	0.000711934	0.000407512	0.00595114	0.00415115	0.00327835	0.0235505	0.709955	0.108852	0.142606
u	0.00163016	0.00317819	0.0047446	0.0247904	0.0145374	0.0180084	0.0466561	0.591504	0.14901	0.14594
</S>	4.96934e-05	0.000639798	0.000792455	0.00750787	0.0026818	0.00347974	0.0450483	0.327615	0.0896486	0.522537
