 	le	temps	est	brumeux	ce	matin	</S>
o	0.284332	0.416486	0.190392	0.0340522	0.0581974	0.00207625	0.014465
y	0.0467726	0.293016	0.0581514	0.0809314	0.035044	0.380971	0.105114
ó	0.16169	0.267118	0.021977	0.0412003	0.00920563	0.404172	0.0946379
l	0.0204709	0.173964	0.0301363	0.016805	0.0198484	0.545032	0.193743
o	0.100912	0.474411	0.184121	0.0590623	0.0357989	0.0887458	0.0569498
m	0.192284	0.156068	0.251332	0.0590364	0.243346	0.0539284	0.0440049
ú	0.370917	0.0346197	0.173267	0.0954895	0.235023	0.00613638	0.0845472
b	0.147666	0.0182403	0.235896	0.118525	0.389178	0.00678746	0.0837081
v	0.245004	0.0284221	0.069409	0.148241	0.43584	0.0117444	0.0613394
ú	0.150297	0.03422	0.164266	0.287689	0.23881	0.0978732	0.0268448
s	0.0245516	0.0122214	0.0998805	0.144264	0.375378	0.0930043	0.2507
á	0.0711503	0.0141523	0.0707215	0.2426	0.101928	0.180518	0.31893
ó	0.0406069	0.00382129	0.0758961	0.189524	0.505583	0.0715246	0.113044
d	0.0156098	0.00943037	0.0400027	0.109421	0.263052	0.199049	0.363435
í	0.00738686	0.00296563	0.0181482	0.0883801	0.0782238	0.250739	0.554156
l	0.0126604	0.0012412	0.0462398	0.129161	0.462613	0.022518	0.325566
a	0.00232454	0.00159756	0.0188972	0.116417	0.0766253	0.0810874	0.703052
l	0.00905048	0.00352302	0.0206576	0.0971024	0.166063	0.0878622	0.615741
e	0.00751748	0.0034553	0.0196144	0.111073	0.0998525	0.19054	0.567947
b	0.00231308	0.00385719	0.00921156	0.0292435	0.0961489	0.244016	0.61521
o	0.0104082	0.0109415	0.0513463	0.0726755	0.239099	0.122413	0.493116
n	0.000404574	0.00169752	0.00347243	0.0102192	0.0128613	0.081023	0.890322
g	0.013036	0.0426193	0.0165943	0.0340273	0.0372875	0.286486	0.56995
i	0.0135823	0.0210991	0.0227399	0.110072	0.106133	0.216222	0.510151
</S>	0.00736055	0.012883	0.0294758	0.0510459	0.17795	0.0221834	0.699101
