 	sa	manière	de	réchauffer	le	repas	risque	de	tout	calciner	</S>
e	0.172915	0.694685	0.0529984	0.0728948	0.00149012	0.000546486	0.000249681	0.00157113	0.00125779	0.000596284	0.000795602
k	0.00041765	0.0042789	0.0440386	0.927972	0.00727722	0.000192026	0.00543576	0.00226958	0.000560606	0.00738769	0.000169919
u	0.00383659	0.0055936	0.0168633	0.857905	0.0407248	0.00244644	0.0199004	0.0148785	0.0040257	0.028962	0.00486369
r	0.000328536	0.00159144	0.0148893	0.91964	0.0337325	0.000438228	0.0114974	0.0112229	0.00222504	0.00300669	0.00142783
u	0.0261874	0.0282246	0.118443	0.64042	0.10392	0.0111189	0.00673498	0.0488443	0.00970385	0.00386973	0.0025332
r	0.0296106	0.00740887	0.166025	0.21369	0.238965	0.0664584	0.0409154	0.0758646	0.0477141	0.01496	0.0983872
ú	0.0281194	0.00615865	0.128542	0.161042	0.145816	0.0851793	0.0314918	0.124755	0.0727347	0.0165031	0.199658
y	0.219561	0.0368622	0.212674	0.091203	0.116973	0.0400776	0.102397	0.0337166	0.0391802	0.0166696	0.0906852
é	0.105004	0.0346493	0.365921	0.022759	0.0415386	0.0180623	0.0868897	0.0583825	0.0343897	0.0108427	0.221561
é	0.0205131	0.058337	0.471123	0.089403	0.149113	0.057233	0.0539792	0.0252965	0.0202142	0.0119981	0.0427903
k	0.00180282	0.00762856	0.271897	0.206627	0.189013	0.0148808	0.162435	0.0454549	0.0233286	0.0320853	0.0448467
u	0.000376671	0.000567878	0.0991696	0.572409	0.19971	0.0173216	0.0389678	0.0271386	0.0109622	0.0127448	0.0206324
r	0.000223138	0.00173773	0.0865742	0.602724	0.174749	0.0281857	0.0190587	0.0202011	0.00669041	0.011144	0.0487121
ú	0.00582372	0.00369373	0.175273	0.259259	0.254675	0.182898	0.0256661	0.0313507	0.0168273	0.00376271	0.0407714
r	0.00200872	0.00271385	0.136024	0.141444	0.391621	0.28994	0.0112376	0.00944271	0.00752857	0.000567175	0.00747277
á	0.0227366	0.018482	0.162276	0.021757	0.479426	0.224164	0.0320986	0.0167297	0.00710279	0.00204859	0.0131777
w	0.00312301	0.00917446	0.0838818	0.0597369	0.408308	0.248765	0.129604	0.0251092	0.0175854	0.00600369	0.00870868
a	0.00518717	0.00629915	0.0329215	0.0660289	0.21926	0.55488	0.0333755	0.0330143	0.0379333	0.00255473	0.00854494
a	0.00129715	0.0018966	0.0148445	0.0369552	0.28777	0.493972	0.0987734	0.0271312	0.0216625	0.00452677	0.0111714
t	0.00373396	0.0191195	0.0665487	0.0403237	0.0776218	0.0458052	0.598622	0.0931588	0.0262042	0.0149127	0.0139494
ú	0.000325146	0.000679586	0.00962145	0.0104099	0.0417919	0.035222	0.570632	0.205595	0.0779592	0.0144692	0.0332952
n	0.000389087	0.000371839	0.0141158	0.0544833	0.0817658	0.12284	0.401488	0.168459	0.0661425	0.013684	0.076261
g	0.00310784	0.00236526	0.0248148	0.0355409	0.11305	0.348286	0.291949	0.100403	0.0337485	0.00727234	0.0394627
ú	0.00519059	0.00143095	0.0283016	0.0375374	0.148439	0.187583	0.491596	0.0615094	0.016211	0.00829081	0.0139098
y	0.00141376	0.00102357	0.0208996	0.00388341	0.0262037	0.0862644	0.367314	0.315321	0.152975	0.00637791	0.0183228
é	0.0857843	0.0176119	0.0195007	0.000866196	0.0219507	0.0261598	0.637063	0.136809	0.0356547	0.00799158	0.0106084
l	0.00714465	0.00783789	0.00671374	0.00172545	0.0102638	0.0502298	0.187	0.352283	0.32135	0.0283304	0.0271205
o	0.000966355	0.00311879	0.0121199	0.00109018	0.00829489	0.00480997	0.247621	0.365493	0.0586616	0.0354928	0.262331
y	0.000190686	0.000611067	0.00290832	0.000947884	0.00690264	0.0040763	0.464823	0.352251	0.0636493	0.0808513	0.0227889
a	0.000626081	0.0011598	0.0119086	0.00145787	0.00437633	0.00557725	0.459097	0.291747	0.146108	0.0594808	0.0184618
a	0.000440781	0.000485826	0.00338385	0.00151269	0.00345186	0.00894866	0.190219	0.296956	0.383396	0.0616261	0.0495788
á	5.58034e-05	9.85512e-05	0.00262717	0.00281933	0.00161822	0.000736176	0.0283231	0.240049	0.369111	0.123824	0.230739
b	0.000721427	0.000962744	0.0113454	0.0133528	0.00778953	0.000777599	0.0474562	0.112486	0.126672	0.534466	0.14397
o	6.91433e-05	0.000399147	0.00714652	0.0709196	0.00378122	0.00121724	0.00796867	0.161169	0.274363	0.296453	0.176513
n	1.10669e-05	0.000151877	0.00233688	0.00785835	0.00170047	0.000747384	0.0415349	0.156573	0.129551	0.428287	0.231247
g	0.00131827	0.000667711	0.00581107	0.00607624	0.00539519	0.0079291	0.0568917	0.158349	0.22497	0.310811	0.221781
í	0.00108624	0.000478688	0.00327457	0.00621371	0.00666091	0.0129479	0.0506829	0.156872	0.121413	0.387327	0.253044
</S>	0.000902541	0.000479478	0.00387198	0.00311104	0.00485347	0.0061476	0.00819144	0.0829856	0.217606	0.127319	0.544531
