 	l'	héron	est	en	train	de	se	promener	dans	la	savane	brûlée	</S>
m	0.58988	0.293306	0.0499862	0.0154176	0.0220656	0.0141586	0.00380628	0.00383121	0.00556719	0.00154826	0.000362681	5.39084e-05	1.72501e-05
w	0.0907765	0.577002	0.180111	0.117847	0.00369349	0.0166859	0.00652742	0.00041651	0.0019084	0.00192316	0.00055105	9.35924e-05	0.00246425
á	0.0306226	0.926858	0.0293808	0.0111397	0.000269592	0.00070096	0.000481797	0.000194083	3.80906e-05	7.11488e-05	2.80391e-05	6.26534e-05	0.000152581
b	0.459015	0.289315	0.112163	0.0736783	0.00981096	0.0258051	0.00821992	0.00188143	0.000860947	0.000800662	0.000102693	0.000407918	0.017938
h	0.12999	0.539178	0.113765	0.0961891	0.0483137	0.0207577	0.0114268	0.00891676	0.00148196	0.00277161	0.000262899	0.00161415	0.0253319
á	0.22997	0.309737	0.258926	0.0627659	0.0694407	0.0365854	0.0154628	0.00435985	0.00133197	0.00153338	0.000429094	0.00164173	0.00781617
b	0.114923	0.0128907	0.315245	0.162315	0.0373552	0.200237	0.0737488	0.0131243	0.0196243	0.0139671	0.00844934	0.00472778	0.0233923
ó	0.01992	0.00867569	0.0415884	0.297871	0.0987955	0.142741	0.206192	0.0303677	0.0407189	0.0376258	0.00725554	0.00646639	0.0617817
m	0.0914579	0.00438834	0.0483955	0.0869309	0.137256	0.313395	0.182345	0.0122696	0.0588545	0.0212648	0.0167454	0.00666367	0.0200339
ó	0.229273	0.0380429	0.0899747	0.0294039	0.00178168	0.235128	0.171448	0.111292	0.0485733	0.0177837	0.00117855	0.00437586	0.0217437
o	0.469904	0.0195481	0.0358727	0.0148155	0.00891257	0.138402	0.140125	0.0966692	0.0367568	0.0129757	0.00804621	0.00926832	0.00870316
b	0.0270271	0.00562627	0.00954056	0.0202935	0.00162678	0.037133	0.184725	0.518607	0.0765119	0.0447775	0.0316378	0.0120735	0.03042
h	0.00514344	0.00468023	0.00609388	0.0139121	0.00356534	0.0093155	0.183417	0.758036	0.00870668	0.00380471	0.000389943	0.000723308	0.00221211
é	0.00395319	0.00122432	0.00115934	0.00847058	0.00261388	0.00212054	0.0436569	0.921773	0.00704443	0.00339203	0.000529876	0.000543874	0.00351757
m	0.00439516	0.00425942	0.0122932	0.0541381	0.0125617	0.0392517	0.10655	0.578346	0.0835734	0.0404256	0.00531704	0.00609151	0.0527968
b	0.130219	0.0267369	0.0534342	0.0381988	0.00889168	0.120412	0.0567898	0.284636	0.17356	0.0566797	0.00283274	0.0241118	0.0234967
á	0.0912863	0.0418637	0.0267414	0.0650096	0.012659	0.0616581	0.0614455	0.472899	0.0749685	0.0398245	0.00270584	0.00656019	0.0423785
s	0.00411951	0.00140447	0.00647383	0.0106749	0.00034568	0.0425102	0.0305776	0.0708583	0.659186	0.141649	0.0128499	0.0110766	0.00827381
í	0.0441721	0.0209559	0.00665429	0.00358774	8.55246e-05	0.00308934	0.00537553	0.148398	0.204234	0.175665	0.0807471	0.180179	0.126857
b	0.0118421	0.00265909	0.011529	0.00457818	0.00111431	0.019622	0.0110208	0.0191779	0.33825	0.229649	0.185895	0.119647	0.0450156
h	0.00735311	0.00725692	0.0119228	0.0211257	0.0121656	0.00655128	0.0439891	0.272898	0.157449	0.258096	0.0700691	0.052469	0.0786546
y	0.00230588	0.00493678	0.00324275	0.0174623	0.00868418	0.00407809	0.0248864	0.322091	0.107784	0.168783	0.0397022	0.0471278	0.248916
á	0.00529835	0.0695412	0.00662801	0.00868412	0.000870804	0.00402632	0.00567484	0.218231	0.06525	0.131286	0.108926	0.118514	0.25707
á	0.00367567	0.00320406	0.00318552	0.00573077	0.000416969	0.0068798	0.0114078	0.0440143	0.113033	0.188715	0.0860447	0.0709309	0.462762
g	0.00112104	0.000575675	0.00728911	0.00837999	0.000376163	0.00671876	0.00560183	0.00393781	0.0401745	0.112037	0.241882	0.332022	0.239885
h	0.00233049	0.00124429	0.00156413	0.00685991	0.000157361	0.00103946	0.00233616	0.0156841	0.0292497	0.107238	0.18602	0.323897	0.32238
á	0.00193909	0.00207733	0.001064	0.00247357	3.0969e-05	0.000395275	0.000838996	0.00356587	0.0180148	0.0839704	0.17957	0.545714	0.160346
</S>	0.00115826	0.000258069	0.00065994	0.000907706	0.000248425	0.000884602	0.000812099	0.00137865	0.0197048	0.0501201	0.0839549	0.26681	0.573103
