 	les	deux	rivales	se	dédaignent	n	odíb	</S>
a	0.606765	0.373002	0.0167684	0.00196229	0.000318584	0.00103984	0.000137387	6.65189e-06
m	0.161649	0.711224	0.11717	0.00332765	0.00167683	0.00218028	0.001669	0.0011042
b	0.049661	0.271957	0.543669	0.0175322	0.0105786	0.0158718	0.0181497	0.0725806
a	0.132736	0.405432	0.427202	0.0105298	0.00266463	0.0128745	0.00184619	0.00671492
n	0.172309	0.570364	0.230087	0.00857985	0.00213993	0.0052765	0.00214338	0.00909971
d	0.215224	0.561283	0.179517	0.00400199	0.00401088	0.00157057	0.00117697	0.0332157
a	0.193513	0.695075	0.100537	0.00397961	0.000856951	0.00112795	0.00032074	0.00459024
á	0.251478	0.279392	0.14365	0.246857	0.0219645	0.0233865	0.000909289	0.0323624
b	0.310463	0.120167	0.278909	0.157483	0.0688038	0.0197305	0.00181846	0.0426249
a	0.0249448	0.030761	0.560459	0.194354	0.0954411	0.041866	0.0252347	0.0269394
á	0.0196364	0.0410954	0.619063	0.141372	0.101544	0.0318199	0.0132454	0.0322242
b	0.0267414	0.0137703	0.056119	0.385051	0.362954	0.0910945	0.00546929	0.0588009
ó	0.0106845	0.0238561	0.0897243	0.439302	0.292319	0.0803966	0.0167998	0.0469176
b	0.0192631	0.0208021	0.0482289	0.421896	0.180649	0.268675	0.0224271	0.0180578
á	0.15991	0.0536894	0.0839704	0.17602	0.13606	0.268716	0.0436255	0.078009
a	0.0131652	0.00839431	0.0125733	0.161129	0.410193	0.303101	0.0463388	0.0451048
d	0.00460742	0.00281649	0.019317	0.0795646	0.575766	0.201393	0.0755487	0.0409871
í	0.0015715	0.00086387	0.0165705	0.0216726	0.729377	0.120428	0.0635718	0.0459444
b	0.0123684	0.00140009	0.00453968	0.014881	0.630306	0.228193	0.0149543	0.0933575
h	0.0228647	0.00794497	0.012095	0.104154	0.443312	0.110841	0.0263558	0.272432
á	0.0175261	0.0018771	0.0276045	0.0622238	0.238772	0.337959	0.0714169	0.242621
á	0.0110253	0.00192006	0.00491671	0.0224766	0.177684	0.308714	0.0935669	0.379696
a	0.0461342	0.0165807	0.0193682	0.0256292	0.059628	0.181727	0.465259	0.185673
b	0.0147687	0.011108	0.00718268	0.0430075	0.0383237	0.0920721	0.756773	0.0367646
i	0.002484	0.0054191	0.00341767	0.00901156	0.00607934	0.0218166	0.94595	0.00582148
a	0.00106892	0.000929382	0.00401967	0.00282325	0.0136882	0.0246036	0.881118	0.0717488
</S>	0.00646783	0.000771745	0.00124199	0.00403953	0.00971819	0.0451624	0.382005	0.550593
