 	on	a	allumé	un	feu	de	brousse	</S>
á	0.854947	0.135092	0.00559906	0.00341017	0.000334529	0.000417014	0.000179931	1.94803e-05
m	0.0266559	0.357314	0.553455	0.0577639	0.0017819	0.000627262	0.00183315	0.000569176
i	0.0106005	0.135921	0.443175	0.163116	0.0786173	0.0202428	0.00262796	0.145701
k	0.0029054	0.0590603	0.746598	0.0890857	0.0509278	0.00731393	0.00218654	0.041922
a	0.000652878	0.00934883	0.905084	0.042766	0.0217638	0.00125447	0.00122882	0.0179011
n	0.00103017	0.014677	0.730228	0.214526	0.0245139	0.00348861	0.00207257	0.00946346
a	0.0202749	0.0949605	0.701579	0.143376	0.0178248	0.00415306	0.00169188	0.0161402
ω	0.140702	0.170167	0.040116	0.538581	0.0475202	0.0457093	0.00584354	0.011362
l	0.00159405	0.0199783	0.119788	0.546374	0.240408	0.0292095	0.0357891	0.00685901
ω	0.00119643	0.0174306	0.151626	0.351954	0.364026	0.0281106	0.0406568	0.0450003
n	0.0025234	0.0152143	0.14818	0.263566	0.290301	0.0413623	0.13387	0.104984
g	0.00162792	0.0118074	0.114873	0.354918	0.351548	0.0778563	0.0498242	0.0375453
ώ	0.0205044	0.0280303	0.0271853	0.196968	0.330802	0.20886	0.0620577	0.125591
m	0.00088105	0.00124645	0.0038208	0.107297	0.134542	0.302384	0.285023	0.164806
í	0.00730181	0.00167416	0.000897355	0.0826945	0.372367	0.225406	0.0151758	0.294484
á	0.00359893	0.00776505	0.00338706	0.0333356	0.0718542	0.164315	0.626823	0.0889216
</S>	0.00254827	0.00653301	0.00945308	0.0266649	0.0592907	0.165482	0.547415	0.182613
