 	ma	mère	a	lancé	un	cri	d'	étonnement	en	me	voyant	travailler	</S>
n	0.747293	0.0431659	0.0817425	0.010039	0.0262693	0.0014636	0.0476976	0.0269566	0.0109597	0.00239103	0.00147878	0.000119332	0.000423765
g	0.438	0.549945	0.00783961	5.14543e-05	0.000306942	0.000244422	0.000341894	0.00125186	0.00029235	0.001622	4.20619e-05	4.21097e-05	2.10936e-05
ó	0.0985095	0.86589	0.0108704	0.000930115	0.000564515	0.0105427	0.00039976	0.00424663	0.000475932	0.00673871	0.00045585	0.000248342	0.00012719
o	0.301847	0.659418	0.0131567	0.0010263	0.00117196	0.0193031	0.000567967	0.00153198	0.000170608	0.00121643	0.000249019	0.000124386	0.00021617
á	0.234149	0.0628842	0.189037	0.225731	0.139806	0.0965421	0.0139102	0.0114416	0.0070681	0.00795733	0.00281535	0.00175591	0.006901
s	0.0606243	0.0631964	0.0341062	0.143096	0.145691	0.421062	0.00807699	0.0198052	0.00371112	0.00633526	0.0568329	0.0284348	0.00902713
é	0.0180739	0.00169806	0.0103754	0.0920931	0.0203883	0.717474	0.00334041	0.0270836	0.00163331	0.00689978	0.0385086	0.0422536	0.0201777
m	0.0202377	0.00376058	0.0427878	0.188639	0.182761	0.404669	0.0161607	0.00441022	0.00857873	0.00760889	0.0252476	0.0503422	0.0447968
i	0.0420298	0.00401695	0.0350004	0.134651	0.224434	0.379242	0.0980682	0.0355853	0.0171162	0.00942039	0.00567417	0.00727881	0.00748237
é	0.0209529	0.000638101	0.0907528	0.081802	0.13565	0.0682028	0.374841	0.116762	0.0526111	0.0270272	0.0086915	0.00415031	0.0179182
t	0.00641973	0.000751999	0.0282193	0.0200506	0.0406159	0.110418	0.177964	0.317239	0.107727	0.101149	0.0723324	0.0137625	0.0033493
έ	0.00120311	4.61272e-05	0.0172473	0.0235614	0.0697165	0.0288407	0.259562	0.104384	0.238566	0.068075	0.125673	0.0469671	0.0161571
í	0.00579482	0.000278896	0.0150335	0.0457548	0.0504214	0.0130849	0.252124	0.135563	0.140399	0.0647405	0.0479776	0.0121838	0.216644
w	0.00200552	0.000112375	0.0188436	0.0174197	0.0548893	0.0085884	0.253155	0.183984	0.23479	0.131538	0.0701892	0.00935085	0.0151344
a	0.00308256	5.98471e-05	0.00182082	0.00551107	0.0126487	0.00544656	0.137249	0.15007	0.244493	0.189624	0.142764	0.0400859	0.0671457
n	0.00124391	4.12123e-05	0.00761912	0.00539596	0.017118	0.00995636	0.16959	0.0580836	0.29135	0.23995	0.123889	0.0343912	0.0413729
g	0.00467416	4.53674e-05	0.00156219	0.00130785	0.00150027	0.00774573	0.0165899	0.0838632	0.0587192	0.624442	0.129975	0.0239742	0.0456012
á	0.00194285	0.000547201	0.00162649	0.000532301	0.000966646	0.0287796	0.00502703	0.0247157	0.0218181	0.885191	0.0180263	0.00522638	0.0056
l	0.0011419	8.40715e-05	0.010328	0.00459944	0.00838679	0.000535961	0.137531	0.0429462	0.354145	0.170063	0.177997	0.0591956	0.0330465
í	0.00051462	1.33965e-05	0.000538355	0.00154557	0.000870397	0.00144912	0.00941643	0.0151085	0.0525725	0.144916	0.495549	0.140421	0.137085
i	0.00615305	0.000238778	0.00371703	0.00450262	0.0157453	0.00353338	0.0841033	0.0264528	0.228046	0.138235	0.136304	0.298921	0.0540471
s	1.9862e-05	3.37997e-05	0.000467909	0.00148755	0.000413405	0.00097342	0.0006056	0.000576472	0.00722058	0.0130083	0.310256	0.620356	0.0445818
á	2.2878e-06	1.52915e-05	0.000173084	0.0013424	0.000533629	0.00109583	0.000342355	0.0014219	0.00447236	0.0145173	0.119297	0.836774	0.0200123
l	0.000547591	1.34663e-05	0.000256746	0.00100918	0.000719481	0.000341309	0.00361643	0.00181945	0.00818169	0.00853677	0.0885646	0.819492	0.0669012
a	0.000462045	2.13934e-05	0.00016579	0.000177786	0.000250083	0.000203563	0.0253408	0.0263584	0.0489384	0.0851498	0.17771	0.38891	0.246312
</S>	0.000592002	2.39459e-05	0.00108894	0.00129212	0.001582	0.00055469	0.0223914	0.00672777	0.0652467	0.0591849	0.126435	0.167073	0.547808
