 	ceux-ci	sont	des	médicaments	contre	les	maux	de	têtes	ceux-là	contre	les	maux	de	ventre	</S>
m	0.510831	0.335577	0.0739275	0.00258814	0.00683192	0.00489595	0.00576288	0.0344166	0.00354548	0.00379339	0.0042525	0.00357568	0.0028042	0.0068343	0.000343103	2.03894e-05
á	0.0695109	0.174224	0.205146	0.0806021	0.0553979	0.0802395	0.0667231	0.0319836	0.00547641	0.0831513	0.0309305	0.0142084	0.0410745	0.0195843	0.00261666	0.0391315
m	0.230012	0.328449	0.227982	0.0606232	0.0226104	0.0141177	0.0124517	0.0239531	0.00857993	0.00880229	0.0173595	0.0108756	0.00695828	0.0113779	0.0104859	0.00536078
a	0.141872	0.315977	0.273206	0.143078	0.0389638	0.0119241	0.00217195	0.003766	0.000480064	0.0195904	0.0137593	0.00292718	0.00173962	0.00161845	0.000495714	0.0284301
r	0.109405	0.158834	0.256472	0.151483	0.119724	0.0140451	0.00643512	0.0184687	0.0107882	0.0301007	0.049369	0.0233099	0.00677756	0.0116767	0.0125897	0.0205216
é	0.355417	0.149514	0.198327	0.102481	0.0248706	0.0258958	0.00430037	0.00720123	0.00302756	0.00489676	0.0125698	0.0133599	0.0086135	0.00718246	0.00415089	0.0781927
m	0.106103	0.0729577	0.202708	0.25132	0.209567	0.0607689	0.0162395	0.0128759	0.00108007	0.00430844	0.00836062	0.00681386	0.00896878	0.0168252	0.00280698	0.0182968
á	0.0894595	0.0353777	0.095896	0.214941	0.131109	0.125026	0.022432	0.0695042	0.0045519	0.123315	0.0460916	0.0125311	0.00636806	0.0111011	0.002449	0.00984731
i	0.0714331	0.0514086	0.0779165	0.106551	0.352679	0.127627	0.0382595	0.0708153	0.0212985	0.0138499	0.0254659	0.0108313	0.00754504	0.0121479	0.00456991	0.00760032
b	0.0230186	0.017901	0.0448795	0.151986	0.281877	0.0767319	0.0275472	0.105737	0.190013	0.0209215	0.017661	0.0100001	0.00477171	0.00537162	0.0138124	0.00777068
o	0.0406455	0.0286299	0.0363091	0.0219092	0.339671	0.0737337	0.0638534	0.119058	0.148255	0.0550533	0.0318546	0.0119486	0.00756501	0.00245406	0.0151186	0.00394113
ó	0.0176802	0.00496321	0.0300365	0.0566869	0.315591	0.0209445	0.011926	0.0452896	0.400804	0.0109178	0.0208636	0.0152647	0.00562587	0.00704755	0.0204054	0.015953
b	0.016383	0.00782505	0.014409	0.0138108	0.107212	0.270677	0.244024	0.211019	0.0172291	0.0276378	0.0328104	0.0128724	0.00943018	0.00856462	0.000791301	0.00530389
v	0.0180594	0.00409363	0.00312165	0.00363298	0.0454349	0.0358448	0.139624	0.251425	0.135411	0.0601537	0.121274	0.0724677	0.0533072	0.0209355	0.0157639	0.0194491
ú	0.00398275	0.000467535	0.00107404	0.00148735	0.0280006	0.0602234	0.21628	0.229391	0.0811798	0.0348648	0.0783992	0.0981824	0.0999878	0.0168265	0.0178863	0.0317671
a	0.00549378	0.00139696	0.00344657	0.00625596	0.0443036	0.112554	0.117129	0.284452	0.20137	0.0709525	0.0807744	0.0437263	0.0104215	0.0113167	0.00340496	0.0030003
m	0.00319253	0.00152194	0.0033694	0.00231695	0.00584897	0.0457998	0.172407	0.279219	0.0850775	0.163229	0.103696	0.0577856	0.0340906	0.0318218	0.00303533	0.00758878
á	0.0146576	0.00824262	0.00517582	0.00830097	0.00570017	0.0172502	0.0167119	0.0554033	0.0213232	0.365118	0.148999	0.058763	0.0543307	0.109613	0.0104392	0.0999702
m	0.00632071	0.00506303	0.00337256	0.0015691	0.00590328	0.0230751	0.0501735	0.102753	0.39418	0.0889618	0.0600887	0.0803279	0.0502791	0.0780631	0.0424333	0.00743598
á	0.00228054	0.00359221	0.00311371	0.00323918	0.00418205	0.0191234	0.022698	0.0299676	0.0163157	0.374444	0.17244	0.0835715	0.089418	0.0970756	0.0172451	0.0612937
i	0.00625092	0.002339	0.00231249	0.00150343	0.00317065	0.00845722	0.022143	0.0847317	0.0845407	0.109504	0.170811	0.156634	0.0815799	0.187967	0.0516451	0.0264105
f	0.00116176	0.000489946	0.00076657	0.00153225	0.00112221	0.00277794	0.0196691	0.0572798	0.177275	0.206017	0.115819	0.0961674	0.0751201	0.0959228	0.0845282	0.0643507
ú	0.00114163	0.000708351	0.000773818	0.000829643	0.00411652	0.00129755	0.00469244	0.0314087	0.559284	0.0396732	0.0681665	0.0956064	0.0285469	0.0418044	0.0934266	0.0285236
n	0.00105552	0.000109533	0.000150413	0.00025032	0.000269039	0.00129265	0.00612738	0.046879	0.624832	0.0313019	0.0625141	0.106594	0.0323005	0.0232689	0.0407339	0.0223207
d	0.00048048	0.00031979	0.000997138	0.000962651	0.000556448	0.00499607	0.00703201	0.100438	0.453702	0.036749	0.0898604	0.165672	0.0506227	0.0276936	0.0340346	0.0258828
ú	9.16371e-05	4.64527e-05	0.000383501	0.000639239	0.00137551	0.012656	0.0326365	0.123969	0.171492	0.0514884	0.0994913	0.217021	0.154048	0.040793	0.057254	0.0366157
b	0.000584229	0.000198184	0.000738445	0.000270208	0.000608635	0.00547489	0.0470921	0.0552904	0.0242543	0.0685962	0.100165	0.186096	0.267021	0.171965	0.034042	0.0376035
v	0.00418886	0.00128407	0.000881094	0.000450246	0.00698272	0.0065092	0.0258237	0.0713577	0.126915	0.017565	0.0598842	0.113233	0.142492	0.161801	0.131664	0.128969
ú	0.0168669	0.00107064	0.000854915	0.000838772	0.00222569	0.00981654	0.0152488	0.0249808	0.0456285	0.0142561	0.0471851	0.184611	0.215628	0.118477	0.206326	0.0959853
a	0.000273185	5.10844e-05	0.00016179	0.000303906	0.000278825	0.000915897	0.00584447	0.0159624	0.0689266	0.0172456	0.0539585	0.168489	0.1064	0.219858	0.249442	0.0918888
</S>	0.00112628	0.000468135	0.001657	0.00082894	0.00199226	0.00734364	0.0292757	0.0140813	0.00126321	0.030403	0.0318628	0.0530065	0.190657	0.31879	0.0966888	0.220555
