 	okaa	cherche	son	enfant	</S>
o	0.998047	0.000447942	0.00136185	0.000105771	3.76289e-05
k	0.995657	0.00401541	0.000113533	9.16114e-05	0.000122505
á	0.998298	0.00142166	0.000199514	3.19311e-05	4.84288e-05
á	0.939175	0.0300092	0.00199139	0.00111771	0.0277071
l	0.108707	0.502154	0.117661	0.011984	0.259493
á	0.0182605	0.310139	0.024112	0.00429799	0.64319
a	0.00911955	0.223195	0.418222	0.161965	0.187498
y	0.00194992	0.963096	0.0189899	0.00868118	0.00728284
é	1.53118e-05	0.99474	0.00283645	0.000232812	0.00217507
n	9.99238e-05	0.814414	0.0761958	0.00456535	0.104725
g	0.00258186	0.897631	0.0372261	0.00136569	0.0611949
á	0.110488	0.626079	0.102674	0.00268777	0.158071
m	0.000258789	0.031198	0.904403	0.0520588	0.0120811
w	2.95371e-06	0.00103366	0.0296669	0.956549	0.0127478
á	3.85146e-06	0.000207393	0.00147559	0.997552	0.000761255
n	1.60654e-05	0.000135022	0.0264771	0.961402	0.01197
a	0.000156652	0.00935983	0.0997712	0.793246	0.0974662
y	0.00172199	0.103203	0.628966	0.0447157	0.221394
a	0.0024247	0.393268	0.434432	0.0549098	0.114966
w	0.00273588	0.038707	0.659914	0.120022	0.178622
a	0.0128006	0.0970835	0.551341	0.161966	0.176809
</S>	0.000163268	0.0293424	0.174538	0.0282902	0.767666
