 	j'	achète	les	arachides	</S>
n	0.947861	0.0044056	0.043822	0.00273778	0.00117345
g	0.995946	0.000646322	0.00304639	0.000319523	4.16341e-05
á	0.893388	0.0808706	0.00478935	0.0205124	0.000440036
l	0.51076	0.0744288	0.225522	0.0652229	0.124067
í	0.67338	0.0433387	0.0836197	0.0110557	0.188606
i	0.214862	0.122412	0.199894	0.245625	0.217209
s	0.00945896	0.966265	0.00592293	0.00330358	0.0150496
ó	0.000208376	0.998637	0.000845714	7.3769e-05	0.000235031
m	0.0239896	0.910374	0.0105781	0.0473823	0.00767613
b	0.027449	0.319329	0.394461	0.0573527	0.201409
á	0.0434084	0.0266996	0.340176	0.134616	0.4551
n	0.013992	0.00168488	0.441625	0.511505	0.0311926
d	0.0254849	0.000974088	0.0315782	0.893359	0.0486032
z	0.00672525	0.000589362	0.00569366	0.978418	0.00857383
o	0.000245869	0.0102368	0.0190722	0.876717	0.0937284
ó	0.00108878	0.0174355	0.0456892	0.419427	0.516359
</S>	0.000265719	0.00666997	0.176812	0.0242109	0.792041
