 	pourquoi	ton	époux	a	acheté	cette	épave	de	véhicule	</S>
o	0.521927	0.424508	0.00398932	0.00930718	0.00502673	0.0189083	0.00142098	0.0128941	0.00182628	0.000191455
l	0.090174	0.187945	0.64735	0.00793783	0.0353493	0.0056053	0.00577428	0.00410528	0.0116295	0.00412907
ó	0.00695671	0.0149385	0.704867	0.00102302	0.23935	0.00143124	0.00878682	0.000494867	0.0154881	0.00666337
m	0.0105115	0.0174493	0.559228	0.00510941	0.272647	0.00572623	0.0203704	0.00352612	0.0819849	0.0234473
i	0.229917	0.0894902	0.251499	0.0387246	0.0507603	0.0539334	0.0334806	0.0200881	0.0409653	0.191142
y	0.386994	0.359637	0.0678725	0.0553744	0.00899542	0.0267368	0.00949654	0.0494736	0.00120043	0.0342196
a	0.247718	0.493157	0.0639996	0.0412053	0.0128366	0.0460919	0.0191146	0.0297489	0.00409803	0.0420308
n	0.456636	0.375335	0.0232161	0.0582778	0.00294688	0.0385045	0.00573185	0.0147548	0.00128334	0.0233143
ω	0.331002	0.597871	0.0493674	0.00895845	0.00414667	0.00444124	0.000213291	0.00200155	0.000179338	0.00181868
á	0.0171595	0.0731041	0.129632	0.212238	0.286956	0.1015	0.0259337	0.0318517	0.0156027	0.106022
s	0.0209763	0.054401	0.308814	0.198093	0.274575	0.0433583	0.0403049	0.0132518	0.00912065	0.0371057
ó	0.0156225	0.00611081	0.256777	0.0720886	0.508988	0.0265798	0.0420147	0.00534869	0.0033968	0.0630735
m	0.00987821	0.00372076	0.102215	0.124454	0.628676	0.0568295	0.0327144	0.00780412	0.00383114	0.0298771
b	0.00681924	0.00547093	0.12207	0.149346	0.425235	0.147616	0.113613	0.0111855	0.00379853	0.014845
i	0.0184906	0.00431474	0.0212558	0.0767921	0.211028	0.175395	0.0418898	0.0632946	0.0390739	0.348465
d	0.00487973	0.00661427	0.00191517	0.192417	0.0660521	0.424212	0.194566	0.0545521	0.00959406	0.0451976
z	0.0113343	0.00317272	0.0173796	0.15024	0.439014	0.176445	0.104178	0.00825837	0.0160203	0.0739579
ώ	0.0180016	0.013629	0.0187362	0.0941793	0.0808781	0.256341	0.46398	0.00683553	0.0197016	0.0277176
ώ	0.00105223	0.00240446	0.00200055	0.041864	0.0906969	0.288255	0.235158	0.123553	0.064943	0.150072
d	0.00127313	0.00173293	0.000786661	0.109021	0.00825343	0.327635	0.224399	0.234671	0.0127547	0.0794733
z	0.00492826	0.00144705	0.00473949	0.113042	0.0480596	0.216611	0.123638	0.141787	0.0123382	0.333409
ώ	0.0074937	0.00419858	0.00734394	0.151227	0.0139174	0.156533	0.531471	0.0718104	0.0178916	0.0381131
ώ	0.00144791	0.00141123	0.00168089	0.0472718	0.019975	0.0560086	0.209491	0.492708	0.017645	0.152361
l	0.00326132	0.00410466	0.0119034	0.0402235	0.0212046	0.0593643	0.132959	0.276906	0.27477	0.175304
ó	0.0035839	0.00203308	0.0132747	0.024273	0.0534366	0.0222187	0.0864324	0.0602491	0.26343	0.471068
t	0.000146987	0.0003107	0.000615416	0.00274671	0.0109736	0.00971568	0.0179571	0.01302	0.91128	0.0332335
ω	0.000313767	0.000281527	0.000148994	0.00238607	0.00155354	0.0172399	0.157708	0.0173354	0.739061	0.0639714
m	5.94457e-05	0.00011661	0.000157084	0.00163145	0.00243917	0.0335464	0.112727	0.0925436	0.662132	0.0946472
b	0.00138271	0.000415171	0.000104285	0.00240995	0.00119764	0.0874221	0.0980982	0.0369812	0.673172	0.0988169
í	0.00129904	0.000264241	0.000372538	0.00273522	0.00298011	0.0279864	0.0487273	0.0198665	0.557717	0.338052
l	0.00631145	0.00100482	0.000148303	0.00610655	0.0010912	0.0653549	0.036578	0.131819	0.151511	0.600075
i	0.0159115	0.0106466	0.000817605	0.011385	0.00733583	0.107121	0.0917427	0.143692	0.384319	0.22703
m	0.00771974	0.00610615	0.000830595	0.016792	0.00303316	0.0479093	0.0134802	0.236223	0.0192118	0.648694
ú	0.00101208	0.000306738	0.0011322	0.0813873	0.0193065	0.201629	0.0134838	0.556889	0.0184388	0.106415
m	0.000641765	0.000116018	0.00324789	0.0267865	0.012606	0.118295	0.0065494	0.288668	0.0193291	0.52376
ó	0.000789189	0.000263084	0.000878926	0.0290242	0.00491552	0.139974	0.0272065	0.24714	0.131985	0.417824
n	0.00271234	0.00512077	0.0203321	0.0328845	0.0371929	0.138805	0.0140053	0.452545	0.136911	0.159491
d	0.0950142	0.0934596	0.0462623	0.062084	0.0353683	0.081999	0.00831043	0.153459	0.0375425	0.3865
é	0.0174392	0.0166742	0.0180689	0.0082918	0.00942692	0.0162354	0.0079326	0.0277072	0.241523	0.636701
</S>	8.03241e-05	4.22791e-05	0.00084788	0.00242527	0.00410092	0.0255727	0.0172359	0.0252786	0.138719	0.785697
