 	il	est	venu	hier	après	midi	</S>
w	0.941634	0.0477888	0.00373662	0.000349308	0.00440136	0.00184063	0.000249064
a	0.839871	0.114094	0.00765849	0.000191676	0.0130844	0.0243699	0.000730904
á	0.0753898	0.412325	0.467027	0.00419761	0.0174829	0.00396639	0.0196116
y	0.0313909	0.446452	0.471328	0.0115881	0.0102196	0.00489648	0.024125
ε	0.00815597	0.245466	0.503198	0.0571241	0.0319385	0.0107582	0.143359
ε	0.0159422	0.245494	0.540039	0.0437127	0.049035	0.0230415	0.082736
l	0.0481112	0.131153	0.17884	0.102265	0.301449	0.0858348	0.152347
a	0.066319	0.0622413	0.293944	0.0988247	0.258514	0.0840067	0.13615
a	0.143641	0.138854	0.107834	0.053456	0.260197	0.171887	0.12413
p	0.0029501	0.0154269	0.0775747	0.548097	0.0832404	0.143989	0.128721
ó	0.000910244	0.00840513	0.00811822	0.762225	0.0229822	0.115084	0.0822756
a	0.0029731	0.0293045	0.0747506	0.474341	0.0847649	0.127583	0.206283
l	0.0104134	0.0182514	0.0631572	0.0645661	0.226749	0.335188	0.281675
a	0.00293415	0.00353656	0.025308	0.0344169	0.145459	0.262115	0.526231
ε	0.00492482	0.00350167	0.00642139	0.0138328	0.34969	0.322249	0.29938
k	0.00240919	0.00988992	0.0175268	0.106003	0.141208	0.530734	0.19223
ω	0.000820076	0.00407857	0.006091	0.536982	0.0570627	0.220732	0.174234
k	0.00019409	0.00186665	0.00866807	0.376576	0.159147	0.135614	0.317935
ω	0.00718737	0.0190723	0.0120675	0.0376875	0.344424	0.190026	0.389535
ω	0.000158205	0.000699715	0.00193102	0.0569398	0.100576	0.137703	0.701993
</S>	0.0251554	0.0181653	0.0104325	0.00829459	0.129528	0.224698	0.583726
