 	les	uns	sont	allés	à	la	pêche	et	les	autres	au	village	</S>
b	0.93241	0.0403943	0.0174855	3.61715e-05	0.00153961	0.0014763	0.00056698	0.00111967	0.00103286	0.000502295	0.00277022	0.000573009	9.35425e-05
a	0.659171	0.298525	0.0148817	0.000101222	0.00307694	0.00273065	0.000878227	0.00115752	0.00244365	0.0122753	0.00437943	0.000138518	0.000240547
n	0.340281	0.613074	0.0202753	0.00222656	0.00414417	0.00237494	0.00176491	0.00296581	0.00482635	0.00537445	0.000838503	2.31655e-05	0.00183026
á	0.215338	0.75117	0.00566471	0.00582954	0.0051943	0.00219033	0.00222199	0.00270321	0.00245177	0.000960962	0.000864165	2.40787e-05	0.00538775
á	0.0566791	0.0140933	0.836911	0.0232255	0.0168626	0.00407214	0.00129977	0.00811328	0.00243537	0.0028237	0.00486585	0.000301478	0.0283167
m	0.0191223	0.00525411	0.503425	0.209963	0.112727	0.0501538	0.0115861	0.0174569	0.0254215	0.0145297	0.014269	0.00206311	0.0140286
i	0.00454773	0.00318372	0.237968	0.460361	0.161497	0.0809501	0.0285534	0.00575579	0.00541521	0.00272831	0.00312699	0.000294916	0.0056175
d	0.000469173	0.0024669	0.0176027	0.837777	0.0724857	0.0271619	0.0340457	0.000843512	0.00153286	0.000994967	0.000817317	0.000919178	0.00288343
z	0.000244975	0.000761088	0.00303078	0.856223	0.029121	0.0237416	0.0663707	0.00138019	0.00395854	0.00628454	0.000699565	0.000615161	0.00756852
w	0.000375329	0.000336394	0.00419964	0.89842	0.0271285	0.0347272	0.0230245	0.0020186	0.00459278	0.000535118	0.000217639	0.00048542	0.00393869
á	0.00134701	0.00106928	0.015691	0.335756	0.151746	0.158549	0.0600314	0.0950314	0.0662515	0.00487392	0.0138294	0.00188415	0.0939392
i	0.00221295	0.000588831	0.0147589	0.0192619	0.128865	0.469398	0.137778	0.0849343	0.0728812	0.00781467	0.0214364	0.0244885	0.0155811
l	0.000672079	0.00631568	0.00158464	0.00880917	0.0296474	0.110888	0.713309	0.0378899	0.041267	0.0223547	0.00611574	0.00580083	0.0153466
ώ	0.000758422	0.00183008	0.00211492	0.0267707	0.028846	0.151558	0.616	0.0343592	0.0812471	0.0320248	0.00777364	0.00348054	0.013236
b	0.000158128	0.000379029	0.00259137	0.00599541	0.0211117	0.0550629	0.787826	0.0424601	0.044013	0.0130891	0.00451181	0.00443302	0.0183686
h	0.00433201	0.00530322	0.0091686	0.00597258	0.0724292	0.108302	0.25736	0.184061	0.145213	0.0267623	0.100281	0.0155675	0.0652468
ω	0.00425033	0.017489	0.00477904	0.00716714	0.0851391	0.130211	0.218668	0.2042	0.163282	0.0426232	0.0297248	0.00739738	0.0850693
a	0.00224325	0.000246279	0.00391444	9.34725e-05	0.015753	0.0520142	0.0166827	0.512677	0.21127	0.0652844	0.0750753	0.0187556	0.0259909
s	0.00271532	0.00124189	0.0102478	0.00291873	0.0162991	0.0246776	0.0319752	0.0945178	0.328945	0.287298	0.0941875	0.0818877	0.0230879
ú	0.000712985	4.07486e-05	0.0069914	0.0183943	0.00933096	0.0218262	0.0112974	0.0757002	0.255138	0.158324	0.296899	0.013044	0.132301
s	0.000264923	5.14534e-06	0.00207772	0.00145866	0.00572926	0.0471855	0.0211325	0.265584	0.348364	0.0569619	0.132278	0.0546951	0.0642634
u	0.000659187	2.59804e-05	0.000859478	0.00117554	0.00561333	0.0293226	0.00716606	0.247807	0.40364	0.0395194	0.165124	0.041326	0.0577617
p	0.000205442	4.98798e-06	0.00148579	0.0003032	0.00244897	0.00481754	0.00289517	0.120316	0.0967126	0.139832	0.268354	0.0238299	0.338794
o	0.000592491	0.000299542	0.00060347	0.000186309	0.00185749	0.0015909	0.00460674	0.0119752	0.0194424	0.00320371	0.0257342	0.878923	0.0509844
o	0.000534359	0.00031361	0.000235378	0.0011028	0.00178028	0.00271155	0.0187721	0.012472	0.0349914	0.0151761	0.0264096	0.706106	0.179395
</S>	0.000995143	8.16385e-05	0.00171017	0.000639378	0.00875812	0.0100082	0.0076815	0.0401899	0.0715882	0.0692633	0.306313	0.0550542	0.427717
