 	le	récolteur	de	vin	de	palme	renverse	la	lie	pour	nettoyer	la	calebasse	</S>
o	0.97554	0.00826522	0.00575705	0.00116415	0.00335872	0.0016071	0.00031404	0.00125969	0.00101049	0.00103863	4.14957e-05	0.000583864	2.1025e-05	3.8667e-05
b	0.0755873	0.865895	0.010272	0.0107502	0.00237196	0.00280131	0.0101573	0.00446735	0.000584983	0.00218669	0.00197186	0.00389275	0.00166045	0.00740079
a	0.127062	0.821203	0.00498661	0.0122749	0.00726078	0.00414358	0.00389168	0.00398965	0.00180843	0.00204311	0.00155847	0.00765223	0.000519874	0.00160598
l	0.0126208	0.965408	0.00191179	0.00348017	0.00108209	0.000558874	0.00494399	0.00136523	0.000457113	0.000586701	0.00145898	0.00100814	0.000371764	0.00474643
e	0.818578	0.0966439	0.0266113	0.00709781	0.0168589	0.00805117	0.0023164	0.00661438	0.00172812	0.00278998	0.000701982	0.00499016	0.000115024	0.00690283
l	0.323428	0.0335163	0.386609	0.0928955	0.0590891	0.0349157	0.00517812	0.0216861	0.00429729	0.00766514	0.00521319	0.00858699	0.00045524	0.0164647
á	0.0421122	0.00263326	0.1479	0.0980866	0.0474819	0.0525787	0.00756998	0.0409124	0.0116929	0.0336155	0.033553	0.0761512	0.00171897	0.403993
a	0.150183	0.00115225	0.410434	0.139131	0.130938	0.073942	0.00609559	0.0118678	0.00745154	0.0163267	0.00346295	0.0145776	0.00234676	0.0320907
p	0.00192705	0.0127046	0.0509217	0.470898	0.151886	0.0913929	0.17217	0.00811449	0.00170798	0.00419084	0.017673	0.00332829	0.00331812	0.00976676
f	0.000663017	0.00354889	0.0140464	0.170922	0.0573738	0.0283781	0.690035	0.00747417	0.00108474	0.00163442	0.0092825	0.000602791	0.00177157	0.0131828
u	0.001672	0.00182583	0.00418905	0.0851624	0.0817193	0.0515687	0.726169	0.0199975	0.00208192	0.00210178	0.0135363	0.000959327	0.00109402	0.00792288
á	0.00273131	9.16184e-05	0.0140443	0.0398299	0.208147	0.232354	0.346706	0.0663277	0.0216764	0.00867114	0.0297361	0.00218554	0.00393755	0.0235615
m	0.00189617	0.000193879	0.0137846	0.0142112	0.182387	0.471044	0.0555626	0.136802	0.0626553	0.0428921	0.00580394	0.00816189	0.000911598	0.00369382
b	0.00545607	0.00053509	0.00409384	0.00895728	0.064013	0.0570567	0.0086285	0.0601926	0.502072	0.26198	0.00708326	0.0086248	0.000410038	0.0108972
ω	0.00085607	0.000201673	0.00332209	0.00903832	0.0504627	0.0306825	0.00192427	0.0332926	0.724915	0.140853	0.00236852	0.000865066	4.25999e-05	0.00117526
n	0.000426629	0.000406455	0.0254679	0.0561554	0.0611172	0.0284906	0.00634577	0.0815413	0.559418	0.159583	0.0140935	0.0033874	4.99333e-05	0.00351636
d	0.00132672	0.00133846	0.0128543	0.0325885	0.106557	0.138302	0.0581426	0.203995	0.148084	0.133098	0.0231765	0.0163675	0.000717178	0.123453
í	0.00123918	0.00112859	0.0153365	0.0221803	0.0941209	0.11972	0.0519165	0.157847	0.219309	0.136248	0.0122802	0.0106185	0.00164624	0.156409
b	0.000638339	7.03273e-05	0.012702	0.00905219	0.0592132	0.103447	0.015482	0.279213	0.175855	0.260366	0.0387531	0.0278576	0.000725084	0.0166241
