 	le	guérisseur	a	cueilli	du	dzoa	pour	soigner	le	malade	</S>
n	0.470186	0.502028	0.0203375	0.000836961	0.00230996	0.00166286	0.0004579	0.0010335	0.000959753	0.000143831	4.37827e-05
g	0.200448	0.796449	0.00180909	7.96239e-05	0.000759329	0.000109023	1.30182e-05	1.27415e-05	0.000115157	0.000201728	2.63331e-06
a	0.0158319	0.979032	0.00379134	0.00025658	0.000398397	9.4204e-05	1.83712e-05	4.3828e-05	4.90486e-05	0.000480562	4.3254e-06
n	0.142123	0.792806	0.0191654	0.00813601	0.00348911	0.00940331	0.000738655	0.000915133	0.000997221	0.0122353	0.00999093
g	0.289723	0.681121	0.0147421	0.00197489	0.00219327	0.00119363	0.000632937	0.000187898	0.000387335	0.00221127	0.00563256
a	0.127216	0.806128	0.049846	0.00325722	0.00131989	0.00167638	0.000624568	0.000143976	0.000220442	0.000986288	0.00858152
á	0.0285048	0.0034685	0.706427	0.203176	0.0283065	0.0170096	0.00286369	0.00190726	0.00127699	8.23814e-05	0.00697728
t	0.00526539	0.000667479	0.14685	0.558025	0.113947	0.156412	0.00839944	0.0043326	0.00218385	0.000185823	0.00373217
ώ	0.000738319	0.000261356	0.0541033	0.655515	0.106785	0.15608	0.0187072	0.0044436	0.00118353	0.000249417	0.0019336
i	0.0221854	0.00328288	0.0855231	0.263199	0.267927	0.255087	0.067528	0.0149401	0.00921344	0.000447664	0.0106659
d	0.0167756	0.00590928	0.0414828	0.0264729	0.32345	0.305739	0.202874	0.0269905	0.0269028	0.00249461	0.0209088
z	0.000526353	0.000123133	0.000269254	0.00503273	0.136542	0.712202	0.111362	0.0113633	0.0101099	0.0034196	0.00904968
ó	0.000205946	7.40689e-05	8.949e-05	0.000519686	0.081094	0.864424	0.0522993	0.000465665	0.000376786	0.000215686	0.000235888
á	0.000423807	3.7171e-05	0.00080064	0.00363946	0.0500702	0.664827	0.236737	0.0282014	0.00720051	0.004509	0.00355351
m	0.00132399	4.51855e-05	0.00103012	0.00109692	0.10294	0.168367	0.480194	0.097004	0.123661	0.0161077	0.00823047
í	0.00163939	8.30963e-05	0.00130531	0.00195663	0.0564661	0.0692431	0.534705	0.0485993	0.0384205	0.00884366	0.238738
k	0.00166742	0.000173283	0.0015852	0.00138146	0.0144051	0.0423629	0.3155	0.35477	0.102921	0.124269	0.0409643
ώ	0.000383566	3.67363e-05	0.000218326	0.00115432	0.00187226	0.00388503	0.045246	0.706941	0.0199635	0.190413	0.0298858
ω	0.0001419	4.99663e-05	0.000538048	0.00116875	0.00194588	0.00182784	0.0105262	0.437633	0.0343324	0.460581	0.0512547
l	0.00292465	7.53386e-05	0.00218321	0.001142	0.014584	0.00312726	0.0657606	0.341085	0.3124	0.13488	0.121838
ó	0.00863993	0.000302192	0.00810536	0.0168942	0.0444534	0.0104419	0.0695951	0.135868	0.0932205	0.0904388	0.522041
k	0.0133695	0.00026022	0.00250585	0.00102511	0.00871631	0.00454861	0.00998092	0.020021	0.0843478	0.76121	0.0940142
ω	0.000963327	0.000260694	0.0024554	0.00196674	0.00586878	0.00304851	0.0106055	0.164303	0.102909	0.652171	0.0554488
n	0.00164109	0.00038107	0.000122401	0.00022914	0.00057542	0.000322347	0.000693825	0.0256424	0.00699195	0.949504	0.0138963
í	0.000533513	0.000158984	0.000679416	0.00247785	0.00660233	0.00448212	0.0104958	0.19302	0.0604635	0.548611	0.172476
</S>	0.00527575	6.12729e-05	0.00193216	0.00170693	0.00606051	0.00354886	0.0238748	0.037641	0.0978168	0.0664192	0.755663
