 	la	mouche	tsé-tsé	suit	l'	antilope	</S>
i	0.251654	0.607277	0.128574	0.000361798	0.0117852	0.000185167	0.000163581
p	0.0308673	0.40723	0.5579	0.00182405	0.000277312	0.00144626	0.00045508
o	0.00182138	0.02692	0.962593	0.00553284	0.000248277	0.00171757	0.00116748
p	0.00383815	0.0515832	0.934459	0.00898392	0.000300073	0.000452962	0.000382151
o	0.00459737	0.0112004	0.948236	0.0222268	0.00093602	0.000284414	0.0125194
o	0.180789	0.197831	0.481228	0.0708165	0.0441857	0.000580341	0.0245689
l	0.225659	0.0535781	0.067561	0.528114	0.0333072	0.00782851	0.0839516
í	0.169994	0.033396	0.0290163	0.598104	0.0492857	0.00636344	0.11384
i	0.362688	0.0550819	0.0290334	0.248455	0.215989	0.00861696	0.0801355
l	0.00495461	0.0051232	0.00587753	0.847644	0.0409097	0.0523017	0.0431895
ω	0.00581019	0.00481466	0.00488989	0.833088	0.0227466	0.0892163	0.0394343
n	0.00296631	0.0036112	0.0055118	0.875598	0.0688133	0.0201098	0.0233893
d	0.0727366	0.032327	0.0276267	0.609214	0.15511	0.0248022	0.078184
ώ	0.0415997	0.0431774	0.0152716	0.55195	0.142392	0.0183817	0.187227
ώ	0.00977432	0.00342399	0.000365379	0.0121372	0.939219	0.0161971	0.018883
m	0.0657751	0.0310392	0.00414508	0.0247371	0.310511	0.529302	0.0344901
b	0.000602209	0.00201649	0.000490948	0.00161501	0.0103087	0.953785	0.0311816
v	0.000112322	0.000345238	3.63612e-05	0.0018823	0.00249128	0.987781	0.0073514
u	0.000671803	0.00112435	5.53684e-05	0.00210223	0.0229591	0.890136	0.0829511
l	0.00673978	0.00408429	0.000621247	0.0170172	0.0692763	0.254691	0.64757
u	0.0785332	0.0562121	0.00751391	0.0148815	0.187336	0.36363	0.291894
</S>	0.00607213	0.0015489	8.82993e-05	0.00545264	0.120437	0.0400902	0.826311
