 	qui	a	déplumé	ces	oiseaux	</S>
o	0.6093	0.221409	0.0679001	0.072912	0.0197007	0.00877755
f	0.00848292	0.0698224	0.829256	0.0184279	0.0264794	0.047531
u	0.00263417	0.00992206	0.915989	0.0319736	0.0115368	0.0279442
u	0.000553017	0.00607342	0.912486	0.0444176	0.00270517	0.0337647
g	0.119008	0.0390775	0.215585	0.439787	0.0377349	0.148807
h	0.0137469	0.0136219	0.0736106	0.34839	0.0567988	0.493832
u	0.0229974	0.0133442	0.0591736	0.150097	0.682098	0.0722896
a	0.0243355	0.0186892	0.0581806	0.227792	0.404784	0.266219
n	0.0214744	0.0151975	0.0424835	0.465809	0.103495	0.351541
y	0.0416564	0.0169449	0.00395513	0.0528038	0.715103	0.169537
ω	0.00109942	0.000894116	0.000390251	0.00786664	0.97583	0.0139192
s	0.0022515	0.00665627	0.00620777	0.0112068	0.873092	0.100585
í	0.00379809	0.00473692	0.0598608	0.0904323	0.0503358	0.790836
b	0.0533698	0.0125034	0.0218644	0.395727	0.0404394	0.476095
á	0.0244513	0.00721127	0.00453772	0.316835	0.0161601	0.630804
á	0.0265985	0.0064579	0.00325084	0.448447	0.0262557	0.48899
d	0.00572497	0.00548076	0.0282398	0.0636673	0.0291734	0.867714
z	0.00149312	0.00296194	0.0263673	0.059867	0.0186746	0.890636
e	0.0159798	0.00972065	0.0304465	0.360078	0.0170625	0.566712
n	0.0131547	0.0029452	0.0438216	0.58069	0.00846225	0.350927
d	0.00357086	0.0073966	0.0159042	0.158318	0.0956979	0.719112
a	0.00704815	0.00568396	0.00504255	0.024842	0.273476	0.683908
</S>	0.000599306	0.000727729	0.00296205	0.0169817	0.0790941	0.899635
