 	les	abords	de	la	maison	sont	sales	</S>
i	0.937375	0.0315849	0.00837007	0.00784884	0.0135794	0.000953838	0.000204883	8.28647e-05
p	0.0828399	0.904432	0.00668357	0.0017279	0.00102219	0.000331477	0.00249367	0.000469866
ε	0.00479442	0.988929	0.00137113	0.00107834	0.000178087	6.41804e-05	0.00333891	0.000246087
l	0.137742	0.736171	0.0487597	0.0384462	0.00423019	0.00521129	0.0111951	0.0182445
έ	0.267148	0.584078	0.0484467	0.0366214	0.0187816	0.00774889	0.00907059	0.0281046
m	0.354015	0.173264	0.249495	0.068166	0.0558849	0.0455108	0.000907633	0.0527569
á	0.25557	0.0383503	0.195399	0.186179	0.0472686	0.219769	0.00883452	0.0486301
n	0.4069	0.00570175	0.0357456	0.182085	0.340576	0.0143349	0.00406413	0.010592
d	0.0043728	4.20312e-05	0.00242483	0.00728763	0.982185	0.00251526	7.99317e-05	0.00109281
é	0.000853112	0.000129019	0.00337932	0.0307486	0.956544	0.0024419	0.00158513	0.00431842
e	0.0258093	0.00340162	0.131122	0.213729	0.307177	0.184265	0.0761342	0.0583611
í	0.0263334	0.00798237	0.252444	0.110062	0.050788	0.498865	0.00630805	0.047217
d	0.0227293	0.00682798	0.184358	0.125644	0.0906639	0.449302	0.00838486	0.11209
í	0.0012651	0.000222115	0.095466	0.119949	0.0431521	0.25585	0.0530155	0.43108
l	0.0110468	0.00157631	0.118839	0.0694831	0.0206799	0.261283	0.0898394	0.427253
a	0.00120215	0.00209106	0.0357047	0.0620711	0.0129445	0.188376	0.114904	0.582706
m	0.00602151	0.00362423	0.0227639	0.0432071	0.00412529	0.077532	0.721934	0.120792
b	0.00183396	0.000228451	0.00307143	0.0120702	0.000222209	0.0290441	0.925062	0.0284678
i	0.000154131	8.58129e-05	0.0013335	0.0066211	0.000109163	0.00267214	0.978181	0.0108432
n	4.32297e-05	0.000373475	0.00161124	0.0026212	2.50139e-05	0.00278498	0.962248	0.0302929
d	0.000591107	0.000560951	0.00389936	0.00459738	0.000864223	0.00877207	0.896304	0.0844106
i	0.000230403	0.000262454	0.00151613	0.00382297	0.00088022	0.00281612	0.781207	0.209264
</S>	0.00110898	0.00330352	0.0254894	0.0188497	0.0013114	0.0716532	0.19781	0.680474
