 	osombo	et	sa	femme	s'	étaient	mis	d'	accord	pour	aller	au	village	</S>
o	0.650148	0.291917	0.0347451	0.00158864	0.00248849	0.00154922	0.00124826	0.00235134	0.00627099	0.00157512	0.000312471	0.00245224	0.00325899	9.47784e-05
s	0.812969	0.160454	0.00263996	0.0128191	0.00335579	0.00300664	0.000768241	0.000437368	0.000607311	0.000336348	0.000581214	0.000625394	0.000551432	0.000848127
ω	0.978206	0.0176336	0.000877736	0.00223897	0.000226268	0.000131916	7.86183e-05	1.9417e-05	0.00034002	3.32566e-05	5.92375e-05	2.50352e-05	2.07198e-05	0.000109457
m	0.741514	0.187878	0.0114997	0.00898681	0.00959452	0.00356456	0.0029372	0.00234992	0.00373078	0.00317008	0.00402169	0.00124986	0.00193212	0.0175706
b	0.545051	0.131952	0.128262	0.0161943	0.0301908	0.0219663	0.00583534	0.0284701	0.000730265	0.0268761	0.0230974	0.0079488	0.00151776	0.0319079
ω	0.260467	0.376117	0.0261917	0.00257817	0.0366089	0.0538216	0.0444307	0.0507442	0.0040555	0.0333309	0.00784359	0.00747855	0.000751955	0.0955805
b	0.0507154	0.29237	0.385439	0.0309488	0.125918	0.0188769	0.010853	0.0191065	0.00106021	0.0154684	0.00594525	0.0138012	0.00164715	0.0278497
á	0.0399679	0.122712	0.172677	0.0109777	0.0938223	0.077975	0.0617497	0.100351	0.0248813	0.0506877	0.0284136	0.0591112	0.00304537	0.153628
a	0.0118192	0.177488	0.613651	0.0476509	0.0479971	0.0184788	0.00989055	0.0153038	0.003843	0.0117293	0.00793413	0.0075559	0.00252915	0.0241295
l	0.0136731	0.172859	0.225146	0.178141	0.280665	0.0757337	0.0261982	0.0057155	0.00162022	0.00555761	0.00554229	0.00276623	0.00039663	0.00598596
a	0.0457713	0.276246	0.0982414	0.0631773	0.203756	0.104595	0.0366877	0.0128668	0.0311305	0.0156381	0.0394933	0.00628838	0.000567958	0.06554
m	0.0138245	0.10695	0.45595	0.174308	0.17456	0.0271744	0.00532204	0.0088453	0.00410221	0.00379609	0.00578198	0.00272192	0.00131055	0.015353
w	0.00911746	0.0259659	0.197031	0.708942	0.0278275	0.0156507	0.000641414	0.00419671	0.000278951	0.00267691	0.0062015	0.000229617	3.23985e-05	0.00120811
á	0.0253705	0.0572802	0.0317247	0.718948	0.0417092	0.0651366	0.017479	0.0116224	0.000896002	0.00671752	0.00876185	0.000434617	0.000680172	0.0132387
s	0.0128134	0.0358141	0.64639	0.100505	0.0727978	0.0589192	0.0152529	0.0343195	0.0025631	0.00761786	0.00199323	0.00228382	0.000299276	0.00842993
í	0.0369347	0.136427	0.173806	0.0900249	0.161625	0.11954	0.0136123	0.026628	0.0293034	0.00889723	0.0202731	0.00743949	0.00125625	0.174233
á	0.00154353	0.0249612	0.15037	0.0172258	0.41313	0.182124	0.0896584	0.0487164	0.0140105	0.0179728	0.00675046	0.019091	0.00204827	0.012398
k	0.0019392	0.0129739	0.035574	0.00941574	0.298104	0.341143	0.194899	0.0274897	0.0194279	0.0172304	0.0135361	0.00893857	0.00359481	0.0157334
a	0.000379951	0.0113278	0.00843056	0.000337755	0.10841	0.288198	0.503829	0.0372157	0.00637458	0.014032	0.00650488	0.00557772	0.00107476	0.0083079
n	0.000294743	0.0141936	0.00880265	0.000589182	0.0718186	0.186035	0.611252	0.0259103	0.0111661	0.0242566	0.00789753	0.0061936	0.00279671	0.0287931
g	0.00125477	0.0157729	0.0706958	0.00140566	0.11644	0.23374	0.24741	0.0953665	0.116707	0.0422226	0.0110668	0.014216	0.00624238	0.0274599
í	0.00184308	0.026202	0.119833	0.000932455	0.134638	0.121194	0.131589	0.112465	0.155103	0.0315316	0.0129079	0.0156303	0.0188759	0.117256
s	0.000198732	0.00347758	0.0317777	0.000719218	0.0406766	0.0404949	0.0410883	0.395604	0.0783252	0.225643	0.0413719	0.0815602	0.00404656	0.0150163
á	0.00227228	0.00511213	0.0538068	0.000449657	0.0341397	0.0499005	0.026962	0.110658	0.383079	0.0884954	0.0900305	0.0505256	0.00965228	0.0949158
m	0.00181796	0.00302429	0.0346086	0.000588301	0.00698649	0.00978456	0.0118349	0.135602	0.197906	0.271574	0.176522	0.0839924	0.0514002	0.0143582
í	0.000545909	0.000899254	0.00767227	0.0256061	0.00173282	0.00389831	0.00231931	0.0703413	0.0300108	0.257556	0.508776	0.0246927	0.0131124	0.0528372
d	0.000450625	0.00272629	0.00546843	0.000544284	0.0033166	0.00683044	0.0126077	0.0361068	0.0134231	0.29453	0.52217	0.0733991	0.00672786	0.0216987
z	0.000546787	0.000842539	0.00102479	0.000335915	0.00122344	0.0031797	0.00192954	0.015629	0.0166213	0.133868	0.650506	0.0447579	0.0056986	0.123836
w	0.00103432	0.000196429	0.00324216	0.00049103	0.00166035	0.00517804	0.000890757	0.0194679	0.00613469	0.0909554	0.771967	0.0384831	0.0235465	0.0367519
a	0.000151507	0.000152327	0.000638506	2.92339e-05	0.0013561	0.00909628	0.00801859	0.0627577	0.0093427	0.15977	0.497537	0.104684	0.0749906	0.0714744
l	2.16726e-05	0.000271632	0.000985667	4.91311e-06	0.00128787	0.00306064	0.00170741	0.0478498	0.00476949	0.218828	0.353895	0.216922	0.0110717	0.139325
á	0.000154202	0.000916837	0.000494298	1.57639e-05	0.00324923	0.0139952	0.00979943	0.0318625	0.0180091	0.0806724	0.166023	0.205293	0.0849357	0.38458
p	0.000370781	0.00098394	0.00349899	0.000119769	0.00456693	0.00272385	0.0049661	0.0268953	0.0141139	0.0976788	0.131662	0.299098	0.150748	0.262574
o	0.000112282	0.000310913	0.000603003	3.01641e-06	0.00027754	0.000513997	0.00212105	0.00263062	0.000841754	0.00360983	0.00668855	0.0169513	0.933747	0.0315891
o	4.16906e-05	6.93017e-05	0.000439374	1.98909e-05	0.000484132	0.00214753	0.00362671	0.00403942	0.00100134	0.0107711	0.0157774	0.0169714	0.880869	0.0637415
</S>	6.13328e-05	0.00109932	0.00316233	4.59183e-05	0.00523079	0.00413597	0.00554206	0.0288201	0.0102059	0.058824	0.0439963	0.24137	0.0653255	0.532181
