 	accroche	le	sac	sur	cette	pointe	</S>
b	0.38807	0.271521	0.18815	0.0380041	0.094129	0.0194474	0.000678599
h	0.89341	0.0446589	0.0340563	0.013906	0.0102721	0.0034587	0.000237721
á	0.952723	0.0326552	0.00430303	0.0013834	0.00122863	0.000993765	0.0067127
r	0.684137	0.145193	0.0128685	0.0109607	0.00495737	0.0101424	0.13174
í	0.573618	0.263279	0.047916	0.0276094	0.00689849	0.0021744	0.0785041
s	0.21282	0.709398	0.0357164	0.0232068	0.00484864	0.000794245	0.0132162
á	0.0900735	0.715647	0.066779	0.0573409	0.0183132	0.00195054	0.0498959
p	0.0390144	0.318404	0.592273	0.022581	0.0117702	0.00515687	0.0108011
ε	0.029597	0.109163	0.827833	0.0109629	0.00299586	0.0143659	0.00508221
n	0.197536	0.174884	0.539134	0.0335764	0.0161087	0.00598519	0.0327761
g	0.05034	0.181512	0.651783	0.0790205	0.0241953	0.0010923	0.0120575
ε	0.018996	0.0324348	0.90905	0.0182798	0.0127887	0.000813996	0.00763689
ó	0.00237552	0.124044	0.237092	0.498019	0.104568	0.0144612	0.0194398
t	0.00400388	0.0464487	0.0756621	0.606025	0.189455	0.0556729	0.0227322
s	0.00215573	0.0421661	0.106416	0.266887	0.24304	0.16178	0.177555
έ	0.0245968	0.102612	0.219722	0.230188	0.147378	0.209825	0.0656783
l	0.00398095	0.0345349	0.0528905	0.148591	0.170212	0.218838	0.370953
έ	0.00186338	0.0261945	0.250526	0.150514	0.255333	0.190464	0.125105
w	0.00136869	0.0252503	0.0287172	0.223371	0.375793	0.175035	0.170464
ú	0.0150466	0.0702495	0.0831974	0.200128	0.294257	0.26024	0.0768816
u	0.000258363	0.00395899	0.00625315	0.103921	0.321674	0.220113	0.343822
</S>	0.000747582	0.00893852	0.0113039	0.103637	0.314817	0.157859	0.402697
