 	l'	homme	met	un	bouchon	sur	la	bouteille	</S>
i	0.543406	0.286246	0.0875586	0.0414173	0.00800535	0.0185557	0.013488	0.000129904	0.00119324
b	0.087777	0.658386	0.0406858	0.048754	0.101953	0.0121501	0.00634435	0.0426261	0.00132349
a	0.0178948	0.883519	0.0123514	0.0257421	0.0510232	0.00386176	0.00297258	0.00134698	0.00128779
a	0.0164693	0.831218	0.0437991	0.032482	0.0374698	0.00940293	0.0039629	0.00554134	0.0196548
í	0.331698	0.0804022	0.261422	0.135855	0.0339243	0.0393214	0.0207858	0.000799899	0.0957914
d	0.0274326	0.00777169	0.118061	0.333514	0.221279	0.122094	0.0800742	0.010774	0.0789998
i	0.00137988	0.00525255	0.0393273	0.216711	0.109612	0.171804	0.0863522	0.0422176	0.327343
b	0.00669385	0.00397729	0.0637856	0.187925	0.132394	0.26265	0.214907	0.0567703	0.0708968
h	0.0017706	0.00813961	0.0197866	0.111804	0.325371	0.123109	0.246964	0.0464189	0.116636
í	0.00725543	0.0182104	0.0897704	0.151614	0.205457	0.146339	0.12172	0.0418887	0.217745
o	0.0112123	0.00409723	0.0511268	0.0753316	0.115643	0.21704	0.363961	0.0389555	0.122632
l	0.000672807	0.0021167	0.00291769	0.0150965	0.0288928	0.076145	0.0636328	0.710752	0.0997737
a	0.00115859	0.000728793	0.00296987	0.0142507	0.0213225	0.0908848	0.108599	0.621453	0.138632
n	0.000261818	0.000281128	0.00386848	0.0105363	0.0164753	0.0444193	0.0355865	0.714381	0.17419
g	0.00300884	0.00277944	0.0159511	0.0331906	0.0244469	0.146867	0.10082	0.498657	0.174279
i	0.00270673	0.000740479	0.00632445	0.00807771	0.00864478	0.0228999	0.0173647	0.635323	0.297918
</S>	0.00648396	0.00201315	0.0172198	0.0250256	0.00533119	0.157153	0.241494	0.019876	0.525403
