 	le	caiman	a	dévoré	un	petit	enfant	à	la	rivière	</S>
k	0.343766	0.52738	0.110863	0.00226323	0.00315717	0.00796061	0.00211293	0.00119294	0.00114024	0.000111532	5.2361e-05
ώ	0.0117086	0.984067	0.00145143	0.000653213	0.000542971	0.000120994	6.90756e-05	0.000377446	0.000333592	0.000558601	0.000117107
l	0.025344	0.827331	0.0387545	0.0464415	0.0204809	0.0161185	0.00365352	0.00770749	0.0030482	0.00654904	0.00457182
i	0.12225	0.642016	0.0829688	0.0317335	0.0179683	0.00579656	0.000615981	0.0121698	0.00778831	0.00501083	0.0716817
á	0.116002	0.0268149	0.710932	0.0363847	0.029501	0.0118164	0.00517977	0.0188051	0.0140052	0.00526084	0.025298
p	0.014956	0.00299469	0.310075	0.343201	0.207934	0.0215946	0.00797063	0.0233224	0.021417	0.00763742	0.0388979
i	0.00573701	0.0058684	0.0820009	0.315441	0.473068	0.0292664	0.00363481	0.0294187	0.0194656	0.0149618	0.021137
i	0.0138281	0.00342213	0.0387985	0.703737	0.203704	0.0170969	0.00168345	0.00760437	0.00296685	0.00115398	0.00600434
m	0.0124373	0.000288538	0.171131	0.0716901	0.0961392	0.422684	0.188936	0.0118052	0.00793191	0.00197519	0.0149819
w	0.000428845	3.01828e-06	0.000322389	0.00206547	0.00705254	0.0193516	0.969112	0.00066204	0.00057552	5.57029e-05	0.000371147
á	7.64014e-05	1.96895e-06	6.48138e-05	0.00215899	0.0053587	0.00984931	0.980917	0.000726489	0.000240492	0.000231057	0.000374857
n	0.00632266	4.65574e-06	0.000790668	0.00203906	0.0072915	0.0404301	0.93894	0.00157082	0.00105541	6.34161e-05	0.00149161
a	0.00447964	3.2603e-05	0.00379891	0.0172837	0.154908	0.360063	0.427594	0.005725	0.00463762	0.000971629	0.0205052
n	0.0136044	0.00169447	0.0971367	0.0207742	0.117672	0.378729	0.0366974	0.214666	0.0804437	0.0109204	0.0276626
d	0.00830706	0.000222288	0.0156422	0.00274057	0.0525987	0.600436	0.157031	0.0522603	0.0268176	0.00706982	0.0768751
z	0.00141293	5.62747e-05	0.00389578	0.00446069	0.0475802	0.758154	0.0894571	0.0424377	0.0163239	0.00711613	0.0291053
é	0.00368463	0.00180255	0.00278633	0.00786575	0.246496	0.323166	0.135838	0.0830621	0.0356109	0.0794779	0.0802099
s	0.0183975	0.00102608	0.02512	0.010601	0.138159	0.132402	0.0231435	0.0908639	0.0831771	0.151526	0.325584
i	0.00925908	0.00180054	0.00651145	0.00531965	0.198472	0.246652	0.0560554	0.240853	0.0980609	0.0734252	0.0635901
ó	0.00386074	0.000446031	0.0242453	0.0169592	0.0331068	0.086831	0.0281116	0.490847	0.219738	0.0266206	0.0692342
n	0.00245244	0.000490717	0.0127271	0.01707	0.0387867	0.00919095	0.00150872	0.237979	0.400322	0.258701	0.0207719
d	0.00910441	2.46764e-05	0.0142889	0.00446004	0.0267264	0.101535	0.024443	0.130162	0.346543	0.0847524	0.25796
z	0.000292507	0.000105822	0.000829802	0.00284899	0.0307042	0.0232512	0.00328737	0.163725	0.254846	0.340066	0.180043
á	0.000239658	0.000346796	0.000270967	0.0018426	0.0817734	0.0409966	0.0277986	0.138792	0.184094	0.349348	0.174498
l	0.000416453	0.000126113	0.000464543	0.000960425	0.0232026	0.00636776	0.0094052	0.141612	0.0691315	0.154281	0.594033
é	0.000356275	0.00015954	0.000401549	0.0010159	0.00681409	0.0079384	0.000721718	0.182312	0.228085	0.413821	0.158374
</S>	0.00072513	6.83141e-05	0.00375499	0.001774	0.00774422	0.00795384	0.00127365	0.124646	0.246385	0.143578	0.462097
