 	il	a	gagné	beaucoup	d'	argent	</S>
w	0.810186	0.148088	0.00984971	0.00517791	0.021107	0.00501139	0.000579903
a	0.609876	0.185692	0.00326313	0.0174648	0.105785	0.0776171	0.000301244
á	0.228766	0.59545	0.100705	0.048704	0.0172499	0.00316317	0.00596135
d	0.0261009	0.335088	0.477218	0.0750782	0.0397485	0.00256848	0.0441972
i	0.000585738	0.0389055	0.805529	0.0635061	0.00613609	0.000388609	0.0849483
i	0.00742303	0.0600216	0.46992	0.267001	0.0828474	0.00517497	0.107612
m	0.0151929	0.0874714	0.106502	0.389753	0.21294	0.0790237	0.109118
b	0.00161046	0.0141929	0.00456169	0.226633	0.179429	0.520251	0.0533221
ώ	0.000122693	0.00153772	0.00180823	0.0395468	0.0531162	0.867095	0.0367729
n	0.00124104	0.00736637	0.00219623	0.0174328	0.0685597	0.855649	0.0475553
g	0.0253937	0.0569285	0.00880733	0.181108	0.389187	0.179747	0.158829
ω	0.0197822	0.00539333	0.000243808	0.0603684	0.119958	0.545193	0.249062
n	0.00796591	0.0382408	0.00251562	0.204329	0.318493	0.044124	0.384332
d	0.00903919	0.013013	0.000354299	0.0785991	0.180974	0.117415	0.600605
z	0.00175048	0.00185919	0.000170797	0.0416595	0.107666	0.182255	0.664639
í	0.000257549	0.000376587	3.60008e-05	0.055351	0.1148	0.21751	0.611668
í	0.000295331	0.0011393	0.000177653	0.030835	0.0472481	0.0149685	0.905336
</S>	0.00134082	0.00537115	0.00086065	0.0837245	0.165883	0.0504041	0.692416
