 	il	arrache	les	lianes	qui	entourent	l'	arbre	</S>
w	0.892338	0.0261585	0.00999485	0.0576805	0.00571148	0.000105146	0.00548344	0.00241573	0.000112213
a	0.882853	0.0304151	0.0630011	0.00438967	0.00433011	6.80488e-06	0.00794585	0.00699492	6.34929e-05
l	0.600125	0.145955	0.0805796	0.025474	0.0616503	0.0127717	0.0573953	0.00538694	0.0106626
á	0.187223	0.187755	0.0613716	0.0312861	0.0716213	0.018948	0.089734	0.0350844	0.316977
a	0.331643	0.170696	0.155762	0.0328229	0.045686	0.00435824	0.0809028	0.0494903	0.128638
n	0.0226718	0.882157	0.0165024	0.0150044	0.00733452	0.0411758	0.00319855	0.00144049	0.0105149
a	0.0532715	0.770767	0.0169444	0.120253	0.0126498	0.00957	0.00271339	0.00329922	0.0105313
r	0.0377733	0.514829	0.135285	0.205575	0.0114959	0.034932	0.0097119	0.0362349	0.0141633
á	0.0903328	0.288273	0.359821	0.0448924	0.100633	0.017107	0.022365	0.0031356	0.0734398
n	0.0221869	0.0310905	0.485841	0.370405	0.0604812	0.0070667	0.0127659	0.00725332	0.00290923
g	0.0258523	0.0121109	0.271522	0.624634	0.0359596	0.000530037	0.00702971	0.00274999	0.0196117
ω	0.00199895	0.00192724	0.00895338	0.979145	0.00346453	0.000715807	0.000917955	0.000736379	0.00214104
s	0.00242778	0.00362885	0.0100332	0.957854	0.00861449	0.00239947	0.00423992	0.00412694	0.00667554
í	0.00485039	0.0134688	0.101495	0.21731	0.19144	0.0983249	0.019101	0.0114843	0.342527
y	0.00925303	0.00354693	0.0802853	0.146399	0.667891	0.0488813	0.0192255	0.00776064	0.0167575
é	0.00739472	0.00458214	0.0746186	0.123935	0.558911	0.155862	0.0283085	0.00441393	0.0419745
é	0.00632717	0.00435635	0.0858429	0.0462418	0.501705	0.266631	0.0339898	0.0118361	0.0430701
m	0.000490739	0.0049172	0.0114305	0.00502182	0.193318	0.719048	0.0331095	0.00476824	0.0278959
i	0.00172963	0.00542483	0.0321586	0.00188775	0.217203	0.21677	0.260646	0.102001	0.162179
d	0.000186629	0.00544823	0.00535509	0.00138855	0.0498716	0.753524	0.0312061	0.0506746	0.102345
í	5.33302e-05	0.00326434	0.000570412	0.000790837	0.00918858	0.782989	0.0295553	0.100815	0.0727742
n	0.000298373	0.000563446	0.0106489	0.00060102	0.0583558	0.309367	0.381734	0.0688327	0.169598
g	0.00110911	0.00123941	0.0102496	0.0349561	0.0514717	0.112208	0.35272	0.239528	0.196518
á	0.000412189	0.000841271	0.00659647	0.149046	0.0534268	0.0761766	0.310708	0.138012	0.264781
i	0.000427773	0.000220031	0.00829378	0.00258301	0.0197494	0.0269974	0.285194	0.484015	0.17252
b	0.000456791	0.00111833	0.00609238	0.000447303	0.00851166	0.0876323	0.12856	0.602532	0.16465
v	0.00121771	0.00217547	0.0106232	0.000139672	0.00357338	0.00457651	0.0434224	0.905365	0.0289072
ú	0.000423849	0.000538501	0.00189251	6.99123e-05	0.000631829	0.000812695	0.0131787	0.963549	0.0189025
a	0.000148257	5.24656e-05	0.00135217	0.000381664	0.00278437	0.0187626	0.150331	0.643579	0.182609
</S>	0.000230372	0.000511204	0.00719647	0.000558742	0.0230693	0.0181804	0.489433	0.196043	0.264778
