 	ils	nous	ont	fait	remonter	le	fleuve	</S>
b	0.780509	0.161819	0.0492844	0.00371023	0.0022522	0.00219924	1.14118e-05	0.000213818
á	0.821997	0.145912	0.0136325	0.00628226	0.0107366	0.000945846	0.000214537	0.00027952
a	0.731731	0.259445	0.00473232	0.00157912	0.00212218	5.58701e-05	0.000138614	0.000195031
á	0.0180795	0.0550991	0.835771	0.0574676	0.00121587	0.00333843	0.000415758	0.0286131
n	0.000218607	0.00691301	0.100165	0.754499	0.129044	0.00398345	0.000638625	0.00453779
a	0.000652932	0.0134789	0.0963884	0.43562	0.384765	0.011998	0.0193918	0.0377047
n	0.000347496	0.0093851	0.0270761	0.512047	0.423729	0.0155286	0.00275525	0.00913142
i	0.00721511	0.0542587	0.130102	0.402021	0.359554	0.030408	0.00580443	0.0106368
s	0.0265976	0.23976	0.156387	0.0920574	0.0541544	0.348722	0.0259076	0.0564141
i	0.00149698	0.0234817	0.0449188	0.312288	0.467175	0.132814	0.010665	0.0071615
b	0.00530904	0.346462	0.253961	0.0333008	0.0199726	0.29682	0.022779	0.0213964
í	0.0538355	0.905313	0.0185606	0.00503498	0.00435704	0.0023105	0.0092904	0.00129765
s	0.0295627	0.870515	0.0398864	0.00554619	0.00230914	0.0182512	0.0163221	0.0176073
í	0.00160096	0.0236867	0.0150664	0.113705	0.478378	0.194319	0.064707	0.108537
n	0.000126597	0.00327748	0.0367415	0.07824	0.0715185	0.471023	0.0577099	0.281363
d	0.000799285	0.00844662	0.00323649	0.00758067	0.0208255	0.390812	0.441379	0.126921
z	9.02202e-05	0.000547061	0.00051819	0.00160165	0.011099	0.146966	0.76935	0.0698269
á	9.74496e-06	6.91692e-05	9.28613e-05	0.00122248	0.00963604	0.0776573	0.849422	0.0618904
l	6.50905e-05	0.000704595	0.000816255	0.00920139	0.0430025	0.0466052	0.154789	0.744816
é	0.000519414	0.00065017	0.000909187	0.00924682	0.0249931	0.180306	0.234434	0.548942
</S>	4.86267e-05	0.000219065	0.00534655	0.00332532	0.00300232	0.0499216	0.0959446	0.842192
