 	des	troncs	d'	arbres	barrent	la	rivière	</S>
i	0.533922	0.384703	0.0593527	0.0131292	0.00590058	0.00272437	0.000203307	6.45217e-05
k	0.0888785	0.879672	0.00561469	0.00176056	0.0217942	0.000667948	0.00102716	0.000584607
y	0.00634084	0.985392	0.00142687	0.000483535	0.00286618	0.000240677	0.00295333	0.000296202
é	0.00355045	0.989893	0.00328989	0.000295551	0.00204499	0.000347712	0.000376885	0.000201138
n	0.0474268	0.908424	0.0188369	0.0028768	0.00180858	0.00240371	0.00219346	0.0160302
i	0.0422555	0.868832	0.0272049	0.00748302	0.00992195	0.00530066	0.00167478	0.037327
b	0.129756	0.31902	0.403808	0.0885834	0.0245055	0.0141661	0.00341923	0.0167423
á	0.506046	0.092428	0.157909	0.112038	0.0110498	0.0287878	0.0134552	0.0782866
a	0.202951	0.0194282	0.414333	0.280134	0.0263179	0.0252144	0.00405096	0.0275701
b	0.0245971	0.069196	0.0520714	0.313994	0.487052	0.0128455	0.00952193	0.0307228
v	0.0336557	0.102265	0.0395822	0.490178	0.273839	0.0160972	0.0156693	0.0287138
ú	0.0157627	0.0445938	0.0206327	0.778342	0.131359	0.00405551	0.00384406	0.00140997
a	0.0376121	0.0567132	0.0606199	0.489363	0.249304	0.0727105	0.0128232	0.0208547
b	0.0147511	0.00565904	0.107992	0.162763	0.212806	0.422045	0.0198282	0.0541561
í	0.134157	0.0144744	0.14356	0.205944	0.0882963	0.30547	0.0373649	0.0707321
i	0.0231394	0.00312366	0.0623938	0.173652	0.165706	0.231815	0.169421	0.170749
k	0.00940651	0.0113193	0.00556577	0.025349	0.205966	0.0851743	0.569565	0.0876547
a	0.000231862	0.0104423	0.00069089	0.00318662	0.267291	0.0270268	0.672448	0.0186825
n	0.000583588	0.00976789	0.000934613	0.00821397	0.43166	0.0290177	0.44811	0.0717117
g	0.00259991	0.0242896	0.00303911	0.0108336	0.399031	0.118977	0.216454	0.224776
á	0.00349797	0.0338396	0.00963484	0.0136548	0.122735	0.108972	0.357451	0.350215
ω	0.0110977	0.011984	0.029447	0.0212536	0.0225531	0.242051	0.348081	0.313533
k	0.0152587	0.0632477	0.031812	0.014563	0.0167713	0.175235	0.580119	0.102993
y	0.000725157	0.0544916	0.00546869	0.00456329	0.0442007	0.0535336	0.779501	0.0575164
ε	0.000624486	0.00675547	0.000958843	0.00136693	0.0121116	0.0337915	0.853775	0.0906162
s	0.00112718	0.00369073	0.00125137	0.00364155	0.0128336	0.12569	0.384127	0.467639
í	0.00113015	0.00458975	0.000919398	0.00304221	0.0254811	0.109225	0.32897	0.526642
</S>	0.0247977	0.00555446	0.0233055	0.0184711	0.00618997	0.127108	0.127523	0.667051
