 	le	miroir	brille	</S>
e	0.979491	0.0198497	0.000634433	2.52008e-05
t	0.405224	0.573644	0.0161979	0.00493339
á	0.0191544	0.962148	0.0130984	0.00559873
l	0.0572736	0.818718	0.046915	0.0770931
a	0.267981	0.691316	0.0184793	0.0222232
y	0.612519	0.125479	0.155541	0.106461
é	0.63972	0.191137	0.0248993	0.144244
e	0.720629	0.0879457	0.107282	0.084143
b	0.0631927	0.309867	0.324552	0.302388
á	0.0130351	0.00529833	0.857135	0.124532
l	0.00971013	0.0468167	0.564643	0.37883
a	0.019352	0.0276766	0.508968	0.444003
</S>	0.0352013	0.00458253	0.141508	0.818708
