 	il	s'	approche	du	lit	</S>
w	0.825458	0.159365	0.00682657	0.00715229	0.00103799	0.000160125
a	0.828278	0.0886886	0.00795122	0.0539296	0.021032	0.000120731
a	0.259571	0.598221	0.0315946	0.0824201	0.00486499	0.0233282
d	0.0855963	0.464023	0.154555	0.149391	0.0438508	0.102584
z	0.0559433	0.503028	0.063777	0.0463985	0.00909139	0.321762
w	0.426879	0.236988	0.138207	0.024862	0.0104928	0.162571
é	0.224816	0.219622	0.130301	0.0800189	0.00548355	0.339758
b	0.0255199	0.114913	0.327905	0.257214	0.0245139	0.249934
ε	0.0248981	0.0732272	0.808426	0.0623351	0.0136679	0.0174456
έ	0.00491557	0.032553	0.589402	0.119849	0.043531	0.209749
b	0.0144739	0.0591072	0.328393	0.233906	0.105791	0.25833
ε	0.0331797	0.0848364	0.484787	0.118126	0.232295	0.0467758
έ	0.0072586	0.0494216	0.345823	0.102397	0.135199	0.359901
l	0.00940568	0.027159	0.148456	0.215565	0.189064	0.41035
a	0.0255017	0.0468774	0.0840948	0.306857	0.137143	0.399526
o	0.0713412	0.0339779	0.0218097	0.517363	0.142134	0.213374
b	0.01061	0.0756516	0.0306683	0.106942	0.672264	0.103864
é	0.00339029	0.0240773	0.0840475	0.0292875	0.842034	0.0171634
é	0.000176378	0.00278464	0.0208139	0.0235968	0.163472	0.789156
</S>	0.00599506	0.0370846	0.045154	0.111718	0.0545278	0.745521
