 	le	camion	est	garé	là-bas	</S>
o	0.953085	0.0399442	0.00658295	0.000230515	3.64117e-05	0.00012061
t	0.0339742	0.961454	0.00176399	0.00247525	7.89727e-05	0.000253932
ω	0.00365829	0.992676	0.000267927	0.00233952	0.000977196	8.14963e-05
m	0.0885871	0.9051	0.00348182	0.00162398	0.000167968	0.00103937
b	0.144843	0.702	0.0716978	0.00213146	0.00213964	0.0771885
í	0.0680097	0.771124	0.0627499	0.0023414	0.000491206	0.0952833
l	0.280396	0.526688	0.0909694	0.00574197	0.00796288	0.0882419
i	0.353732	0.521276	0.0191397	0.00448044	0.00964864	0.0917228
ó	0.36477	0.0156073	0.381069	0.180212	0.0153046	0.0430367
d	0.28819	0.0207595	0.328733	0.273535	0.0456228	0.0431601
í	0.00410971	0.000315023	0.151764	0.273758	0.0078058	0.562247
d	0.0175483	0.00028021	0.124372	0.443417	0.0941287	0.320254
z	0.0183608	0.000382601	0.120531	0.690901	0.0250926	0.144732
u	0.00274064	0.00399814	0.0325393	0.909159	0.0260254	0.0255377
ó	0.0612193	0.00969534	0.0754569	0.225332	0.297979	0.330317
p	0.0136304	0.000553581	0.122061	0.201331	0.242064	0.420361
é	0.00833817	0.0626334	0.0269244	0.0269974	0.646599	0.228508
</S>	0.000869404	0.00105491	0.0129178	0.111557	0.644229	0.229372
