 	je	suis	encore	célibataire	</S>
n	0.949676	0.0324971	0.00635318	0.0102021	0.00127218
g	0.994242	0.00365008	0.00179316	0.0001372	0.000177927
á	0.941578	0.0334902	0.0229757	0.00158948	0.000366523
i	0.21428	0.401809	0.239486	0.0342237	0.110201
s	0.0145912	0.619892	0.190393	0.0815379	0.0935864
á	0.028724	0.372224	0.539699	0.00478246	0.0545704
a	0.0162743	0.109383	0.792108	0.0328695	0.0493643
p	0.0113306	0.150551	0.610537	0.177509	0.0500735
f	0.000223974	0.0179894	0.0175318	0.905537	0.0587175
e	0.00028509	0.0435547	0.0417426	0.833684	0.0807339
é	0.0013739	0.025731	0.0458325	0.719563	0.2075
</S>	0.000267215	0.0437363	0.235508	0.180778	0.539711
