 	les	riches	de	notre	village	ont	plusieurs	maisons	</S>
i	0.541062	0.321789	0.0570175	0.0167424	0.05349	0.00700228	0.00105707	0.00136083	0.00047969
n	0.0901978	0.597265	0.0249147	0.00645839	0.245971	0.0126284	0.0104706	0.00749829	0.00459624
έ	0.123444	0.727891	0.0530103	0.0177573	0.00866356	0.0061122	0.00596003	0.0434918	0.0136693
ε	0.118631	0.559251	0.10717	0.0435987	0.0214675	0.00755649	0.00578124	0.0155527	0.120991
b	0.0586227	0.24541	0.255762	0.0148969	0.293108	0.0341008	0.0425552	0.013293	0.0422519
á	0.129306	0.0968087	0.137405	0.103812	0.191561	0.171582	0.013434	0.0136891	0.142402
p	0.0213584	0.0113361	0.0388695	0.128431	0.644211	0.0355017	0.00449464	0.023276	0.0925213
o	0.00324385	0.00471371	0.0146218	0.00540569	0.937281	0.0164538	0.0034029	0.00222426	0.0126525
o	0.00567656	0.00814568	0.0178532	0.0114856	0.919039	0.025653	0.00414569	0.000688026	0.00731348
y	0.0294089	0.033068	0.24329	0.211914	0.103801	0.281358	0.0386252	0.00629458	0.0522406
á	0.071455	0.0490552	0.128292	0.167854	0.285687	0.218764	0.0359556	0.01394	0.0289977
b	0.0110462	0.00318172	0.0366036	0.780236	0.0533546	0.0648698	0.0211091	0.0174107	0.0121886
í	0.00564634	0.00256596	0.025748	0.942596	0.00454754	0.0143618	0.000899134	0.00169299	0.00194184
s	0.00402983	0.000479744	0.00758187	0.982194	0.000778748	0.00302052	0.000249795	0.000895582	0.000769493
í	0.010739	0.00500486	0.0228656	0.795494	0.0045726	0.0468527	0.00780195	0.028336	0.0783338
í	0.00194259	0.00157355	0.0257243	0.0868049	0.0150494	0.671045	0.0917995	0.0249285	0.0811322
d	0.00951347	0.0101942	0.0545332	0.0394488	0.00676597	0.450508	0.317477	0.0510566	0.0605032
í	0.00145479	0.000879053	0.00648455	0.0198477	0.000497273	0.089534	0.411015	0.067837	0.402451
l	0.00324319	0.00139584	0.0131176	0.103396	0.00144902	0.0797654	0.40675	0.215164	0.175719
a	0.0012905	0.000926041	0.00703268	0.02001	0.00148177	0.0363824	0.350088	0.289695	0.293093
a	0.0011615	0.00248908	0.00496726	0.0250682	0.00250071	0.032284	0.226873	0.58987	0.114786
n	0.00333713	0.00931375	0.0141771	0.0133821	0.0040588	0.0299127	0.407912	0.417648	0.100258
d	0.00129107	0.00692306	0.00249187	0.00392112	0.000294926	0.0041217	0.118343	0.763259	0.0993542
é	0.000200044	0.0023455	0.00195802	0.00287635	0.000587198	0.00704378	0.132425	0.687182	0.165382
e	7.35064e-05	0.0010294	0.00177058	0.00449026	0.00128094	0.0266464	0.218172	0.405078	0.341459
a	0.000823473	0.004787	0.00787303	0.00386046	0.00145436	0.0702915	0.261929	0.261006	0.387975
y	0.00393261	0.0061045	0.0178235	0.0111182	0.00232775	0.0257983	0.280503	0.366681	0.285711
í	0.000508651	0.00172743	0.00460231	0.00567785	0.00231396	0.0114867	0.523751	0.181262	0.26867
í	0.00038913	0.00024882	0.00280749	0.0237718	0.000661192	0.0136591	0.146735	0.159338	0.652389
</S>	0.0014286	0.00116536	0.0137727	0.0235962	0.000620744	0.022065	0.121359	0.426831	0.389161
