 	il	faut	que	les	gens	offrent	des	sacrifices	à	dieu	</S>
b	0.294584	0.419069	0.144658	0.0751286	0.0504438	0.000362708	0.00342306	0.00358094	0.00798466	0.000645936	0.00011947
a	0.15645	0.350427	0.129656	0.195894	0.13112	0.000672958	0.00513515	0.00602144	0.0223774	0.000955133	0.00129017
r	0.0548853	0.122758	0.0490171	0.158476	0.608011	0.0003318	0.00261358	0.00102574	0.000921131	0.00122615	0.000734915
e	0.229166	0.467901	0.121053	0.145613	0.00110991	0.000706445	0.00147888	0.0041508	0.00260842	0.00342106	0.0227919
k	0.197752	0.42373	0.235631	0.06064	0.0036332	0.00838861	0.00952413	0.00627287	0.0162798	0.000829722	0.0373174
á	0.139371	0.175676	0.285489	0.12297	0.0474325	0.114069	0.00962122	0.0642617	0.0020409	0.000949268	0.0381203
a	0.0756176	0.0371034	0.123391	0.108787	0.279429	0.0930529	0.0210333	0.0169873	0.00909756	0.0137073	0.221793
b	0.0510208	0.0392436	0.197873	0.246448	0.22332	0.142163	0.0535738	0.0203978	0.00904255	0.00302316	0.0138948
á	0.0319611	0.0295897	0.103327	0.100753	0.349941	0.208438	0.0493741	0.0611207	0.0139976	0.00221987	0.0492782
a	0.0194166	0.0149548	0.0478375	0.0960287	0.692865	0.0722768	0.018235	0.00718243	0.0037698	0.0020091	0.0254238
p	0.00366107	0.00712743	0.0394562	0.0492994	0.0271766	0.667982	0.120633	0.0531574	0.00326954	0.000453495	0.0277836
έ	0.0011592	0.00353716	0.0167931	0.0232014	0.00919305	0.880668	0.0333098	0.0247671	0.000433173	0.000815153	0.0061227
έ	0.0253983	0.0469007	0.137777	0.177392	0.0763615	0.229267	0.0494209	0.0784498	0.0230928	0.0169479	0.138992
a	0.0147088	0.0097302	0.0562623	0.137972	0.0864871	0.240036	0.281669	0.0567344	0.0613306	0.0226452	0.0324244
b	0.00458107	0.00456141	0.0218197	0.0419754	0.00519073	0.195478	0.357727	0.287105	0.0154978	0.0311011	0.0349634
ó	0.00165015	0.0030262	0.0172723	0.0337013	0.00509968	0.175014	0.267385	0.448372	0.0134848	0.00570319	0.0292919
n	0.0016348	0.00175105	0.0176192	0.0420616	0.0160159	0.137124	0.222102	0.470148	0.0186459	0.0072282	0.0656686
d	0.0063927	0.00563531	0.0216594	0.0836089	0.00536349	0.0751448	0.326779	0.323502	0.0422816	0.0760225	0.0336105
í	0.0036428	0.00362078	0.0183107	0.0871916	0.00199786	0.0648724	0.168462	0.319804	0.0314541	0.110836	0.189807
í	0.00454608	0.00413552	0.0111146	0.0171804	0.00566073	0.0515093	0.154441	0.168623	0.414327	0.110036	0.0584271
l	0.00863286	0.0110381	0.0402269	0.0305713	0.00314591	0.0464115	0.153895	0.171674	0.198811	0.222314	0.113279
a	0.00449907	0.00473987	0.0202261	0.0149435	8.62902e-05	0.0367234	0.0496216	0.216393	0.171558	0.0676795	0.413529
n	0.000744525	0.00148295	0.00494458	0.0123564	0.000201103	0.0107995	0.0338471	0.117796	0.368654	0.22734	0.221833
z	0.000370059	0.00159342	0.00163252	0.00418761	2.60332e-05	0.000540838	0.00563936	0.0388783	0.0777351	0.811288	0.0581086
a	3.07981e-05	0.000267921	0.000254153	0.00110901	2.68982e-05	0.000301494	0.00284657	0.0100448	0.0150086	0.945829	0.0242806
m	6.00685e-05	0.000194809	0.000748028	0.00350532	5.75645e-05	0.00798552	0.0508955	0.13384	0.182211	0.0919041	0.528598
b	0.00573648	0.00435736	0.0120905	0.0249962	0.000534855	0.0163678	0.0462744	0.222801	0.311055	0.115619	0.240168
é	0.00413368	0.00327669	0.00575013	0.0430162	0.00140527	0.00136118	0.0329133	0.20915	0.157403	0.354944	0.186647
</S>	0.000530089	0.000684272	0.00287414	0.0057564	0.000500832	0.00863294	0.0314532	0.0866199	0.222043	0.0347488	0.606156
