 	onganya	a	une	nuque	proéminente	</S>
o	0.78297	0.14147	0.0460315	0.0276764	0.00152776	0.000323391
n	0.120581	0.386504	0.247076	0.171622	0.059277	0.0149403
g	0.352884	0.201122	0.152134	0.192876	0.0551342	0.0458504
a	0.85086	0.0732997	0.0474678	0.0112937	0.00257479	0.0145044
n	0.629565	0.112455	0.146817	0.0160394	0.0110761	0.0840468
y	0.254979	0.150776	0.328343	0.0181515	0.0042302	0.24352
a	0.158276	0.255154	0.333255	0.0364269	0.011627	0.205261
a	0.0593706	0.238972	0.464816	0.192034	0.0239752	0.0208331
d	0.00941845	0.175322	0.449922	0.260567	0.0497047	0.0550647
í	0.0037608	0.0607532	0.17243	0.014011	0.0111029	0.737942
l	0.00233346	0.0505064	0.21106	0.201957	0.292802	0.241341
i	0.00248306	0.0158777	0.0729353	0.0186169	0.105073	0.785015
k	0.00358158	0.00613563	0.0328496	0.0281091	0.458428	0.470896
ώ	0.0002763	0.00160466	0.0141874	0.0422043	0.895236	0.0464914
r	0.000320979	0.00194412	0.0195148	0.132329	0.814102	0.0317893
ω	0.00548156	0.029162	0.0917942	0.14767	0.479381	0.246511
</S>	0.00452539	0.00248082	0.0338965	0.0422533	0.15388	0.762964
