 	l'	enfant	s'	est	recroquevillé	dans	le	pagne	à	cause	du	froid	</S>
m	0.635751	0.359993	0.00138221	0.000132232	0.000522588	0.000700861	0.000823217	0.000246107	0.000314563	5.02042e-05	5.38001e-05	1.71618e-05	1.24125e-05
w	0.021948	0.946347	0.0138628	0.0043417	0.00583955	0.00223702	0.00176581	0.000769883	0.000578444	0.000542335	0.000592732	5.44826e-05	0.00111998
á	0.000729018	0.999227	1.11018e-05	1.3309e-06	8.16798e-06	1.43078e-05	2.26688e-06	5.23435e-06	8.40929e-07	3.65037e-07	1.02417e-07	5.72021e-07	7.41696e-08
n	0.105933	0.892141	0.0009356	7.13384e-05	0.000113237	5.74547e-05	8.46074e-05	0.000122271	7.63954e-05	6.0764e-05	8.69326e-06	1.05661e-05	0.000384567
a	0.25223	0.627007	0.0630709	0.00755584	0.00204018	0.0114262	0.00933981	0.00441593	0.00475318	0.00161455	0.000769912	0.00013938	0.0156369
á	0.42302	0.016914	0.464451	0.0584	0.00963735	0.00972445	0.00526918	0.00145663	0.0039544	0.00174583	0.00202297	0.000232963	0.00317084
w	0.0145133	0.00215973	0.128753	0.565478	0.176091	0.0366074	0.0130558	0.0113544	0.00514417	0.00953167	0.0135471	0.00963865	0.0141257
ú	0.000590069	0.000502229	0.0474715	0.294459	0.53144	0.0808252	0.0160201	0.0105558	0.00286451	0.00305841	0.00228702	0.00339145	0.00653449
n	0.0291734	0.000333834	0.0325508	0.203163	0.579309	0.106276	0.0189162	0.00934428	0.0039946	0.00304505	0.00369919	0.00346555	0.00672954
y	0.0722655	0.000544173	0.0442407	0.168051	0.328416	0.297686	0.0592134	0.00735487	0.00777614	0.00277926	0.00414061	0.00113612	0.0063953
i	0.0012455	7.71779e-05	0.00885143	0.0920634	0.603895	0.139034	0.0354464	0.0497348	0.0202565	0.00810585	0.0181028	0.00788128	0.0153062
i	0.0143181	0.00188173	0.04704	0.0517764	0.139006	0.396367	0.230374	0.0473529	0.0445301	0.0041822	0.0067043	0.00203704	0.0144299
n	0.00112115	0.00124475	0.00335086	0.022795	0.118815	0.1967	0.291318	0.251075	0.0540524	0.0262427	0.011458	0.00480572	0.017021
d	0.00752133	0.000733825	0.0006777	0.00304903	0.038693	0.672884	0.214907	0.0163526	0.0321063	0.0018859	0.00170179	0.000246751	0.00924043
z	0.00247618	0.000784761	0.000548711	0.00342811	0.0850835	0.598533	0.202414	0.0518436	0.0279646	0.00342305	0.00230546	0.00204421	0.0191511
ó	0.000173526	0.000213544	0.000331461	0.00187918	0.0736888	0.325425	0.14951	0.387742	0.0402258	0.00389946	0.00283692	0.00243308	0.0116416
r	0.0022477	0.00110482	0.00719739	0.00454035	0.146388	0.145586	0.278375	0.128731	0.184775	0.0246352	0.00848837	0.00871672	0.0592151
o	0.000210779	5.54287e-05	0.000622799	0.00213418	0.0686421	0.0530429	0.189599	0.500186	0.112562	0.0225196	0.00591708	0.00571893	0.0387893
s	0.00132123	4.32947e-05	0.00731194	0.0135637	0.0366991	0.0847233	0.351146	0.0839105	0.328246	0.0581765	0.0153201	0.00183102	0.0177075
í	0.00261261	1.5929e-05	0.00042188	0.00160104	0.0316203	0.135668	0.187226	0.290385	0.138399	0.0567841	0.0245185	0.0895387	0.0412088
p	0.00817196	0.000115957	0.00237713	0.00224297	0.0109106	0.119218	0.106415	0.182803	0.243267	0.0978965	0.05298	0.143817	0.0297849
f	0.000309283	3.59722e-05	0.000370694	0.000852208	0.0106713	0.0040668	0.0172742	0.506293	0.0437915	0.10587	0.0217602	0.283851	0.00485417
ú	0.000454289	1.91941e-05	0.000283519	0.00188915	0.0438911	0.00910729	0.0267013	0.463457	0.0727585	0.159792	0.0433591	0.156025	0.0222622
t	0.00121675	4.87887e-05	0.000329367	0.000702936	0.0332135	0.0251335	0.0452552	0.341753	0.129237	0.158462	0.0779103	0.133061	0.0536768
a	0.00416046	5.68707e-05	0.000248587	0.00120552	0.0282739	0.0118546	0.0134901	0.339713	0.0725157	0.0979738	0.0721382	0.252635	0.105734
m	0.000101174	3.21806e-06	0.000463633	0.000831237	0.00202656	0.0055772	0.0214857	0.016083	0.0760614	0.236185	0.280161	0.097629	0.263392
o	0.000430046	0.000102566	0.000674779	0.00186391	0.00650738	0.00497794	0.012174	0.0413232	0.0489687	0.0918679	0.357692	0.149789	0.283629
p	0.000755427	3.15256e-05	0.00187321	0.00448427	0.00843158	0.00751549	0.0235764	0.0276094	0.0680579	0.138758	0.208871	0.392935	0.1171
y	0.0002109	2.61752e-05	0.00118187	0.00200526	0.0131288	0.00196659	0.004321	0.0297725	0.0126654	0.068663	0.146711	0.687824	0.0315236
é	0.000201447	3.17859e-05	0.000187915	0.000292076	0.0108944	0.000578527	0.00129243	0.0248318	0.00635403	0.0274743	0.0530853	0.842976	0.0317996
b	2.56617e-05	4.27082e-06	7.48047e-05	0.000164867	0.00246489	0.000150547	0.000324723	0.00349569	0.0010348	0.0089288	0.0179757	0.939485	0.0258705
h	6.74417e-05	1.35401e-05	0.000120158	0.000669633	0.00705283	0.000538436	0.00173242	0.0255264	0.0137871	0.0346244	0.0894431	0.731006	0.0954188
i	0.000440339	5.64215e-05	0.000416464	0.00134014	0.00831877	0.00604918	0.0133255	0.0738912	0.0471958	0.0975433	0.0880182	0.170832	0.492573
</S>	0.00370048	9.20017e-05	0.00317701	0.0047186	0.0201887	0.0285823	0.0631738	0.033076	0.0676916	0.0834528	0.192187	0.0466275	0.453332
