 	il	y	a	beaucoup	de	brouillard	aujourd'	hui	</S>
l	0.130917	0.284319	0.144212	0.0602869	0.187459	0.0885983	0.0927555	0.00536017	0.00609264
e	0.260331	0.114591	0.0552267	0.157196	0.120013	0.134918	0.0728346	0.0102538	0.0746353
b	0.0859088	0.109	0.0837021	0.19878	0.0945947	0.0426433	0.0755099	0.0040596	0.305801
o	0.0222119	0.0291924	0.0260725	0.0419175	0.0789763	0.699631	0.0580445	0.00914125	0.034813
n	0.0188317	0.0543965	0.0353001	0.0649617	0.19653	0.507446	0.0361861	0.0179032	0.0684446
g	0.307614	0.032891	0.028823	0.0730093	0.0997181	0.3276	0.038377	0.00491283	0.0870556
i	0.233774	0.0198999	0.0213865	0.0399083	0.117303	0.554957	0.00782076	0.000126473	0.00482311
í	0.0680768	0.110749	0.238144	0.0803681	0.0957597	0.0133041	0.283502	0.021564	0.0885316
d	0.0590842	0.0358654	0.332276	0.253954	0.0836862	0.00767382	0.154096	0.0264756	0.0468887
i	0.0075226	0.00181961	0.0632966	0.230473	0.0411842	0.00293417	0.0473972	0.00300057	0.602372
i	0.0117695	0.00476424	0.151956	0.346177	0.1675	0.0129298	0.133703	0.0143114	0.156888
y	0.00568386	0.00903166	0.0432746	0.108261	0.0771106	0.0258505	0.177007	0.173296	0.380485
í	0.00313127	0.00491502	0.0429961	0.227005	0.0607607	0.0083664	0.119679	0.0454409	0.487706
í	0.00147347	0.000622462	0.0269267	0.105376	0.0624496	0.00425463	0.0856901	0.0449615	0.668246
p	0.00656746	0.00387305	0.0486396	0.0787745	0.033556	0.00133339	0.381813	0.054806	0.390637
á	0.00280537	0.00728816	0.0214025	0.0395046	0.0132344	0.00194924	0.0787047	0.764966	0.0701452
b	0.000927437	0.00287397	0.0112976	0.018058	0.003687	0.00138719	0.0518972	0.757308	0.152563
h	0.00212148	0.00350701	0.00715868	0.00826049	0.00496557	0.00819976	0.195136	0.447013	0.323638
a	0.00361814	0.0126219	0.00864649	0.0151979	0.0221612	0.0310443	0.157255	0.493478	0.255978
</S>	0.00447464	0.0107652	0.0255942	0.0313668	0.0645773	0.00547656	0.407864	0.0592205	0.390661
