 	je	viens	d'	abattre	un	arbre	dans	mon	champ	</S>
n	0.994682	0.00152006	0.00105449	0.0017845	0.000372456	0.000239605	9.99579e-05	0.000234381	9.59144e-06	2.71718e-06
g	0.986996	0.00353956	0.000822763	6.18273e-05	0.000140649	2.08208e-05	9.15818e-05	0.00821127	0.000111759	3.73236e-06
á	0.860848	0.121829	0.00143779	0.000165627	0.000465774	0.000143396	0.000422329	0.00168987	0.0129942	4.16665e-06
í	0.0835307	0.0535003	0.234336	0.0337109	0.0444686	0.0240222	0.0372019	0.131024	0.00274639	0.355459
w	0.0171007	0.477502	0.450737	0.0308194	0.00599276	0.00558796	0.00333366	0.00122277	0.00025054	0.00745319
ú	0.00318608	0.046406	0.743443	0.112619	0.0256918	0.0214787	0.0287362	0.00378449	0.00129759	0.0133568
r	0.0764978	0.0222446	0.62928	0.0876841	0.0428742	0.0141344	0.0257891	0.0534612	0.0160532	0.0319819
u	0.0316662	0.025802	0.70121	0.0836937	0.0579664	0.0118698	0.0133866	0.0330831	0.00101355	0.0403089
o	0.0167016	0.0167617	0.621809	0.09395	0.156449	0.0274695	0.0114296	0.024225	0.00574037	0.0254647
b	3.40074e-05	0.000854754	0.0793441	0.860241	0.032024	0.0172946	0.0057883	0.000346715	0.000248409	0.00382414
v	1.68886e-05	6.03053e-05	0.0341816	0.939977	0.00893662	0.0151959	0.000833536	0.000219644	9.8758e-06	0.000569105
e	2.09191e-05	0.000303428	0.050468	0.896809	0.0112883	0.0396009	0.00122292	5.99245e-05	4.20011e-06	0.000222443
e	0.00268638	0.00018714	0.0716792	0.55824	0.127976	0.172733	0.0404783	0.00208094	0.000118942	0.0238197
s	2.11572e-05	4.59882e-05	0.0402989	0.193301	0.400082	0.292688	0.0578983	0.00135639	5.33824e-05	0.014256
á	0.000876584	2.50785e-05	0.021829	0.127781	0.277613	0.202779	0.228605	0.0350397	0.000592244	0.10486
i	0.00196137	0.000230943	0.00432123	0.0193614	0.461687	0.204128	0.202101	0.0517301	0.0347875	0.0196913
b	4.48485e-05	6.13407e-05	0.00369797	0.117734	0.203313	0.513751	0.151077	0.00139106	0.00183958	0.00709064
v	4.33901e-05	2.00502e-05	0.00445378	0.0852152	0.0852029	0.775723	0.0453386	0.00202458	0.000164077	0.00181487
ú	4.47111e-05	1.48833e-05	0.00289681	0.0754202	0.0755772	0.778603	0.0639636	0.0015673	7.55669e-05	0.00183645
a	0.00135791	4.82634e-06	0.00578856	0.0423568	0.216148	0.513137	0.206411	0.00545725	0.000312951	0.00902663
s	3.09868e-05	1.42654e-05	0.00300042	0.00375764	0.113752	0.215066	0.577376	0.0376288	0.00106274	0.0483109
á	0.00025425	1.51727e-05	0.00274236	0.00213123	0.0223866	0.0211914	0.266041	0.403912	0.0114097	0.269917
n	0.00030811	4.29616e-05	0.00138452	0.00184644	0.0154295	0.0127423	0.198524	0.611149	0.129907	0.0286661
g	0.00125941	1.25733e-05	9.35348e-05	7.27988e-05	0.00259316	0.0015043	0.0211057	0.121052	0.848162	0.0041453
o	0.000251536	2.8168e-05	2.12871e-05	2.6108e-05	0.00025975	0.000259754	0.0033035	0.00881365	0.986542	0.000494173
n	0.000130563	9.27263e-06	4.20805e-05	0.000257177	0.00149951	0.00304424	0.0166633	0.0166795	0.952727	0.00894767
d	0.00181088	0.00146089	0.0152801	0.0156295	0.0576403	0.0398738	0.196773	0.038739	0.117801	0.514991
a	0.00167801	0.00017029	0.000871638	0.0017793	0.0039559	0.00230307	0.0325749	0.0153464	0.813628	0.127692
</S>	0.00116171	8.52168e-05	0.00281428	0.00154727	0.0381822	0.0308771	0.12526	0.282961	0.0769433	0.440168
