 	il	ont	tenté	le	chef	pourquoi	</S>
b	0.901052	0.0878351	0.00466822	0.00182684	0.00385264	0.000646919	0.000117949
á	0.770128	0.191407	0.0274547	0.00605535	0.00077781	0.00318867	0.000989109
a	0.341151	0.498517	0.133476	0.00877463	0.00157394	0.00790685	0.00860135
á	0.0947843	0.507604	0.335979	0.0206182	0.00349322	0.00537304	0.0321484
m	0.0185376	0.163465	0.730064	0.0442253	0.012785	0.00612878	0.024794
e	0.0112448	0.123271	0.740737	0.0875701	0.0105558	0.0044619	0.0221595
i	0.00555198	0.0490904	0.864428	0.0265395	0.0368715	0.00221712	0.0153012
o	0.00319506	0.0389277	0.441669	0.181134	0.191635	0.0114741	0.131966
k	0.000379782	0.00555061	0.0275928	0.192951	0.715212	0.0337092	0.0246046
o	0.000150854	0.00101499	0.00911942	0.0397064	0.920279	0.00798174	0.0217473
n	0.000179053	0.00638989	0.0140901	0.22275	0.729531	0.0102894	0.0167711
d	0.002448	0.00693884	0.00553546	0.0494367	0.865276	0.00925951	0.0611053
z	0.0214986	0.0193837	0.00649388	0.0385989	0.795761	0.0275189	0.0907447
i	0.038289	0.0262169	0.00458146	0.0629775	0.681337	0.0555001	0.131098
t	0.00760896	0.021089	0.00267367	0.405122	0.336118	0.0827912	0.144597
s	0.0118417	0.00406166	0.000296697	0.139142	0.218941	0.312366	0.313351
í	0.00152282	0.00101637	6.51444e-05	0.127814	0.0805137	0.614538	0.17453
n	0.00359137	0.00274448	0.000794847	0.0647008	0.0493814	0.58453	0.294257
a	0.00362766	0.00536297	0.00286837	0.0217072	0.0418334	0.442874	0.481726
n	0.0027697	0.0104716	0.000805671	0.171277	0.0397962	0.394779	0.380101
d	0.00442149	0.00331936	0.000269472	0.0114604	0.0120875	0.478974	0.489468
e	0.00193386	0.00135863	0.000203946	0.00606483	0.0365326	0.433073	0.520833
</S>	0.000117809	0.000391437	6.18473e-05	0.0243979	0.0315895	0.2069	0.736541
