 	on	lui	fait	des	massages	à	l'	eau	chaude	</S>
b	0.685943	0.178781	0.0213872	0.0540955	0.0344508	0.00680934	0.00700929	0.00527007	0.00570496	0.000548306
o	0.138052	0.0681507	0.0245611	0.3386	0.397645	0.0199236	0.00414749	0.0027177	0.00563543	0.000567042
b	0.077079	0.30184	0.141368	0.0882675	0.356894	0.0143384	0.00770003	0.00153832	0.00698875	0.00398624
á	0.113664	0.130728	0.140006	0.282763	0.202736	0.0813587	0.0196421	0.005542	0.00567254	0.0178876
a	0.247511	0.144562	0.23354	0.149937	0.0324892	0.068631	0.0133521	0.00876568	0.00819299	0.093019
b	0.0279276	0.167875	0.555578	0.102298	0.0873154	0.0286857	0.0135297	0.00513395	0.00352957	0.00812639
έ	0.0592622	0.0975768	0.344868	0.161692	0.10859	0.0886949	0.0768195	0.00747384	0.039346	0.015677
r	0.0190197	0.131179	0.364706	0.172996	0.0344364	0.130845	0.069006	0.00513361	0.0137272	0.058951
έ	0.0288981	0.12519	0.112054	0.248259	0.12601	0.211138	0.0916926	0.0172976	0.0076506	0.0318108
w	0.0379742	0.0612986	0.0724043	0.247638	0.112873	0.284892	0.123488	0.0438213	0.00432729	0.0112824
á	0.054022	0.0722028	0.0495363	0.138138	0.427134	0.12612	0.0769522	0.0194494	0.00455299	0.0318927
i	0.0298765	0.019246	0.0200883	0.139723	0.107605	0.328877	0.206137	0.0859994	0.0149082	0.0475387
d	0.00278474	0.0108152	0.0516422	0.0337192	0.0275777	0.159396	0.553401	0.0394307	0.0668248	0.0544081
i	0.00064258	0.00355523	0.0183455	0.00397464	0.000320855	0.0825987	0.514836	0.0611927	0.25037	0.0641645
b	0.000397556	0.00275908	0.0170765	0.00768549	0.000918356	0.096288	0.473092	0.133128	0.182339	0.0863149
h	0.00484459	0.0135512	0.0830764	0.0615218	0.0206634	0.132883	0.27235	0.0259542	0.0618086	0.323347
i	0.00241199	0.00295741	0.0189146	0.0691625	0.0265923	0.0586193	0.178909	0.0294585	0.108638	0.504336
i	0.000388793	0.00215108	0.0178031	0.0178383	0.00155029	0.0485882	0.22271	0.2194	0.231641	0.237929
</S>	0.00186105	0.00357312	0.0250944	0.0185939	0.00352465	0.0219169	0.109111	0.113118	0.49078	0.212427
