 	c'	est	une	région	brûlée	par	le	soleil	</S>
é	0.836661	0.122562	0.0260246	0.00606176	0.00562201	0.00157208	0.00143743	3.89124e-05	2.08063e-05
d	0.269238	0.543198	0.15584	0.02397	0.00253451	0.00195327	0.00151634	0.00161153	0.000137451
í	0.0355985	0.547409	0.361783	0.0275871	0.00896772	0.00630215	0.00087857	0.00246582	0.00900812
e	0.0145388	0.381322	0.462866	0.0578016	0.00669182	0.0110902	0.0071077	0.0104905	0.0480911
k	0.00090225	0.0363978	0.277531	0.6161	0.0361942	0.0106322	0.0057505	0.00658488	0.00990661
y	0.000148443	0.00483917	0.0420128	0.913887	0.0141827	0.00662346	0.00132522	0.00095083	0.0160306
é	0.000393785	0.0120222	0.0815607	0.877316	0.0196283	0.00275175	0.000747373	0.00120228	0.00437785
n	0.00265573	0.0371372	0.147304	0.626919	0.029213	0.0107992	0.00555359	0.00278948	0.137629
á	0.00268277	0.0193232	0.087709	0.583359	0.144107	0.0242966	0.00257585	0.00311091	0.132836
á	0.0262732	0.0361304	0.150761	0.257484	0.309207	0.111382	0.0410602	0.00847017	0.0592329
e	0.00581577	0.0159477	0.0587828	0.0572598	0.311173	0.28439	0.205339	0.0303727	0.0309181
p	0.000803705	0.0149964	0.0288547	0.047054	0.042731	0.37562	0.222588	0.210676	0.0566764
ω	0.000658571	0.012056	0.0452822	0.282331	0.0424235	0.345063	0.148211	0.0583855	0.0655895
ώ	0.00031305	0.00378667	0.0429206	0.279558	0.123496	0.234936	0.189055	0.0250072	0.100927
m	0.0058226	0.006483	0.0301072	0.0144197	0.139949	0.244558	0.512419	0.013462	0.0327783
w	0.0083226	0.00126428	0.00245856	0.000618818	0.0200275	0.0821885	0.14108	0.583458	0.160581
é	0.00169267	0.000614161	0.00174614	0.0045164	0.0533991	0.279696	0.0750306	0.490626	0.0926785
s	0.0037716	0.00202465	0.00757508	0.00134956	0.078128	0.183241	0.406326	0.162865	0.15472
é	0.0011307	0.000692925	0.00578051	0.00600229	0.122928	0.142964	0.1198	0.457056	0.143645
w	0.00323142	0.00593174	0.0171226	0.00801926	0.0742258	0.234231	0.364807	0.050723	0.241708
a	0.00596219	0.00472173	0.0160879	0.0237297	0.115422	0.295988	0.366772	0.0374201	0.133897
m	0.00106664	0.000416986	0.00248447	0.00469083	0.0205272	0.0866781	0.553524	0.0491046	0.281507
έ	0.00323484	0.00331843	0.0044277	0.000494116	0.00660364	0.0650485	0.326737	0.411113	0.179023
n	0.000192264	0.00109131	0.00228676	0.000232567	0.00325126	0.0426966	0.339793	0.475208	0.135247
d	0.000290352	0.000690664	0.00625474	0.00897729	0.0538098	0.069393	0.333334	0.259654	0.267596
e	0.000207154	0.000193318	0.00151962	0.00625478	0.0256097	0.0664901	0.167084	0.290704	0.441937
</S>	6.54442e-05	0.000214455	0.00161146	0.00599179	0.0105029	0.0561225	0.0703129	0.118983	0.736196
