 	nous	sommes	en	pleine	saison	de	mangues	</S>
l	0.283783	0.263276	0.0688749	0.129445	0.0439494	0.159179	0.0501686	0.00132358
e	0.0501181	0.196708	0.244126	0.21777	0.148119	0.0891047	0.00916219	0.0448924
b	0.02759	0.267418	0.200756	0.168971	0.0174433	0.0244073	0.131554	0.161861
h	0.115975	0.391344	0.324798	0.020772	0.0341309	0.00825248	0.0457915	0.0589363
i	0.086499	0.443531	0.295787	0.0486292	0.0363509	0.00868157	0.0215888	0.0589333
m	0.0287907	0.224111	0.498343	0.11085	0.0601092	0.0370414	0.00629931	0.0344565
é	0.00831951	0.17702	0.326563	0.184193	0.126243	0.0909246	0.0120411	0.0746967
b	0.0340333	0.195113	0.227012	0.223237	0.118432	0.0713286	0.0444645	0.0863793
v	0.0313883	0.196768	0.301184	0.0462922	0.273765	0.0652091	0.00757847	0.0778154
ú	0.0622326	0.148068	0.304356	0.200132	0.148591	0.0420782	0.0366332	0.0579095
y	0.00331306	0.00775004	0.078335	0.149001	0.574053	0.173776	0.00450449	0.00926759
á	0.00676291	0.0176959	0.0787885	0.144542	0.27496	0.399857	0.020796	0.0565987
m	0.00369877	0.0177265	0.0560025	0.118062	0.146854	0.494675	0.111489	0.0514935
b	0.000434672	0.00426653	0.0193883	0.0136723	0.0292132	0.194332	0.359634	0.379059
á	0.000779569	0.00220082	0.02313	0.00704091	0.0164098	0.0237607	0.895877	0.0308015
n	0.0390494	0.00254706	0.00596917	0.00328244	0.0026358	0.00626496	0.912088	0.0281633
g	0.00139323	0.00621316	0.0300834	0.114459	0.167419	0.154776	0.407443	0.118213
é	0.00120772	0.00114078	0.0168224	0.105778	0.0653437	0.0720183	0.663682	0.0740078
</S>	0.000821754	0.00786186	0.017671	0.130287	0.0905338	0.374584	0.0500218	0.328219
