 	on	a	arrêté	le	travail	à	midi	</S>
l	0.62872	0.241321	0.0547896	0.0548112	0.00889321	0.00937459	0.00188331	0.000207533
é	0.434537	0.395659	0.0796899	0.0611339	0.00640067	0.0110269	0.00720838	0.00434403
s	0.168366	0.289243	0.360164	0.0995588	0.00923861	0.00918857	0.0176014	0.0466399
í	0.00790109	0.114928	0.493102	0.0416186	0.0573203	0.0104147	0.00910976	0.265606
í	0.0323107	0.072047	0.168446	0.0831151	0.0274588	0.0339372	0.0498107	0.532875
s	0.0908998	0.128081	0.256565	0.315557	0.0983335	0.0494421	0.00549863	0.0556224
i	0.0079755	0.0760373	0.543287	0.184511	0.0903829	0.0170902	0.00391797	0.076798
i	0.0182795	0.040698	0.185752	0.479688	0.185404	0.0320189	0.00718854	0.0509707
s	0.00701149	0.0318585	0.151349	0.377716	0.332184	0.0462808	0.0151497	0.0384509
á	0.00165675	0.0133668	0.162474	0.189341	0.4622	0.0675009	0.0439047	0.0595549
l	0.00359356	0.00512906	0.0421376	0.117092	0.571305	0.0717005	0.0489898	0.140052
a	0.0106717	0.0128805	0.0839458	0.191854	0.495287	0.0913439	0.0345793	0.0794376
l	0.00356276	0.00551351	0.0250074	0.11295	0.42854	0.271604	0.0647392	0.0880824
a	0.0077572	0.00671401	0.0216542	0.0357952	0.359937	0.19275	0.106526	0.268866
m	0.00407676	0.00520278	0.015284	0.0506373	0.195677	0.269223	0.355809	0.10409
i	0.000970684	0.00183393	0.00221899	0.0070921	0.0254713	0.141652	0.687258	0.133503
d	0.000118182	0.0011348	0.00403377	0.0102591	0.0674475	0.241501	0.598871	0.076635
í	0.000375525	0.000646434	0.00165949	0.000728561	0.0410889	0.0478772	0.775729	0.131895
</S>	0.000610592	0.000937783	0.00374385	0.00818229	0.019127	0.139726	0.344893	0.482779
