 	ce	que	tu	cachais	sous	la	table	est	découvert	</S>
b	0.490658	0.483738	0.0197951	0.00370798	0.00107076	0.000755658	5.3336e-05	0.000139729	6.80326e-05	1.32705e-05
é	0.129712	0.820921	0.0279027	0.0168768	0.00126243	0.00192692	0.000285307	0.000791337	0.000194775	0.000126229
a	0.0278614	0.604011	0.072971	0.247895	0.0136171	0.0122844	0.0102682	0.00311801	0.000818378	0.00715516
b	0.116441	0.492978	0.26644	0.0230487	0.014194	0.0121736	0.00729456	0.0196463	0.00164744	0.0461367
í	0.0143406	0.186171	0.530077	0.153385	0.055446	0.0282808	0.00522109	0.018741	0.000376202	0.00796154
í	0.0340307	0.209482	0.301035	0.148186	0.0197246	0.0182364	0.011757	0.0329452	0.0124187	0.212185
b	0.0044318	0.015529	0.379147	0.458263	0.0820008	0.0175835	0.0102339	0.019075	0.00230672	0.0114296
h	0.0029299	0.0288717	0.128554	0.722351	0.0710261	0.017582	0.0100488	0.0110412	0.00173093	0.00586388
í	0.0142081	0.0613702	0.146288	0.672105	0.0755548	0.0150667	0.00489081	0.00535574	0.000824642	0.00433522
s	0.00573488	0.0288179	0.168681	0.548999	0.137012	0.0113138	0.0116447	0.0127534	0.0183603	0.056683
í	0.304784	0.0861734	0.171571	0.24234	0.145406	0.0262569	0.0089861	0.00491448	0.00131705	0.008251
n	0.0122274	0.0386862	0.26027	0.444218	0.186681	0.0226863	0.00821859	0.00562614	0.00212921	0.0192571
ω	0.0531383	0.0253405	0.610877	0.133726	0.143673	0.0192781	0.00399747	0.00229961	0.000490084	0.00717877
ó	0.0105272	0.0252996	0.244261	0.0956561	0.471509	0.111181	0.00842011	0.0124724	0.00747997	0.0131933
t	0.00262537	0.00175165	0.0153387	0.0228327	0.568589	0.268793	0.0888351	0.0210114	0.00787928	0.00234397
s	0.002831	0.00314995	0.0219124	0.0160085	0.482241	0.302769	0.0885623	0.0357208	0.0283899	0.0184154
é	0.00141739	0.00154328	0.0107053	0.0489876	0.560955	0.288964	0.0475815	0.0212059	0.00443928	0.0142003
y	0.00341632	0.00203054	0.0267913	0.0926253	0.395689	0.214156	0.113936	0.0380001	0.0125479	0.100807
á	0.0680796	0.0101401	0.0297281	0.00536028	0.223225	0.373693	0.159977	0.0304997	0.0293026	0.0699946
m	0.0331585	0.00580835	0.0263975	0.00787655	0.0573455	0.342807	0.39959	0.0729905	0.0436186	0.0104076
é	0.00547314	0.000995651	0.00110038	0.00192738	0.00575273	0.0588904	0.851988	0.0274489	0.00908963	0.0373339
s	0.00211398	0.00213098	0.00367801	0.00277016	0.0155357	0.30356	0.384157	0.224469	0.0445139	0.0170716
á	0.000539337	0.000141577	0.000905329	0.000363003	0.0118991	0.0757426	0.812403	0.0414135	0.0248777	0.0317149
í	0.00112416	0.000560105	0.00666313	0.00103671	0.0127439	0.0976684	0.29505	0.325751	0.109984	0.149418
b	0.00151246	0.000879306	0.0101514	0.00211019	0.02582	0.0588186	0.126867	0.597445	0.120278	0.0561181
h	0.00202161	0.00245949	0.0106495	0.0112995	0.0708584	0.134129	0.0730793	0.440474	0.0791024	0.175927
í	0.0033707	0.000442819	0.00131691	0.00231256	0.0407317	0.161335	0.0961374	0.195632	0.109214	0.389507
i	0.00180013	0.000219529	0.000542126	0.000294656	0.011301	0.0252857	0.0652279	0.229808	0.45974	0.205781
k	0.0026372	0.000904386	0.00195186	0.000888135	0.00660835	0.0193826	0.0175192	0.266702	0.483595	0.199811
ú	0.000206159	0.000245486	0.00101707	0.00258757	0.0214254	0.0430874	0.0244132	0.213627	0.620136	0.0732541
n	0.000132181	3.22679e-05	1.27676e-05	4.48989e-05	0.000120982	0.00128421	0.000897943	0.00195677	0.970673	0.0248453
d	0.00366793	0.000642606	0.00100827	0.00129392	0.00522812	0.0359366	0.0122619	0.0295229	0.8167	0.093738
á	0.0116288	0.00294635	0.0030144	0.00780133	0.035313	0.259078	0.0336256	0.132515	0.172462	0.341615
k	0.0281291	0.00839145	0.0119757	0.0037426	0.0187462	0.0345339	0.0123405	0.0834851	0.660561	0.138094
u	0.00156617	0.00303914	0.00544336	0.0201403	0.0659035	0.0578345	0.0221799	0.332996	0.277712	0.213186
n	0.000322973	9.25198e-05	0.000191033	0.000352886	0.00175494	0.00279196	0.00381269	0.00710918	0.957809	0.0257632
d	0.0013054	0.000209162	0.000601237	0.000781675	0.00167678	0.00907557	0.00367328	0.0162554	0.784895	0.181527
a	0.00536641	0.00074731	0.00202712	0.00374866	0.0169908	0.101808	0.0380207	0.126184	0.0593752	0.645732
</S>	0.0060698	0.0030253	0.00259156	0.000682445	0.00193754	0.0224439	0.00195619	0.117077	0.246517	0.5977
