 	le	cabri	qu'	ils	ont	vendu	était	mâle	</S>
m	0.553652	0.321473	0.0969962	0.0183429	0.00447723	0.00306718	0.00173703	0.000196963	5.68135e-05
b	0.0330098	0.955154	0.00558739	0.00154098	0.00266246	0.000238172	0.000664314	2.15571e-05	0.00112074
ó	0.0132087	0.976782	0.00563729	0.0025967	0.00120449	0.000313502	9.46181e-05	6.82433e-05	9.45865e-05
s	0.0288483	0.951482	0.0150848	0.00201875	0.00198111	0.000207385	0.000170221	4.59536e-05	0.000161841
i	0.267146	0.63501	0.0728074	0.00174826	0.00717288	0.00839227	0.00124275	0.000826381	0.00565388
y	0.157843	0.0726122	0.641239	0.0703768	0.0460241	0.00312781	0.00451862	0.000668843	0.00358954
e	0.656511	0.055133	0.206165	0.0204395	0.0351098	0.00375333	0.013115	0.00228048	0.00749298
é	0.426785	0.015818	0.409543	0.112631	0.0265771	0.00173274	0.0024813	0.000971691	0.00345943
k	0.116592	0.00870431	0.057081	0.0813742	0.553429	0.121369	0.0276152	0.0161661	0.0176689
i	0.0111112	0.00106202	0.0109613	0.0126627	0.140542	0.78838	0.00852831	0.00838897	0.0183628
r	0.0115897	0.00575747	0.0107622	0.00503139	0.0704342	0.874692	0.00652514	0.00275463	0.0124527
í	0.171493	0.0243491	0.146684	0.0864967	0.212546	0.228369	0.0240858	0.0044105	0.101567
b	0.00811423	0.000565495	0.096619	0.770006	0.095879	0.0149321	0.0088967	0.00084936	0.00413851
á	0.00459758	0.00677911	0.00896779	0.951657	0.0134384	0.0104169	0.00211454	0.000903259	0.00112553
a	0.0025143	0.000865312	0.0154986	0.96678	0.00865565	0.00239115	0.000903955	0.000221366	0.00217008
á	0.00155115	0.000312065	0.011084	0.0790111	0.435036	0.156744	0.259367	0.0158111	0.0410838
d	0.0080638	0.00324706	0.00499505	0.00745918	0.174673	0.147825	0.369282	0.243548	0.0409076
z	0.00571545	0.00112659	0.00273296	0.00547646	0.0962777	0.133209	0.433525	0.0409998	0.280938
e	0.0570539	0.0104154	0.0191531	0.00943763	0.0701119	0.150073	0.539321	0.0233731	0.12106
o	0.00586244	8.89226e-05	0.016082	0.0837429	0.0811623	0.166231	0.437917	0.0947766	0.114137
l	0.00201788	0.00143089	0.000884326	0.000690959	0.0110242	0.211345	0.147859	0.573303	0.0514442
ó	0.000292234	0.000581841	0.000426614	0.000150696	0.0100359	0.0673017	0.0281017	0.877335	0.0157739
m	0.000320112	0.000291318	0.00032151	0.000271543	0.00726726	0.131624	0.018852	0.805989	0.0350627
i	0.000945077	0.000104456	0.00131205	0.000283375	0.0245731	0.0944215	0.192053	0.335057	0.35125
</S>	0.00667488	0.000360337	0.0097842	0.020696	0.0209707	0.0141083	0.180485	0.0776809	0.66924
