 	mon	oncle	m'	a	reproché	de	ne	pas	l'	avoir	invité	au	mariage	de	ma	fille	</S>
n	0.797981	0.077566	0.0332201	0.0165332	0.0123782	0.0130369	0.0122713	0.0106181	0.00509815	0.00129932	0.013977	0.00139671	0.000876835	0.00120889	0.00227644	0.000140244	0.000121869
g	0.541552	0.447507	0.00919149	0.000191552	0.00104935	0.000323593	3.30809e-05	3.8236e-05	4.7106e-05	2.58952e-06	1.16843e-05	3.64212e-06	5.09828e-06	6.60049e-06	3.52835e-05	7.17481e-07	1.13944e-06
ó	0.145451	0.824264	0.0251881	0.00127551	0.00163307	0.00100344	0.000213003	0.000165625	0.000218744	3.63872e-05	9.7973e-05	1.90528e-05	3.19185e-05	2.99258e-05	0.000157974	0.000211976	2.71552e-06
l	0.126889	0.833666	0.0315448	0.00270073	0.00297509	0.000719108	9.45853e-05	8.22752e-05	0.000242273	2.98022e-05	5.14433e-05	1.96298e-05	1.14918e-05	1.36752e-05	0.000623994	0.000298445	3.83455e-05
ó	0.292239	0.452944	0.0694721	0.0203553	0.0304691	0.0370513	0.00948173	0.00935084	0.0156009	0.00677473	0.00951989	0.0120322	0.00810441	0.0048358	0.00974414	0.00300426	0.00902065
m	0.12494	0.135176	0.172417	0.0963294	0.0733584	0.0557398	0.0331912	0.0314853	0.0285732	0.0272434	0.0138645	0.0280087	0.0342883	0.0429243	0.0103721	0.00567427	0.0864141
i	0.11016	0.188418	0.165051	0.183097	0.102373	0.0466961	0.0249053	0.0141595	0.0171652	0.0315404	0.0273975	0.021423	0.00584839	0.00515635	0.00767516	0.0341829	0.0147511
á	0.0744633	0.0317389	0.303412	0.300058	0.0744024	0.026172	0.0249984	0.0160452	0.0122542	0.0252844	0.025304	0.00928584	0.00720764	0.0153938	0.000714426	0.0157869	0.0374791
p	0.0404892	0.00348284	0.23709	0.516352	0.0739786	0.0102255	0.0101781	0.00934092	0.00539673	0.0100437	0.00476418	0.00814309	0.00904671	0.0180316	0.0023772	0.003319	0.0377412
έ	0.0224082	0.0012728	0.0482557	0.529907	0.148623	0.0117843	0.0226998	0.0276623	0.0132797	0.017947	0.0220801	0.0179978	0.0464518	0.050168	0.00148329	0.00109781	0.0168817
ε	0.230819	0.000588695	0.0539385	0.170137	0.198694	0.0379415	0.0272753	0.034664	0.023512	0.011663	0.0286819	0.0130528	0.0266403	0.0380262	0.0119961	0.00119942	0.0911699
n	0.00256919	0.000175872	0.391353	0.178832	0.297864	0.0553325	0.0104109	0.00846386	0.00824361	0.00429782	0.00808071	0.00766477	0.0032444	0.00363145	0.00936632	0.0021739	0.0082956
g	0.0217024	0.000286393	0.54939	0.0948299	0.211996	0.0492844	0.0074833	0.00525941	0.00614644	0.000844083	0.00416693	0.00160122	0.00182205	0.00386952	0.0290453	0.00551558	0.00675672
á	0.076564	0.00444496	0.457231	0.0910492	0.287548	0.0335892	0.00284585	0.00228726	0.00864106	0.00108554	0.00440257	0.00147071	0.00158804	0.00180572	0.0115047	0.00987928	0.00406299
m	0.00205493	0.000215224	0.100378	0.0690373	0.531652	0.17072	0.0374956	0.0265647	0.0170036	0.00745838	0.00665138	0.0126481	0.00487681	0.00341843	0.00550436	0.00134764	0.00297431
b	0.000333914	0.000210197	0.0368868	0.0766711	0.360812	0.184881	0.0412932	0.00924437	0.0132265	0.0128966	0.0453699	0.00414541	0.00101055	0.00206671	0.0022591	0.191759	0.0169332
ε	2.63562e-05	6.76571e-05	0.0114976	0.0316274	0.489568	0.141938	0.0699291	0.0132471	0.010457	0.00653463	0.185481	0.00179096	0.000855675	0.00151697	0.000219206	0.0341271	0.00111662
s	6.88529e-05	0.000118497	0.0391402	0.100614	0.460408	0.121248	0.0928085	0.0249454	0.0278127	0.0177047	0.0653837	0.00789259	0.00309305	0.00916722	0.000350493	0.0103505	0.0188929
í	0.00135262	1.9391e-05	0.0126911	0.0665836	0.547366	0.0815987	0.0655136	0.0425274	0.0323882	0.0122439	0.0081261	0.0123779	0.0162495	0.0287965	0.00350058	0.00180241	0.0668621
t	0.00280952	3.02565e-05	0.0763374	0.0914767	0.100223	0.450304	0.130301	0.0452977	0.0353178	0.0170255	0.00893869	0.011348	0.00446083	0.00547638	0.00170392	0.00129673	0.0176531
s	0.00228153	2.45971e-05	0.0040966	0.0165438	0.0939105	0.0678426	0.237146	0.24109	0.0516292	0.0270998	0.012746	0.0318515	0.0733603	0.0617005	0.000604322	0.000150582	0.0779219
í	0.000164028	1.85265e-05	0.00111407	0.0146938	0.0945282	0.101908	0.201991	0.178735	0.0543939	0.0207551	0.0707937	0.0319767	0.069556	0.108108	0.000969994	0.000494553	0.0497995
