 	cette	femme	a	perdu	son	enfant	</S>
o	0.9832	0.0124394	0.000268314	0.000119685	0.00353919	0.000407098	2.67422e-05
y	0.260665	0.722441	0.00945645	0.00473708	0.000869839	0.00104564	0.000785654
ú	0.802294	0.183793	0.00455288	0.00392172	0.00411227	0.000761522	0.000565254
r	0.911865	0.0498959	0.00329135	0.0087231	0.0127829	0.000769373	0.0126724
u	0.88325	0.0610419	0.00598118	0.00948599	0.0245739	0.00493246	0.0107343
w	0.191233	0.25678	0.419745	0.0396724	0.0439721	0.00563272	0.042965
ó	0.37525	0.104303	0.164379	0.0457055	0.0959343	0.021839	0.192589
á	0.00577327	0.00403775	0.853278	0.0337079	0.00609473	0.00156709	0.0955409
b	0.000623332	0.00198143	0.24674	0.690863	0.00493691	0.00108265	0.053773
o	0.016064	0.00161708	0.418177	0.469311	0.0148049	0.0100854	0.0699409
m	0.0128282	0.00164103	0.171875	0.728747	0.00908416	0.000894348	0.0749305
i	0.104632	0.00226989	0.0362086	0.0936199	0.644442	0.0925907	0.0262368
s	0.00588747	0.00361622	0.0254828	0.0179205	0.447928	0.453503	0.0456622
i	0.0062575	0.000404644	0.0128181	0.242982	0.672519	0.0466299	0.0183892
m	0.0071956	0.00119465	0.0140631	0.00916764	0.823401	0.122342	0.0226357
w	0.000161834	0.000239047	0.000202123	0.000786322	0.0120975	0.977572	0.00894104
á	1.81536e-05	5.30198e-05	7.6384e-06	0.000109676	0.00020315	0.999529	7.89094e-05
n	0.0032568	0.000466113	0.000236928	0.000873451	0.0251614	0.959979	0.0100267
a	0.00584444	0.00410909	0.00455163	0.0144491	0.090677	0.789435	0.0909341
</S>	0.017371	0.00146678	0.0232764	0.0340528	0.480276	0.0376695	0.405887
