 	les	guêpes	m'	ont	piqué	à	la	tête	</S>
a	0.969953	0.0239171	0.00313794	0.000930285	0.00030683	0.000590254	0.0008773	0.000247838	3.97587e-05
k	0.025484	0.970118	0.00133533	0.000446654	0.000554266	0.000422603	0.000375971	0.00113929	0.00012364
ú	0.000567363	0.99886	2.80856e-05	3.11169e-05	4.42881e-06	0.000131068	5.79746e-05	0.000142043	0.000177566
n	0.00383131	0.98757	0.000132274	0.000555139	0.000423498	0.0031599	0.00132963	6.60974e-05	0.00293253
d	0.221727	0.65558	0.0105871	0.0119674	0.00812225	0.0324641	0.0104122	0.00297469	0.0461651
z	0.247096	0.699633	0.00275135	0.00653056	0.00755877	0.0107479	0.00302206	0.000654382	0.0220057
ε	0.0262509	0.957993	0.000724825	0.000866072	0.00065868	0.00184736	0.000211983	0.000129936	0.0113175
á	0.283703	0.16294	0.242575	0.185441	0.034165	0.0275612	0.0276452	0.00300029	0.0329693
t	0.0793629	0.172183	0.0813602	0.179526	0.233711	0.137337	0.0293174	0.00426561	0.082937
έ	0.0309392	0.148753	0.0288545	0.26754	0.168889	0.241905	0.0570166	0.0170165	0.0390865
ε	0.0366634	0.192684	0.0421013	0.0772718	0.107793	0.24682	0.110528	0.00913132	0.177007
n	0.0163654	0.0011651	0.404301	0.175627	0.222694	0.0636864	0.0837954	0.00779542	0.0245699
g	0.019141	0.00189147	0.800833	0.0757975	0.0771213	0.011153	0.00885675	0.000547811	0.00465817
á	0.0268217	0.0190543	0.696817	0.0585567	0.125946	0.0261115	0.0246447	0.000934519	0.0211138
m	0.00860881	0.00528744	0.219357	0.130249	0.115981	0.127801	0.252072	0.0740705	0.0665725
í	0.0124216	0.000465737	0.0117011	0.0480762	0.154084	0.134356	0.210201	0.0384775	0.390217
b	0.00657625	0.000801435	0.0266879	0.0357385	0.032214	0.0385307	0.0790587	0.748679	0.0317137
o	0.00103086	0.00080439	0.000930199	0.00532396	0.00218469	0.0434198	0.0412251	0.894159	0.0109216
ó	0.000114338	0.00178239	0.000140965	0.00200071	0.00131064	0.0694053	0.0569656	0.803513	0.0647673
</S>	0.0172691	0.000611563	0.0105778	0.0119668	0.0400467	0.0904326	0.330985	0.102845	0.395265
