 	la	longueur	de	ce	serpent	les	a	épaté	</S>
o	0.901404	0.0402865	0.0244228	0.011857	0.00850427	0.010146	0.0032267	8.09665e-05	7.2053e-05
l	0.0522887	0.926138	0.00933614	0.0024156	0.0034466	0.000681786	0.000549574	0.00237051	0.00277284
a	0.0639653	0.802692	0.0167462	0.0246946	0.0695861	0.00257609	0.00212349	0.0144888	0.00312758
á	0.0876442	0.622679	0.0286418	0.0278831	0.0218358	0.00196046	0.00156692	0.04945	0.158338
m	0.610228	0.0823883	0.155019	0.0815115	0.021602	0.0166412	0.0113132	0.00112743	0.0201694
á	0.32788	0.0207935	0.179208	0.213112	0.0739223	0.134054	0.0148417	0.0245525	0.0116356
n	0.304977	0.0398874	0.170599	0.234576	0.155805	0.0383569	0.0159469	0.0173252	0.0225273
d	0.189905	0.049933	0.0643362	0.328864	0.237266	0.100983	0.0131665	0.00416731	0.0113785
z	0.0119747	0.0183696	0.0262232	0.215112	0.614816	0.0630847	0.00634239	0.0218259	0.0222514
ω	0.0285669	0.048436	0.0359342	0.258976	0.540725	0.0449472	0.00312384	0.0208819	0.0184088
w	0.0180392	0.0100612	0.111573	0.181637	0.488438	0.113702	0.00829293	0.00557059	0.0626856
ó	0.017938	0.00215794	0.223184	0.196243	0.443695	0.0712651	0.00704842	0.00388547	0.0345836
ó	0.0227183	0.0178486	0.213244	0.0896778	0.118728	0.228741	0.129866	0.0232396	0.155937
p	0.0125686	0.0187533	0.117035	0.110636	0.0564054	0.163084	0.398574	0.0517021	0.0712418
ε	0.00163941	0.00208507	0.041672	0.0468719	0.0576412	0.0385904	0.121024	0.49278	0.197697
b	0.012336	0.00740883	0.134322	0.16652	0.162055	0.109995	0.123482	0.0828053	0.201076
á	0.0220345	0.00152928	0.0607445	0.221903	0.0821558	0.254635	0.297176	0.0363057	0.0235167
a	0.0027427	0.000937164	0.0188822	0.0377193	0.0187722	0.212301	0.145286	0.318668	0.244692
a	0.00533575	0.00481732	0.0251258	0.0242472	0.0115813	0.112754	0.187998	0.273313	0.354828
m	0.0207097	0.0276892	0.0542005	0.0349263	0.0235457	0.0495036	0.0650522	0.518704	0.205668
w	0.00355808	0.00217687	0.0125788	0.0212912	0.00338038	0.0280597	0.0368615	0.605608	0.286486
a	0.00120508	0.000232038	0.00233834	0.0200641	0.00338694	0.0498991	0.0169329	0.825121	0.0808206
</S>	0.000756389	8.30052e-05	0.00236774	0.0109895	0.00129452	0.00996683	0.00646434	0.0564214	0.911656
