 	la	lampe	éclaire	la	maison	</S>
m	0.553405	0.428521	0.0105697	0.00666961	0.000610125	0.00022512
ú	0.00932914	0.976605	0.00756477	0.0022999	0.000205938	0.00399514
n	0.0284578	0.970554	0.000587054	0.000151504	0.000192531	5.69662e-05
d	0.0364107	0.888057	0.00510033	0.00865411	0.0474324	0.014345
a	0.137586	0.825751	0.00558792	0.00170554	0.0152804	0.0140888
m	0.0887293	0.0368442	0.421395	0.0570009	0.0251946	0.370835
ó	0.813657	0.139893	0.0227158	0.0122189	0.00171505	0.00980087
o	0.833832	0.0242129	0.0642459	0.045112	0.0187722	0.0138251
y	0.128872	0.0397519	0.707242	0.05686	0.0358462	0.0314285
í	0.0880388	0.037627	0.619918	0.0985063	0.0737901	0.08212
á	0.0710897	0.00610028	0.525808	0.139356	0.0207321	0.236915
n	0.012096	0.002332	0.247738	0.560401	0.140975	0.0364584
d	0.00888864	0.0217423	0.110466	0.314993	0.527146	0.0167637
é	0.000717953	0.00451489	0.00878823	0.0324647	0.94898	0.00453467
e	0.00506404	0.0011099	0.0778467	0.248504	0.481786	0.185689
k	0.0100234	0.000371506	0.185129	0.32964	0.09385	0.380986
y	0.0132773	0.00028612	0.105681	0.202067	0.0877861	0.590903
έ	0.0281888	0.000910226	0.16638	0.399897	0.20714	0.197483
n	0.0037797	0.00120026	0.209527	0.172908	0.114194	0.498391
έ	0.00312889	0.00177199	0.111742	0.262926	0.486961	0.13347
n	0.00254061	0.000170871	0.0965578	0.290513	0.0857616	0.524456
έ	0.00359531	0.00127115	0.0520937	0.168288	0.234895	0.539856
</S>	0.000612999	5.02343e-05	0.0442207	0.0800536	0.0318854	0.843177
