 	il	partit	bravement	sans	se	retourner	</S>
w	0.989351	0.0037883	0.000194583	0.0038341	0.00265033	0.000106313	7.54443e-05
a	0.958821	0.0149331	0.000135747	0.00706816	0.0188092	5.4677e-05	0.000178204
a	0.183942	0.643041	0.022029	0.0441635	0.0525561	0.00835899	0.045909
d	0.0627625	0.629086	0.0409886	0.0243569	0.0245593	0.00175365	0.216493
z	0.00757991	0.75457	0.0665252	0.0255153	0.00917752	0.00278266	0.133849
w	0.0405518	0.878563	0.0614151	0.0137205	0.00104966	0.000604205	0.00409574
é	0.0502852	0.217989	0.187405	0.270523	0.0355979	0.00430804	0.233892
l	0.0604202	0.121676	0.606241	0.0925568	0.0343529	0.0062705	0.0784837
o	0.0285228	0.0714907	0.537076	0.0447604	0.01886	0.0156112	0.283679
n	0.010844	0.0282996	0.876236	0.0171319	0.00386006	0.0210284	0.0425999
d	0.000634093	0.0226044	0.8823	0.0719687	0.0015956	0.00797808	0.0129189
z	0.000938525	0.0217256	0.767738	0.123818	0.00590073	0.0537179	0.0261612
a	0.00221677	0.0163182	0.61365	0.19021	0.00723022	0.0164609	0.153914
n	0.00129506	0.00576803	0.345176	0.44481	0.01706	0.00181523	0.184076
g	0.00349332	0.00848482	0.30921	0.4375	0.0992315	0.00490213	0.137179
á	0.00156829	0.00210377	0.104907	0.696235	0.124312	0.0182671	0.0526069
ó	0.0029452	0.00123076	0.0318207	0.558181	0.361674	0.0115028	0.0326457
t	0.00201883	0.00807067	0.0497559	0.452967	0.382591	0.0745208	0.0300754
s	0.000980318	0.00166222	0.0461907	0.2897	0.360971	0.0967877	0.203708
ω	0.000502563	0.000627153	0.044264	0.305066	0.484601	0.0581556	0.106783
n	0.000310963	0.000162152	0.0110843	0.417724	0.319975	0.0332101	0.217533
g	0.000138281	0.00136914	0.0365738	0.182084	0.229989	0.207442	0.342404
ω	0.000728724	0.00046188	0.00721319	0.41442	0.253444	0.250277	0.0734564
n	0.00325848	0.00113212	0.00307768	0.168146	0.408424	0.100044	0.315918
g	0.0041814	0.00398935	0.0126039	0.140997	0.166487	0.538313	0.133427
ω	0.000124362	0.000302703	0.000889212	0.0523971	0.0598055	0.857891	0.0285899
o	0.000290241	0.000235083	0.000883279	0.0571543	0.0304957	0.875947	0.0349947
t	0.0180858	0.00333092	0.00452464	0.114034	0.192514	0.207729	0.459781
á	0.00365167	0.000868205	0.0115977	0.122426	0.176539	0.399911	0.285006
a	0.00300393	0.000256616	0.00147301	0.0193089	0.0590751	0.0642446	0.852638
έ	0.00739102	0.00214244	0.00498371	0.0816955	0.0980067	0.154617	0.651163
</S>	0.000809299	0.0227367	0.0293315	0.0807179	0.0539014	0.141006	0.671497
